month_1,month_2
11555,14599
8483,14598
8483,14599
11555,14598
11555,14595
8483,14594
11555,14594
8483,14595
11555,14597
8483,14596
11555,14596
8483,14597
8513,13672
11585,13672
8480,13672
8531,14146
8498,14146
8531,14147
8498,14147
8532,14146
8532,14147
8485,14592
9443,14591
8485,14593
9443,14592
8485,14594
8485,14595
9443,14593
8485,14591
9443,14598
9443,14599
29,14591
9443,14594
29,14592
8485,14596
29,14593
9443,14595
8485,14597
9443,14596
8485,14598
29,14594
9443,14597
8485,14599
29,14595
29,14596
29,14597
29,14598
29,14599
10864,14596
10864,14595
10864,14598
10864,14597
10864,14592
10864,14591
10864,14594
10864,14593
8486,14593
8486,14594
8486,14595
8486,14596
10864,14599
8486,14591
8486,14592
8483,13672
11555,13672
8486,14597
8486,14598
8486,14599
10648,14147
9841,14591
10648,14146
10832,14596
9841,14596
9841,14597
10832,14595
9841,14598
10832,14598
10832,14597
9841,14599
9841,14592
10832,14592
9841,14593
10832,14591
9841,14594
10832,14594
10832,14593
9841,14595
10436,14592
8487,14594
10436,14591
8487,14595
10436,14594
8487,14596
10568,14597
10436,14593
8487,14597
10568,14592
8487,14591
10832,14599
10568,14594
8487,14592
8487,14593
10436,14599
10436,14596
8487,14598
10436,14595
8487,14599
10436,14598
10436,14597
8488,14595
8488,14596
8488,14597
8488,14598
8488,14591
8488,14592
8488,14593
8488,14594
8485,13672
9443,13672
8488,14599
9659,14146
29,13672
9659,14147
1585,14591
1585,14592
1585,14593
8522,14591
1585,14594
8522,14592
1585,14595
1585,14596
1585,14597
1585,14598
1585,14599
8522,14597
9990,14146
8522,14598
8522,14599
9990,14147
8522,14593
10864,13672
8522,14594
8522,14595
8522,14596
8486,13672
8504,14147
9528,14147
9528,14146
8504,14146
8490,14591
8490,14592
10387,14147
10387,14146
8490,14597
8490,14598
8490,14599
9841,13672
8490,14593
10832,13672
8490,14594
8490,14595
8490,14596
10436,13672
9859,14146
9859,14147
8487,13672
9331,14146
9331,14147
10058,14146
10058,14147
8488,13672
8492,14591
8492,14592
8492,14593
8492,14594
8492,14599
1585,13672
10984,14147
10210,14592
10210,14591
8522,13672
8492,14595
8492,14596
10984,14146
8492,14597
8492,14598
10210,14598
10210,14597
10210,14599
10210,14594
10210,14593
10210,14596
10210,14595
8507,14146
8507,14147
8526,14593
9451,14591
8526,14594
8526,14595
9451,14592
9451,14593
8526,14596
8526,14591
8526,14592
9451,14598
9451,14599
8490,13672
9451,14594
8526,14597
9451,14595
8526,14598
9451,14596
8526,14599
9451,14597
8508,14146
8508,14147
8475,14146
8475,14147
8494,14593
8494,14594
8494,14595
8494,14596
8494,14591
8494,14592
9155,14591
9155,14592
9155,14593
8494,14597
8494,14598
8494,14599
9155,14598
9155,14599
8509,14146
8476,14146
8509,14147
9155,14594
9155,14595
9155,14596
9155,14597
