neighborhood_of_1,neighborhood_of_2
10300,9535
10329,9535
11033,9535
11248,9973
10832,10832
10413,8526
10797,8475
11369,9686
10391,9535
10413,10517
9364,8475
8497,8475
9480,8475
10626,9686
10888,8475
11369,8476
11180,9535
10009,8526
10009,10517
10808,9686
10626,8476
9638,9535
10391,8475
10808,8476
11248,9686
10879,9535
10300,8475
9685,9686
11033,8475
10329,8475
11248,8476
11369,9973
9364,9535
10808,9702
10912,8526
8497,9535
9685,8476
10626,9973
9638,8475
10912,10517
11180,8475
10797,9535
9685,9702
10879,8475
9480,9535
10888,9535
