network_1,network_2
217,1528
591,3249
798,12704
1031,3435
309,13018
459,3249
408,3295
1344,1930
806,3249
256,13133
295,4252
262,4252
383,2550
847,4041
6547,1930
772,3295
2227,3249
12618,12898
651,1930
534,13239
295,12971
958,12898
279,4252
275,8472
387,1930
855,3295
763,13316
1325,2550
1259,1528
2723,3249
1660,3435
648,1528
1417,13018
383,13329
329,4252
437,1930
215,12909
339,3435
331,1637
279,3249
401,13292
1180,13208
295,12998
395,12971
267,13356
1000,3435
421,1930
552,4013
754,13112
2416,1528
1259,12818
370,12730
289,1930
12609,4013
230,3249
561,4252
736,3435
1182,3435
970,8472
1155,3249
1149,3435
427,3295
439,3435
464,1637
379,3249
2888,3295
1317,14622
3983,3656
429,12971
933,12709
522,3435
968,3435
455,1930
1486,3249
758,8410
339,13208
616,4111
291,3435
258,3435
1105,8410
725,3295
604,1930
389,12180
1417,8472
1340,12909
1317,13112
248,12971
13982,12176
331,4256
347,3249
207,12709
645,4252
304,2024
309,13133
401,13356
643,3295
1155,3295
1101,3435
954,13112
311,8472
1008,3249
445,3295
424,3435
851,13239
2227,8472
843,3249
304,2550
313,3295
199,3249
711,3249
410,3364
627,3295
693,8420
317,12909
474,3435
761,12971
688,12162
441,3435
2765,14339
309,3435
339,4041
794,3249
401,3656
1259,12898
547,4252
1123,3295
602,1528
1799,1798
304,13329
949,2550
1494,1528
1389,3249
326,3435
12604,4252
281,3295
226,1930
498,4252
2439,12176
661,3295
580,3249
496,3295
298,8410
1992,12730
12631,3435
421,1528
1134,13217
834,1528
211,3435
602,12818
457,12708
399,12971
1317,12162
933,14339
525,3435
480,3295
3983,3249
359,1930
339,1528
300,3249
1134,13237
721,12730
12623,13435
461,13112
317,3249
697,3249
1317,12704
401,12942
552,13383
894,3295
1896,1930
12628,1528
361,3435
448,8420
1325,3249
6621,13153
720,2550
544,13133
12614,4013
847,4252
3983,3295
690,13217
1364,13316
203,4252
786,14339
758,3435
1159,3295
599,3249
556,2024
1417,12709
339,13359
666,4252
690,13237
302,3249
804,2024
1317,4041
748,3249
602,12898
1155,3435
1180,13413
2670,1528
1340,1798
12599,12704
341,14339
457,1528
379,3435
12598,4041
6544,3295
12627,13383
573,1528
886,12817
534,3249
375,14323
254,4252
834,12898
700,4252
722,2550
457,12818
970,14323
1012,3295
258,13359
359,1528
372,1637
269,3295
368,8420
215,3435
453,4252
595,3435
381,13141
1107,3435
800,4252
459,2024
930,3295
636,13435
722,13329
802,12898
295,4041
238,3249
1000,12909
645,3435
433,8472
12628,12898
818,13435
1529,12898
513,3435
331,3447
784,4252
1317,13329
855,14339
681,8472
782,3295
279,4041
654,1637
563,3435
429,12709
536,3249
12598,13329
1417,14339
322,4252
277,12817
353,3295
1927,13383
591,4111
265,1930
1503,12709
568,3295
678,12176
1371,12709
415,3435
401,14622
248,12709
882,3295
349,3435
12598,12843
271,3295
250,3435
275,1637
443,4111
12605,13133
543,2550
12627,3249
486,3295
457,12898
1314,4252
471,3249
431,1930
3983,3435
761,12180
405,3249
524,3656
366,3435
273,3249
240,3249
538,4252
201,3435
322,12998
951,4252
573,12898
482,3435
7583,1930
1347,3249
841,1528
217,1930
697,3435
489,4252
401,13124
630,1930
1588,1930
324,4252
879,3435
322,3295
334,3435
234,1930
12617,4111
1317,13413
355,8420
621,3249
1094,3435
582,3435
919,4252
504,3295
836,12971
1073,1528
209,4252
351,3435
377,3656
491,13435
1033,8410
12605,12176
1325,12162
341,12971
293,13435
958,1528
397,2024
12598,13435
224,3295
232,2024
1503,14339
277,13435
804,12971
439,3295
963,3435
417,1930
331,1528
285,1930
765,3435
252,1930
557,4252
1217,3249
2227,1637
246,3656
397,13316
260,4252
869,3295
788,3249
12598,4252
656,3249
804,12998
401,12180
506,3295
491,3249
6518,3295
719,8472
890,1637
319,1930
798,13193
287,3435
242,3295
221,3435
1020,3249
877,14339
7583,1528
1927,3295
1433,3249
841,12898
1325,4041
271,3435
244,3249
723,3249
2439,8420
