notable_people_with_this_condition_1,notable_people_with_this_condition_2
14121,588
14348,5581
14121,3145
14347,7929
14348,730
14346,1301
14347,7927
13973,8255
14346,3870
14346,1052
14347,5897
13962,6053
14346,6181
13926,8194
13163,1383
13166,6149
14121,5486
13939,6774
13973,1110
14346,3370
14346,3127
14347,3860
14121,1150
14347,1056
13962,1472
12712,5915
14121,6013
13971,944
13932,7018
14346,328
14121,901
13163,5762
14347,3107
12897,5817
13973,4205
13971,1207
14347,4140
14121,3467
14346,332
14346,3916
14347,569
14346,3926
13971,8381
13971,4026
14121,3740
12712,4156
13166,1343
14347,4157
14121,5531
13962,1498
13971,7888
13973,7826
13973,8337
13962,3811
12712,8258
14348,5679
14121,428
14347,1102
14349,3345
14348,4144
13933,7023
14347,7768
13971,7902
14346,3187
14346,12404
13962,5361
13933,8325
14121,5580
13973,6838
14346,7049
14350,6670
13972,5599
14350,8218
13163,5845
13166,3716
14121,991
14348,3423
13932,1472
14121,4314
14346,6300
14121,1240
14346,8346
14347,3721
12897,282
13236,6158
14092,6756
13962,3629
14348,8046
13971,5907
14347,8600
13956,8173
13166,6307
14348,5759
13163,7679
14121,7929
14348,8828
14121,5894
14346,712
14346,8387
14348,8079
14346,8142
14121,781
13236,3381
14121,3338
13933,8399
13962,844
14346,5580
13163,6155
14121,6153
12712,1448
14346,1495
14121,1302
14346,1240
14121,535
14121,12309
13956,6670
14121,272
13163,7954
14346,7890
13962,7007
14121,3870
14350,6756
13962,8285
13933,4316
13962,12392
14346,6117
13962,9061
14346,6116
13973,3085
13973,3341
14121,559
13163,5425
13971,3414
13962,3179
13962,7018
14121,3127
12897,3692
14348,6838
14348,5826
14347,3293
14121,312
14346,4089
13149,5366
14346,5892
13495,6670
