nutrient_1,nutrient_2
14364,14562
14553,12799
14368,14435
14364,14558
14364,14557
14358,12695
14364,14556
14367,14462
14364,14570
14365,14539
14364,14569
14365,14538
14365,14537
14364,14568
14355,12799
14365,14536
14364,14567
14365,14535
14364,14566
14364,14565
14365,14534
14364,14564
14364,14563
14364,14578
14553,12815
14365,14547
14365,14546
14364,14577
14364,14576
14365,14545
14365,14544
14364,14574
14365,14543
14365,14542
14364,14573
14365,14541
14364,14572
14364,14571
14368,14462
14359,12692
14365,14554
14355,12815
14364,14584
14364,14583
14365,14552
14365,14551
14364,14582
14365,14550
14365,14549
14364,14580
14368,14455
14365,14548
14365,14563
14365,14562
14365,14561
14365,14558
14365,14556
14365,14571
14365,14570
14366,14539
14365,14569
14366,14538
14366,14537
14356,12799
14365,14568
14366,14536
14365,14567
14366,14535
14365,14566
14365,14565
14366,14534
14366,14548
12686,13379
14366,14547
14365,14578
14366,14546
14365,14577
14366,14545
14365,14576
14366,14544
14366,14543
14365,14574
14365,14573
14366,14542
14366,14541
14365,14572
14366,14556
14366,14555
14365,14586
14366,14554
14356,12815
14365,14584
14366,14552
14365,14583
14365,14582
14366,14551
14366,14550
14366,14549
14365,14580
14366,14564
14366,14563
14366,14562
14366,14561
14370,14435
14366,14558
14366,14557
14366,14572
14367,14541
14366,14571
14367,14539
14366,14570
14366,14569
14367,14538
14366,14568
14367,14537
14367,14536
14366,14567
14366,14566
14367,14535
14366,14565
14367,14534
14366,14580
14367,14549
14367,14548
14370,14455
14366,14578
14367,14547
14366,14577
14366,14576
14367,14545
14367,14544
14366,14575
14367,14543
14366,14574
14367,14542
14366,14573
14361,12695
14367,14556
14370,14462
14366,14586
14366,14585
14367,14554
14361,12692
14366,14584
14367,14552
14366,14583
14366,14582
14367,14551
14367,14550
14367,14565
14368,14534
14367,14564
14367,14563
14367,14562
14367,14558
14368,14542
14367,14573
14368,14541
14367,14572
14367,14571
14368,14540
14367,14570
14368,14539
14368,14538
14367,14569
14358,12799
14368,14537
14367,14568
14368,14536
14367,14567
14367,14566
14368,14535
14368,14550
14367,14580
14368,14549
14368,14548
14371,14455
14560,12692
14368,14547
14367,14578
14367,14577
14368,14546
14368,14545
14367,14576
14368,14544
14367,14574
14368,14543
14368,14558
14362,12695
14368,14557
14368,14556
14368,14555
14371,14462
14367,14586
14368,14554
14358,12815
14367,14584
14367,14583
14368,14552
14368,14551
14367,14582
14560,12695
14368,14566
14368,14565
14368,14564
14353,12981
14368,14563
14368,14562
14368,14561
14368,14559
14372,14435
14368,14574
14368,14573
14368,14572
14368,14571
14368,14570
14368,14569
14368,14568
14359,12799
14368,14567
14368,14582
14368,14581
14372,14455
14368,14578
14368,14577
14368,14576
14368,14575
14363,12695
14372,14462
14363,12692
14359,12815
14368,14583
14370,14536
14370,14535
14353,13013
14370,14534
14354,12981
14370,14544
14370,14543
14370,14541
14370,14539
14370,14538
14370,14537
14360,12799
14370,14552
14370,14551
14370,14550
14370,14549
14370,14548
14370,14547
14370,14546
14370,14545
14370,14558
14553,12981
14370,14557
14370,14556
14364,12692
14370,14554
14371,14537
14361,12799
14370,14568
14370,14567
14371,14536
14370,14566
14371,14535
14354,13013
14370,14565
14371,14534
14370,14564
14353,13043
14355,12981
14370,14563
14370,14562
14370,14561
14371,14545
14370,14576
14371,14544
14370,14574
14371,14543
14370,14573
14371,14541
14370,14572
14371,14540
14370,14571
14370,14570
14371,14539
14370,14569
14371,14538
14361,12815
14370,14584
14371,14552
14370,14583
14370,14582
14371,14551
14371,14550
14370,14580
14371,14549
14371,14548
14371,14547
14370,14578
14371,14546
14370,14577
14371,14561
14553,13013
14371,14558
14365,12695
14371,14556
14370,14586
14371,14554
14365,12692
14371,14569
14372,14538
14371,14568
14372,14537
14362,12799
14371,14567
14371,14566
14372,14535
14371,14565
14355,13013
14372,14534
14354,13043
14356,12981
14371,14564
14371,14563
14371,14562
14560,12799
14372,14546
14371,14577
14372,14545
14371,14576
14372,14544
14371,14574
14371,14573
14371,14572
14372,14541
14371,14571
14372,14539
14371,14570
14372,14554
14366,12692
14362,12815
14372,14552
14371,14583
14372,14551
14371,14582
14372,14550
14371,14580
14372,14549
14372,14548
14371,14578
14372,14547
14560,12815
14372,14562
14372,14559
14553,13043
14372,14558
14366,12695
14372,14556
14371,14586
14372,14570
14372,14569
14363,12799
14372,14567
14372,14566
14372,14565
14356,13013
14355,13043
14372,14564
14372,14563
14372,14578
14372,14577
14372,14576
14372,14574
14372,14573
14372,14572
14372,14571
14372,14586
14367,12692
14363,12815
14372,14583
14372,14582
14372,14580
14364,12799
14358,12981
14356,13043
14364,12815
14359,12981
14353,13165
14368,12695
14365,12799
14358,13013
14560,12910
14365,12815
14359,13013
14354,13165
14366,12799
14370,12695
14553,13165
14370,12692
14366,12815
14353,13216
14361,12981
14359,13043
14367,12799
14354,13216
14560,12981
14364,12910
14371,12692
14367,12815
14361,13013
14362,12981
14356,13165
14368,12799
14355,13216
14553,13216
14560,13013
14365,12910
14372,12692
14353,13280
14368,12815
14362,13013
14361,13043
14363,12981
14354,13280
14356,13216
14560,13043
14366,12910
14370,12799
14363,13013
14364,12981
14362,13043
14358,13165
14355,13280
14370,12815
14553,13280
14359,13165
14367,12910
14371,12799
14364,13013
14365,12981
14363,13043
14371,12815
14356,13280
14358,13216
14353,13379
14372,12799
14365,13013
14364,13043
14366,12981
14372,12815
14359,13216
14365,13043
14367,12981
14361,13165
14354,13379
14364,13082
14366,13013
14560,13165
14370,12910
14553,13379
14358,13280
14367,13013
14366,13043
14368,12981
14362,13165
14355,13379
14371,12910
14359,13280
14361,13216
14368,13013
14367,13043
14363,13165
14356,13379
14366,13082
14362,13216
14553,13433
14560,13216
14372,12910
14370,12981
14368,13043
14364,13165
14367,13082
14363,13216
14358,13379
14361,13280
14370,13013
14371,12981
14365,13165
14362,13280
14364,13216
14560,13280
14359,13379
14371,13013
14370,13043
14372,12981
14366,13165
14363,13280
14365,13216
14367,13165
14372,13013
14371,13043
14364,13280
14366,13216
14368,13165
14361,13379
14372,13043
14371,13082
14560,13379
14365,13280
14367,13216
14362,13379
14372,13082
14366,13280
14368,13216
14370,13165
14363,13379
14367,13280
14371,13165
14364,13379
14370,13216
14365,13379
14368,13280
14371,13216
14366,13379
14370,13280
14372,13216
14367,13379
14371,13280
14368,13379
14372,13280
12686,14351
12686,14360
14370,13379
14371,13379
12686,14435
14372,13379
12686,14455
12686,14462
14372,13433
12686,14539
12686,14540
12686,14537
12686,14538
12686,14535
12686,14536
12686,14534
12686,14547
12686,14548
12686,14545
12686,14546
12686,14543
12686,14544
12686,14541
12686,14555
12686,14556
12686,14554
12686,14551
12686,14552
12686,14549
12686,14550
12686,14563
12686,14564
12686,14561
12686,14562
12686,14557
12686,14558
12686,14571
12686,14572
12686,14569
12686,14570
12686,14567
12686,14568
12686,14565
12686,14566
12686,14579
12686,14577
12686,14578
12686,14575
12686,14576
12686,14573
12686,14574
12686,14583
12686,14581
12686,14582
12686,12695
14353,14351
14353,14360
14351,14435
12686,12799
14354,14351
14354,14360
12686,12815
14553,14351
14353,14435
14356,14351
14353,14455
14353,14462
14354,14435
14354,14455
14351,14557
14354,14462
14553,14435
14351,14551
14355,14435
14553,14455
14351,14571
14351,14570
14351,14568
14358,14351
14351,14567
14553,14462
14355,14455
14358,14360
14355,14462
14353,14535
14353,14534
14356,14435
14353,14543
14353,14542
14353,14541
14353,14540
14353,14539
14353,14538
14359,14351
14353,14537
14353,14536
14353,14551
14353,14550
14353,14549
14356,14455
14353,14548
14353,14547
14353,14546
14353,14545
14353,14544
14353,14559
14353,14558
14353,14557
14353,14556
14356,14462
14353,14555
14353,14554
12686,12981
14353,14552
14353,14567
14354,14536
14353,14566
14354,14535
14354,14534
14353,14565
14353,14564
14353,14563
14353,14562
14353,14561
14354,14544
14353,14575
14354,14543
14353,14574
14353,14573
14354,14541
14353,14572
14354,14540
14353,14571
14354,14539
14353,14570
14353,14569
14354,14538
14360,14351
14353,14568
14354,14537
