official_language_1,official_language_2
6767,1745
1,1571
6679,8572
45,1745
89,8574
162,2217
13617,8540
24,8545
6647,8546
74,8536
29,2251
98,2672
117,1571
173,8540
139,8571
6664,8536
124,8536
68,1571
25,8536
41,8556
173,8561
156,8579
8,8561
141,8536
151,1571
119,2053
85,1571
190,8561
191,8536
125,8536
83,2672
26,8536
69,1571
9258,8557
158,8545
131,2217
98,2217
6666,8536
43,8536
9573,8536
6644,2053
142,8545
125,8568
109,8552
191,8573
192,8545
126,8544
6683,8545
175,8563
176,8536
153,1571
11,8536
21,1571
6644,1571
149,2217
160,8536
170,1571
137,1571
193,8539
61,8536
193,8541
93,8574
193,8546
6750,8541
11203,1571
193,8552
144,8536
6684,8547
6678,1571
3,2672
193,8558
6734,8542
6668,8545
194,8536
193,8569
50,2251
62,8536
29,8536
6652,8536
10891,2053
193,8576
161,8545
6685,8545
111,8565
29,8548
188,1571
145,8536
9840,8540
13595,2217
79,8536
46,8536
89,1571
13,8536
6669,8536
195,8536
79,8549
6686,8536
129,8536
172,1571
195,8538
96,8536
13,8549
63,8536
135,2217
36,2217
179,8536
146,8536
113,8536
57,1571
47,8544
14,8544
163,8536
130,8536
64,8536
31,8536
11361,8536
196,8545
63,8574
97,8545
179,8568
147,8536
157,1571
124,1571
9974,8545
81,8536
6671,8536
6704,8536
80,8569
186,2217
80,8576
87,2217
197,8536
164,8536
122,2672
11361,8573
65,8536
56,2672
42,1571
176,2032
6655,8544
181,8536
148,8536
5,2217
115,8536
11631,1745
1585,8536
11660,8536
6716,2053
16,8536
82,8545
121,2217
181,8549
32,8561
165,8536
99,8536
198,8545
1585,8557
32,8572
6644,1745
171,2217
105,2217
78,2546
159,1571
193,2053
166,8536
166,8538
143,1571
100,8536
12,2053
132,8574
110,1576
34,8543
17,8558
106,2217
66,8577
178,2546
40,2217
9258,2672
150,8536
117,8536
75,2672
133,8554
18,8536
39,1745
183,8545
6684,1581
167,8536
134,8536
144,1571
101,8536
150,8555
59,2672
35,8536
6725,14137
45,1571
89,1745
97,3033
175,1639
140,2217
184,8536
10891,1745
6685,1571
84,8569
62,1571
118,8541
150,8574
35,8560
95,1581
58,2217
168,8536
11498,8544
90,2251
6681,2217
69,8536
112,1571
189,1745
6691,8574
185,8536
53,8536
30,1571
52,8571
185,8545
6676,8539
152,8548
20,8545
92,2217
103,8536
70,8536
94,2672
136,8543
136,8544
37,8545
76,2217
196,1571
120,8536
54,8536
120,8545
29,1639
6643,8576
60,2217
11203,8536
54,8555
104,8544
38,8545
197,1571
88,8536
11819,1745
98,1571
55,8536
6688,1571
187,8545
22,8545
28,2217
6678,8545
105,8536
71,8566
72,8536
6639,1571
138,8545
6,8542
11551,8536
6700,1745
44,1745
188,8545
9249,1571
182,1571
73,8536
193,1745
23,8551
127,1745
10891,8540
123,8536
