organizations_with_this_scope_1,organizations_with_this_scope_2
117,13332
179,14741
141,13103
179,14742
117,13209
108,13105
179,14744
108,13364
35,14735
108,13243
141,12861
125,12973
8762,13002
51,14634
117,14636
9467,9463
117,14637
9137,6637
117,14638
141,13001
8762,13140
176,13328
9,13257
23,14743
9207,9463
6655,14340
9137,6641
90,14335
51,6713
8762,6757
51,12731
8762,6631
6725,13330
164,14737
117,14530
86,13446
9187,9463
127,14736
127,14738
127,14739
127,14740
51,6731
176,13224
141,13030
51,12751
108,13289
51,13393
29,13308
6767,14736
175,13139
54,13181
127,6695
170,13300
13338,6627
5203,13184
9,13173
14011,12784
9226,6758
141,6792
117,13424
82,12721
61,13244
141,14734
108,13200
176,13268
117,6649
166,12938
51,7160
51,6649
127,13253
51,14333
8762,13345
117,13184
61,12873
51,13183
8762,12706
108,14745
11755,11316
117,13060
51,13059
51,13188
141,13344
117,12813
141,14633
