parent_1,parent_2
7070,1568
13374,13508
3743,13566
12759,13112
13334,13219
13175,13026
8441,1568
13381,13292
12696,13035
13215,6674
13063,3192
13847,12166
13504,3855
13077,13508
13114,13386
14531,14529
12178,12719
12136,13504
3413,13072
12837,13276
13316,13276
14226,13238
3192,13276
13204,12148
13203,12703
13421,13108
13711,1568
12151,13063
10211,6650
12711,13118
9941,9912
13334,13276
3306,13358
10364,12158
10645,12158
13386,12703
8421,3802
12185,13065
3743,3413
12977,13102
8473,6807
4223,3389
8451,3389
14526,12693
13423,13108
13108,3413
3123,3192
4192,13065
7045,7055
12811,13142
12727,13699
13314,3192
12033,10647
13074,13699
12709,13238
12186,13065
3295,13238
12703,3192
10603,10946
6843,1568
13407,13118
9144,10628
11473,12158
13091,12685
13102,12853
3413,7045
13119,12853
12710,11708
12169,13119
10862,10628
9458,10628
12162,1568
7042,1568
12709,13276
13500,1568
6844,1568
12906,6674
13376,13109
12778,12704
13378,13045
13151,12913
12832,13072
13046,13108
13241,12703
13360,13108
3131,13276
12725,13332
13077,12148
11491,10628
3435,13072
12169,12151
14339,4269
11151,9912
8410,4269
13505,13238
3802,4269
6949,7070
12131,1568
12176,4269
13015,6926
11013,12158
12697,12703
13197,13072
12849,13108
9989,10628
12825,12838
13072,12861
13031,13108
3793,13276
12902,13026
4223,13276
13072,12872
13204,13401
13031,13131
14532,12166
10028,12012
12850,13108
13325,12719
3290,3295
13151,13503
12946,12703
13239,1568
13131,13108
3290,3306
12755,13508
13445,13108
12847,12703
12964,13185
13445,13131
13133,13072
13566,12961
12148,13401
10066,6769
3141,13065
3697,13238
3250,13276
12169,13276
12975,3141
13018,13065
2550,4269
3125,3855
13083,13108
10157,10628
13255,12894
8445,13015
4241,13296
6743,12023
7058,3282
3678,1568
6860,3793
13109,1568
13401,13508
13836,13334
3249,1568
1930,13276
4223,13358
3435,14236
12803,13108
3413,12872
3306,3389
13060,13332
12755,13072
13209,13332
12924,6807
13190,12895
11149,10628
3131,3192
13114,12703
6981,3141
12977,12853
3290,3389
3998,1930
13186,13035
13063,13276
8445,13072
13015,7081
13204,13508
4291,1568
3793,3192
12937,13108
14328,3775
6712,13065
12148,13508
6981,3192
4223,3192
13374,13401
13148,13238
14229,3802
11680,10628
12765,1568
12152,3678
13077,13401
6927,6926
13071,13072
11028,6771
14530,13424
12959,4269
9513,10230
4252,13065
13397,12703
3290,1930
12865,6674
10607,12158
10342,10647
13088,13072
12753,12719
3998,13276
8445,3413
14227,13108
14528,14529
13170,13108
9303,10628
6674,13277
6949,3735
3413,13508
14339,13238
13108,13508
12703,13276
7076,3389
13314,13276
3282,4269
13304,13083
13411,12838
6927,3413
13500,12131
11022,10628
3435,12861
13190,13045
14527,3855
10427,10647
13185,12703
12805,12703
12975,13065
