parent_genre_1,parent_genre_2
8941,8593
8611,8583
8795,9025
8941,8590
2285,1941
8611,8590
8611,8588
9071,8665
9068,8769
9074,8583
8609,8662
12580,12531
9072,8642
14784,1566
8729,9045
8876,8585
1807,8585
8815,2285
8874,8642
8611,8603
8743,8607
8876,8582
8801,8859
12514,12551
8735,8868
8808,8662
8609,8683
9007,8642
8678,8601
8941,8642
9066,8863
9059,9080
8678,8597
9005,8701
9060,9056
1807,8614
12606,1525
9063,8971
8703,13988
8613,8587
9005,8719
8613,8590
8613,8603
8811,8609
1807,8640
8732,9014
8614,8585
8680,8583
8678,8645
1807,8665
2272,8585
8614,8603
9062,9045
8613,8642
1509,13824
8608,8793
8745,8642
8615,8587
8811,8662
8813,8601
9076,8642
9032,1807
9062,9071
9071,8793
8636,1807
8941,8739
8814,8585
8813,8616
8739,8863
8614,8649
9074,8728
8682,8585
8682,8597
13988,1807
8937,8887
8609,8808
9005,8821
8678,8719
9079,8587
8682,8601
8703,1807
8616,8601
8814,8608
1643,13824
8815,8594
8947,8596
8813,8654
8681,8651
9066,9014
8971,14008
8680,8693
8605,8971
8641,13993
8813,8662
8609,8855
9014,8588
8638,1807
8814,8640
8816,8587
9080,8597
8816,8583
8821,2285
8616,8640
2737,14764
14034,14764
8870,8959
8750,8593
12586,12568
8882,8608
8616,8662
12587,12531
12612,1525
8616,8678
8775,13992
8683,8662
8941,8858
8706,1807
8882,8640
8775,14007
8801,9106
8935,9049
8620,8583
8941,8874
8620,8585
9080,8662
9013,8697
8813,8755
12523,12525
8818,8596
8618,8662
8686,8603
13992,1807
8870,9039
9080,8683
8620,8609
8819,8580
1515,13824
8951,8603
14124,14127
14764,14766
8815,8719
8818,8627
8950,8631
8616,8755
8737,9109
8952,8583
8886,8591
8688,8586
8841,1807
9018,8609
8620,8662
8814,8801
8755,8582
8616,8797
8621,8642
13806,13793
8755,8585
8887,8585
9106,1807
8941,8971
8821,8591
8623,8585
8842,1807
8755,8601
1667,13284
8821,8608
8814,8826
8620,8692
8693,2333
8952,8642
8690,8581
8886,8650
8622,8649
8755,8623
9018,8662
9107,1807
8683,8808
8882,8784
8886,8665
14767,14768
8690,8606
8814,8859
8690,8603
8625,8580
8623,8642
8611,9014
8757,8581
9080,8808
8618,8795
8955,8588
8755,8654
8618,8801
8618,8814
8681,8911
8625,8593
9112,13988
8692,8583
8692,8585
8824,8583
8819,8739
8690,8642
8952,8726
8692,8590
8952,8732
9014,8858
8692,8601
9080,8855
8822,8662
8911,1807
14769,14770
8824,8611
9023,8582
8693,8587
8620,8795
8692,8611
8693,8580
8759,8583
8618,8859
9089,8605
2285,8585
8693,8590
8821,8719
9090,8582
13999,1807
8692,8640
2285,8603
2285,8607
8760,8583
8826,8585
9018,8778
8892,8588
8958,8591
14770,14785
8620,8841
8613,9058
8958,8604
8625,8693
9082,8863
14003,14004
8957,8636
14771,14772
9082,8859
8692,8662
8819,8826
8629,8585
8719,13988
8693,8650
8785,13991
8959,8593
8755,8785
9112,1807
8821,8793
9087,8739
8848,1807
9025,8609
14778,12551
8701,2285
14773,14770
9014,8979
8760,8662
8720,13993
8981,1807
9081,8956
8651,1807
9093,8585
8824,8732
8955,8769
9026,8609
8824,8728
8947,9025
1525,13824
8692,8732
12600,12514
9082,8931
9025,8662
8763,8593
8683,9025
8957,8719
14774,14770
8962,8581
9110,1941
8784,1807
8693,8737
8698,8582
9090,8719
2285,8727
9094,8596
8889,8801
8694,8704
8632,8587
9026,8662
12532,12613
8958,8719
8692,8784
14775,14770
8632,8603
8895,8642
8963,8587
1761,14764
8831,8585
14776,14766
9089,8790
8963,8601
8697,8649
14779,12632
1566,12632
8889,8848
8629,8717
9094,8646
9096,8585
12515,9091
8625,8863
8988,13987
9096,8593
8625,8859
8620,9026
9094,8662
14006,1807
14002,1941
9031,8594
8692,8863
8701,8585
8701,8594
8986,1807
8886,8998
8958,8826
9087,8924
8701,8603
9031,8608
9025,8795
14007,1807
8966,8585
8963,8674
9032,8585
8832,8642
1530,13824
9032,8596
8636,8585
9096,8662
8763,8739
8894,8785
8636,8591
9032,8603
1833,12632
9018,9039
8834,8593
8660,13989
9032,8614
8819,9066
13988,8585
8636,8608
8835,8585
13988,8581
13678,1807
8591,1807
9032,8638
8835,8595
8831,8719
8968,8582
9096,8710
13988,8603
14780,14772
8835,8614
1598,13824
8918,1941
13988,8614
8638,8585
8704,8590
8623,9047
8923,1807
13987,8662
13989,8601
8704,8603
8636,8665
13988,8649
8776,2285
14781,14784
8690,9055
13989,8625
8701,8708
13990,8591
9031,8719
8701,8719
9032,8708
14782,14777
9107,2285
14127,12551
8763,8863
8763,8859
8704,8642
9123,1807
12542,12551
8640,8585
8636,8719
14783,14772
8793,1807
8974,2333
8955,9068
13989,8674
8971,8583
8971,8580
13991,8606
8968,8674
1667,13824
8971,8590
13990,8650
8971,8593
9094,8870
8971,8588
13988,8708
8860,1807
9031,8797
