parent_institution_1,parent_institution_2
11293,10946
9643,10890
9877,9781
10059,6701
9537,6768
10565,10230
11077,10230
11433,10724
10494,10647
12030,10647
9381,10856
10066,6769
9571,6769
12047,10647
10826,6769
9838,6680
9955,10230
11458,10230
9410,10230
10221,10946
10587,6768
10980,9428
10917,6785
12031,10647
10748,10230
12016,6771
9975,10647
10985,6728
9313,10946
9749,10230
10267,6727
10278,10230
9512,9912
9576,6650
9589,6764
11231,10647
10719,10647
9355,10946
10225,6761
9498,6771
10531,6758
10432,10339
12049,10647
9750,10230
12021,10230
10960,6769
9463,10946
11790,10230
10079,11303
9698,6730
12009,6768
10563,10647
12033,10647
10603,10946
10606,6769
9962,6768
10134,10647
11733,10230
11572,6773
10193,6771
12051,6782
12652,10946
10082,10230
10862,10628
9348,10451
12039,10230
10961,6787
9712,10946
9306,10230
12026,10647
9884,6650
9847,6769
12018,10647
11255,11255
9332,9428
11028,6771
10039,10039
10819,10946
11247,6650
9220,6769
12010,10647
12035,10647
11714,6771
9690,10647
9145,10647
9899,6722
10492,6773
9524,9912
10274,12008
10280,10280
9939,6771
11672,10647
10902,10199
12036,9355
9429,6718
9882,6755
10238,6727
10014,6769
11087,6788
10855,10647
10054,10647
10856,10628
10276,10946
12046,10603
9151,10230
10297,6707
9234,10230
14021,6727
11423,12000
10217,10230
10114,6768
12004,10647
11654,10230
12921,10647
10789,10946
9210,10995
12029,10647
