participated_in_conflicts_1,participated_in_conflicts_2
7649,13569
7835,13569
8289,13569
6297,13630
11861,13569
4218,13569
4139,13587
8396,13587
7731,13600
1200,13569
8306,13569
7947,13569
6824,13569
3178,13569
3496,13569
7939,13569
6275,13569
5412,13569
5763,13569
12398,13587
961,13569
449,13569
3537,13587
13534,13569
4033,13569
732,13630
7803,13569
7744,13094
8373,13569
7669,13630
4086,13600
8307,13569
8249,13569
8181,13630
6898,13597
8043,13569
7902,13587
5549,13569
8175,13569
11939,13620
7963,13621
8068,13569
7964,13587
6148,13569
6916,13569
12135,13569
5343,13569
8353,13569
7803,13600
7963,13630
8159,13569
4125,13569
1115,13569
6646,13630
7881,13104
7717,13587
6099,13569
5969,13630
6000,13569
5455,13569
7920,13569
1392,13569
6156,13600
5412,13630
965,13630
6025,13569
5862,13630
3778,13600
5311,13569
8250,13600
12383,13600
3614,13569
6141,13569
5722,13630
8181,13569
4279,13569
856,13569
8078,13569
4304,13569
8338,13569
7595,13569
4139,13569
7661,13569
12383,13615
3532,13569
394,13569
7847,13569
5287,13569
8258,13630
3623,13569
8181,13587
4292,13569
646,13569
7942,13569
