people_born_here_1,people_born_here_2
10170,3264
10018,7971
9760,3682
8525,1007
8526,985
10648,741
11744,7722
8513,1387
9973,1192
9700,1463
10094,5633
9443,1236
8513,1394
11343,7873
8513,5491
11772,6868
10899,1174
8508,5660
12670,3613
10824,3497
8509,5641
10507,1045
9973,1214
9973,1215
9345,4311
10497,1360
10413,3964
10316,6974
11224,3401
10554,7800
10170,3320
11046,734
8488,6306
10316,6991
8513,1446
10229,5594
8488,6318
9216,8319
9451,1034
11176,810
8492,6190
8525,1081
8525,1082
9199,662
10766,1250
9490,3942
11046,764
11025,5505
11176,825
11353,7637
9702,5569
11184,583
9885,8097
9688,6012
8514,5537
11385,6651
9188,1040
9973,5377
9161,5973
9500,7748
8476,6726
10248,956
11176,862
9331,713
8526,1086
11180,733
8509,5722
9370,3607
9995,617
10170,3384
10497,5541
9821,6017
8525,5233
10123,752
9623,3965
9654,7093
10539,8333
8476,6759
9613,8377
11440,9086
11478,3812
10408,4208
9180,5423
8475,6800
10235,1393
9155,6201
9724,856
8526,1130
10170,3409
10395,530
9881,8273
8531,972
11058,460
8478,6723
9386,3145
10112,5215
9493,8020
11302,1093
11410,5939
10170,3429
10773,5216
9161,6037
10123,792
9859,785
9437,5675
10140,8452
11069,4231
10150,8143
10393,611
5172,6821
9752,4108
8475,6831
8475,6832
8476,6795
11374,7069
10648,916
10170,3448
8525,1195
8475,6834
8513,5659
8531,1005
8476,6815
10158,7922
10007,316
9818,6175
9682,6296
11641,7003
10170,3452
10773,1153
11069,8363
10391,709
10170,3460
9737,509
9901,3617
9183,1300
8531,1032
8526,5284
8525,5315
8476,6829
9208,521
9737,507
10150,8193
8476,6840
11068,218
8476,6842
9304,5743
10170,3473
8498,6155
10519,858
9729,774
10635,5456
8513,5697
9367,3799
8476,6855
10655,749
11302,5268
10408,208
10170,3501
11478,3914
9972,1448
10262,8843
10899,1379
10437,3415
8526,1216
8476,6871
8513,5725
10216,6182
11224,3600
8475,6900
9527,7057
10929,469
10170,3513
9289,6248
8476,6876
10954,7883
11032,5465
9318,1266
9973,1441
9490,8223
9188,1201
10170,3527
8526,5340
10170,7617
9667,6828
9759,3986
8513,5748
10436,3476
11074,12370
9500,7916
10248,1112
10549,8167
10899,1413
8500,6150
10170,3532
10170,7628
8477,6874
9624,8176
8513,5755
11202,4326
11582,738
9491,12311
9688,6205
8526,5364
10316,3118
8497,6259
8509,5896
11185,8953
11109,3117
11296,5514
8478,6861
10170,7657
9505,7807
8475,6962
8478,6869
10170,3571
10170,3572
10773,1273
9371,7870
10773,5370
11321,665
8526,5390
9203,789
8531,1150
8525,1339
9737,631
10918,9070
5150,3563
10245,1260
8478,6886
8512,5834
8476,6959
11583,8946
8476,6961
9623,12365
9203,816
10328,6901
8476,6963
8476,6966
9425,6219
9599,9027
10691,3849
9729,903
8477,6940
11333,325
8476,6973
10123,984
10634,5623
8526,5429
9368,12096
9443,5676
11772,3110
11058,679
10143,369
9448,5539
9625,8244
8476,6999
9480,8644
11617,3836
9149,6618
11481,3959
9443,5696
9599,861
8497,6351
9623,4206
8476,6995
9771,3716
10773,1336
10989,6931
9630,8099
9230,4109
8509,5981
9688,6298
8476,7006
9514,7596
10112,5451
9994,918
11699,5409
10955,3896
8476,7011
10791,8977
10691,3885
10158,8130
9864,860
9493,4169
9771,7839
9188,1338
10433,3699
10773,1351
8480,6908
9209,694
9604,737
11173,1244
8476,7029
11173,1247
8475,7060
9199,1013
8476,7037
8475,7078
8531,1246
10691,3921
10635,5657
10552,8229
10812,4265
11454,742
9453,5430
5145,7909
9885,231
9760,8202
11321,781
8526,1410
9780,7592
10496,5875
10626,5944
8475,7089
8526,1412
10160,3999
8526,1405
10545,257
8475,7084
11081,8219
10170,7798
10417,4239
10170,7799
11229,7739
8475,7092
10170,3711
10170,7808
11739,12411
11412,6172
11046,1146
10697,7871
9188,1402
10170,3728
10248,1303
11097,3658
10899,5710
10431,7930
9660,3162
11709,1077
10129,9097
8476,7094
9714,1496
10288,4182
10570,7733
9859,1098
10170,3745
9737,8976
10940,358
10635,5716
11694,5664
8513,5970
9660,3182
8526,1481
10361,6036
8513,5990
10241,5671
11481,8185
10019,259
10726,7013
9443,5841
9188,5554
10413,340
9859,5226
11100,3619
8531,5436
8526,1505
10358,6153
10045,7667
8509,6124
10170,3786
10589,3084
9855,1263
10019,8468
9188,1471
8513,6015
8532,1324
8513,6010
8475,3092
9791,3267
11788,6897
10773,1498
8525,5645
8487,6825
10775,1432
10316,3385
10389,5213
10436,11947
10119,1295
8509,6162
8488,6814
9650,3553
8476,3083
11587,850
9587,5507
8532,5455
9973,5840
9737,868
10361,6103
9771,12105
10707,7659
9242,3922
8475,3134
9909,11929
10697,7982
10140,674
9876,659
9388,3500
11629,11855
8476,3111
10170,7942
10239,5805
10556,8265
11772,3331
10170,7938
11069,548
10021,8462
11148,6304
10140,689
10431,12142
10408,579
8476,3127
9256,7616
10170,3869
8513,6086
10112,5665
10773,5655
9659,3325
11698,5651
9702,6088
10170,3877
1585,7864
10899,5856
10019,363
10093,6262
10094,6232
8476,3151
10170,3886
11176,5470
8524,5757
8476,3149
8476,3159
11448,1141
9994,1160
10123,1251
10170,3891
10773,5678
10581,3449
11460,778
8475,3201
10698,3913
10170,3910
8531,5568
8513,6120
10170,12100
10648,5473
8488,6898
8531,1469
9737,957
8485,7001
9629,4305
8475,3216
11369,3614
10269,9037
8476,3180
11093,8068
9656,3465
10648,1386
9766,8248
9859,1269
11229,3865
11481,4245
11176,5510
8513,6142
10170,12114
8475,3219
10648,1391
9796,3239
32,6911
9188,5703
9221,587
8489,6890
9660,3357
10170,3931
11235,7791
8510,6249
9514,7893
35,6827
11224,4038
8485,7026
10124,1274
10698,8055
8476,3206
9702,6160
10170,8045
9724,5488
8478,3156
9774,12125
8488,6935
9389,3592
9514,7910
8476,3226
11435,5698
9264,3369
10316,3536
11069,675
10984,3304
8476,3229
11346,286
10170,8070
10773,5763
8475,3273
10732,7033
11415,6335
11739,12675
8476,3237
11784,3090
8476,3238
9987,1462
8475,3279
10319,3459
11034,5871
8525,5827
11469,572
9660,3404
8476,3245
8476,3253
8509,6337
8512,6244
8509,6333
8476,3260
8525,5837
10698,4009
10765,6041
10924,1111
8510,6322
8476,3280
11448,1262
9859,5460
9928,3322
9297,6499
11073,8798
8476,3285
9909,8026
10328,3223
9737,1066
10648,1497
10170,8124
1585,12120
8494,6838
11081,371
9180,6063
8475,3343
11235,3800
8476,3319
10766,6057
11470,620
9188,5825
10424,8469
8488,7040
11390,3096
9464,1361
9714,5900
11751,4203
8476,3327
10698,4080
9966,6292
10170,12250
9178,6138
8488,7049
9794,3428
9264,3474
8476,3337
10148,657
8513,6286
9909,8067
11611,360
8488,7068
8476,3345
9382,8027
8478,3277
8496,6816
9514,8028
9493,8689
9729,1374
8476,3359
9659,3550
10365,6243
11224,12376
9659,7643
9464,1401
9999,5306
9373,4233
8531,5759
8476,3365
10170,8205
10655,5461
11053,1309
10019,594
8476,3372
11346,420
10729,3173
9259,3683
9623,603
8476,3387
10170,4121
10721,3426
9920,7787
11390,3178
8531,5791
8513,6349
11224,8326
9659,7689
10698,4151
10892,6326
11364,3982
8476,3407
9656,3693
5181,3154
10170,4138
8525,5982
10049,7901
10542,811
9920,7806
8477,3381
9188,5917
10170,12352
9451,5968
9479,1004
10893,6317
11074,705
9688,6809
11744,428
9199,1499
8525,6009
9527,3628
10289,487
10170,8267
9226,668
8475,3478
9737,5316
11032,6133
8475,3475
10170,4180
9654,7898
11069,893
9396,3603
10729,3242
10170,8284
8477,3432
9345,1097
10248,5872
9660,7718
10803,966
10962,12424
10316,11969
8515,6366
9188,5984
9733,1378
8475,3508
11235,8060
8494,7016
10142,995
10170,8320
11093,4282
10602,3114
10635,6189
10423,472
9500,414
9637,263
10655,1472
8525,6072
10170,12421
10962,8346
8494,7030
10446,7960
9685,6984
11100,4079
10773,6026
10698,4250
10170,4247
8475,7646
9973,6267
10170,12441
8476,3516
11576,5719
8476,3518
8476,3528
10597,3312
9188,6032
8478,3467
11465,976
9267,7688
8476,7633
10265,1327
10248,5943
8476,7627
11625,4219
8476,7630
8476,3544
9688,6933
9921,3806
8525,6122
11244,7846
8476,3552
11481,510
8475,3578
11481,505
8476,3548
9264,7792
8475,3579
8477,7626
5150,8357
10704,4125
9802,3416
10170,4296
9733,5550
10011,1029
5119,1136
8476,3568
10316,7967
10067,3399
9604,5462
9688,6954
8475,3597
10170,214
8476,3577
8524,6186
8475,3604
10245,6078
9740,1264
10170,4319
10060,7729
9987,5897
9688,6968
10265,1370
8495,7088
9665,3587
10423,569
11239,3944
10773,6113
8475,7720
11116,7764
8496,7075
8475,3631
10170,239
8478,3540
9802,3456
9881,1001
9188,6102
11353,426
9342,1333
9275,3411
8475,3636
11184,5684
8476,3615
11374,7985
10170,8448
10064,3542
9188,6117
8475,7741
10058,7820
10320,7900
8476,3623
10311,8181
9396,3778
10438,4243
9688,7014
10060,3667
105,980
9688,7008
9795,3692
8478,7655
8475,7749
10773,6152
10648,5934
10436,8409
8476,7730
11800,7079
10965,8400
10308,4193
10797,1322
9366,628
10978,3898
11000,3217
11511,7866
8475,7770
8478,3581
10046,8224
8475,3677
9846,6241
9931,7702
10424,614
1585,4284
10435,8461
11796,3133
9465,5775
8488,3288
8477,3642
11531,3177
8476,3673
8488,3302
8509,6753
10566,332
9221,1060
8476,3689
8476,3690
10049,8175
10558,8779
9933,3585
1585,8418
8476,3691
10408,1143
8475,3724
10316,8093
9724,5971
9665,11897
10598,3466
8476,11903
8489,3308
9659,3904
9587,6136
8476,3713
8475,3744
10655,5796
10311,12359
10791,5670
10989,3643
8476,7814
8476,3729
8531,6114
10170,364
10773,6257
8531,6129
11385,7761
8532,6091
184,6835
8476,11925
10060,3781
8475,3774
10170,12672
1585,8467
8476,3740
10170,12668
9660,12093
9188,6246
10248,6154
8476,3753
10170,392
8480,7721
10183,4081
5118,1354
8477,7815
8525,6327
8476,7856
10729,7644
8476,3762
10170,393
9188,6260
10327,7827
10060,3815
10328,7797
11481,726
9881,1175
10208,3326
8513,6719
9389,4133
9791,8056
10045,8375
10316,4070
9714,6358
10058,7983
8478,7812
9212,1436
10220,7053
10005,1430
11469,1113
9799,7829
9812,3324
10210,3276
11669,3102
10361,6798
8488,3422
11443,6024
51,6918
10479,3136
9637,8770
8477,3764
8475,7923
10408,5356
10112,6342
10773,6330
8497,3152
8508,6920
11224,550
8476,7913
10170,456
8476,3818
8476,7907
10408,5360
10408,5362
11385,11939
10597,7694
9623,1035
10408,1277
11385,7849
9718,6277
9147,7594
10408,5367
8478,11951
51,6953
8476,3822
9752,1139
8512,6811
10557,760
9659,4023
9289,3207
11385,11953
9771,546
8477,3796
10112,6359
9654,12368
8478,3768
9741,1488
9653,12404
9604,5732
10170,475
10463,7786
8476,3850
8476,7946
8475,12067
8476,7941
9188,6350
8488,3483
8475,3887
10934,5481
10160,805
10170,495
8478,3795
10801,1414
8476,7954
8476,3852
8476,7950
11785,7781
8475,3895
11224,597
9464,6006
51,6989
9188,6364
8488,3489
10316,4175
9470,5826
10362,6848
8476,3874
8489,3464
8476,7963
10443,4330
8476,3879
8498,3198
8476,7976
10581,8259
10170,519
11788,3610
9267,3930
9827,7051
9984,6281
8476,7986
9660,8139
10570,8602
10621,7022
9259,12381
8475,3926
8475,12118
8478,3834
11747,801
8476,7993
9409,7743
8476,3892
10147,1245
9264,4042
9613,1424
8476,3903
8476,3905
9953,3168
8513,6849
8476,3901
8476,3902
10361,6919
8476,8009
11176,6230
10316,8314
9514,8600
11481,865
9155,3338
8476,3919
10729,3709
8488,3547
8475,8049
8476,8011
10848,4112
10729,3717
9953,3197
10459,7990
10596,3746
10408,1381
8478,3868
8496,3310
10648,6224
9995,5987
10320,4105
9630,9111
8476,3925
8477,12087
10625,6948
9143,11933
8475,3969
10713,12409
9660,4092
8477,8008
8475,3975
9685,3329
8483,7825
8475,8073
8475,3977
11133,7589
8476,3940
9931,12084
9896,892
10361,6958
9259,8347
9729,6067
9366,947
8476,3955
8485,3676
8513,6905
8476,3967
11385,7996
8488,7693
9527,12349
8488,3593
8475,8102
8476,8072
9367,926
11639,12415
8476,3971
10170,612
8532,6343
9275,7886
9659,4170
10978,12434
8488,7705
8513,6941
8477,3961
10058,4103
9864,6016
8476,8084
8476,8095
9419,3439
11184,6069
8476,3995
9264,4146
10929,5789
9881,5509
8488,7734
10989,3924
11385,8032
8478,12135
9367,961
8488,3634
11224,747
9702,6970
10170,655
8477,8083
10543,1380
10614,3269
5175,3949
8476,4014
8477,8088
8475,4056
11363,545
8476,8121
8513,6975
8475,4050
8476,4021
8476,4022
10170,660
8497,3380
8513,6980
8488,3660
9149,7745
10316,8434
9264,12373
10655,6123
10147,1390
11268,3503
9702,6994
9623,5349
11527,3663
10362,7012
10348,3362
9199,6207
34,3606
9470,5999
10136,5833
10019,1268
10208,3602
9541,7906
11409,3241
8475,4082
10058,4164
10327,4027
8476,4066
11267,3555
11620,803
8478,8094
9793,4194
9289,3445
9737,5942
10326,4063
9660,4229
8475,4101
11267,7671
10698,735
10479,3423
9503,912
10864,11970
10411,1447
8513,7038
11478,5235
8476,8186
8476,12282
8488,3712
8498,3403
8476,4095
10438,618
8476,4098
8476,8190
8477,8168
9661,4232
10497,6988
