performer_1,performer_2
3627,8845
8089,3645
8845,8761
8940,8761
8845,8884
8767,8873
8761,8940
8041,8347
8637,8940
8845,8637
8940,8637
8884,8845
8089,1109
8041,8873
1109,8089
8873,8041
3627,8884
3442,8347
8347,8873
1109,7072
8873,3442
8761,8845
8041,8767
8637,8845
7072,8089
3442,8873
3645,8089
8884,3627
8347,8767
8845,8940
3645,7072
1109,3645
8767,8041
3442,8767
8767,3442
8873,8347
8637,8761
7072,3645
8761,8637
8940,8845
8041,3442
8089,7072
8347,8041
8873,8767
7072,1109
3645,1109
8767,8347
3442,8041
8845,3627
8347,3442
