place_1,place_2
10818,10818
10754,10754
11202,11202
11330,11330
11650,11650
10978,10978
10882,10882
10242,10242
10210,10210
10370,10370
10434,10434
9186,9186
9858,9858
10146,10146
9826,9826
9762,9762
9314,9314
11267,11267
10659,10659
10403,10403
10691,10691
11235,11235
11459,11459
11363,11363
11299,11299
10499,10499
11587,11587
11683,11683
9667,9667
9987,9987
10019,10019
9155,9155
9219,9219
10147,10147
9763,9763
9827,9827
9443,9443
9283,9283
9539,9539
11460,11460
10596,10596
11364,11364
11044,11044
10756,10756
10948,10948
11268,11268
11588,11588
9604,9604
9252,9252
9700,9700
9668,9668
9828,9828
10148,10148
9380,9380
9444,9444
10725,10725
10245,10245
10629,10629
11461,11461
9637,9637
10181,10181
10053,10053
9797,9797
9221,9221
9541,9541
11334,11334
11046,11046
10438,10438
10822,10822
11302,11302
11238,11238
9766,9766
10022,10022
9382,9382
9670,9670
10150,10150
9830,9830
9126,9126
9606,9606
9958,9958
11079,11079
10887,10887
11239,11239
11399,11399
10279,10279
10951,10951
9895,9895
10151,10151
10183,10183
10119,10119
9287,9287
9991,9991
9223,9223
9863,9863
9799,9799
9383,9383
9127,9127
9191,9191
10696,10696
10824,10824
10792,10792
10920,10920
10984,10984
11592,11592
11496,11496
11464,11464
11272,11272
11176,11176
11688,11688
11080,11080
10440,10440
10216,10216
10248,10248
10408,10408
10632,10632
10664,10664
9448,9448
10056,10056
9864,9864
10088,10088
10184,10184
11081,11081
10281,10281
11689,11689
11817,11817
9577,9577
9737,9737
9225,9225
9129,9129
10057,10057
9993,9993
9161,9161
9193,9193
9641,9641
10506,10506
10570,10570
10698,10698
10954,10954
10730,10730
9162,9162
9994,9994
9226,9226
9610,9610
9354,9354
9322,9322
9706,9706
9802,9802
10539,10539
10411,10411
10315,10315
10347,10347
10955,10955
10667,10667
10571,10571
10987,10987
9771,9771
9451,9451
9419,9419
9963,9963
10091,10091
10123,10123
9547,9547
9675,9675
9387,9387
9323,9323
10892,10892
11020,11020
11116,11116
10924,10924
10732,10732
10604,10604
10316,10316
10348,10348
10764,10764
10796,10796
11244,11244
11404,11404
11212,11212
9196,9196
9740,9740
10188,10188
10124,10124
9292,9292
10765,10765
11053,11053
11181,11181
11469,11469
10989,10989
10893,10893
9901,9901
10093,10093
10189,10189
9933,9933
9741,9741
9677,9677
9645,9645
9293,9293
9389,9389
9325,9325
9261,9261
8525,8525
11118,11118
11534,11534
11630,11630
11598,11598
11566,11566
10574,10574
10318,10318
10702,10702
11470,11470
10766,10766
10990,10990
10926,10926
11342,11342
11310,11310
9966,9966
9294,9294
8526,8526
9934,9934
10126,10126
9230,9230
10639,10639
11055,11055
10319,10319
11663,11663
11375,11375
10223,10223
10991,10991
10543,10543
10351,10351
11183,11183
11215,11215
10191,10191
9519,9519
9199,9199
9423,9423
8495,8495
9679,9679
9167,9167
9455,9455
10800,10800
10448,10448
11664,11664
11440,11440
10832,10832
11184,11184
11536,11536
10320,10320
10256,10256
10288,10288
10768,10768
10704,10704
10672,10672
