place_founded_1,place_founded_2
12727,8476
13346,8487
12879,11701
13051,5095
13177,10403
12884,5150
13314,9737
12152,9921
12166,8476
12185,10954
12777,8487
13295,9581
12151,5103
13092,5118
13426,10124
12872,10146
3123,8497
7045,8513
8427,9188
13380,8476
12984,9232
12984,5150
13065,10575
12791,9594
13339,10527
13091,8487
12761,8477
6758,9226
6807,8475
3413,8475
13116,8476
12851,8513
12757,10659
3793,8476
12188,9859
12852,8476
3306,8475
12870,9988
12965,10625
13140,10064
12778,35
13254,10623
3413,8497
13026,8476
13207,8495
3802,10007
6757,6727
13322,8527
12803,8488
12194,9700
12878,8476
12821,11008
3282,8475
13204,10651
13434,9933
13365,8488
6710,9221
13142,8487
13401,10698
12811,8521
13836,8487
6949,8476
12840,10436
12978,10007
13175,8509
4291,9737
13448,10279
13081,10648
13326,11002
6843,9737
8451,9292
13274,8513
4241,8476
12151,8513
12871,8477
12034,10872
12922,11500
12989,9933
3192,8497
12922,11251
13102,8487
13185,8475
11316,11385
12838,8487
12719,10641
12179,9714
13448,6727
12706,8495
13111,8483
12887,8513
6844,9737
6807,9859
12961,8534
4029,10989
12831,8476
12178,8495
13219,8476
13037,8487
12768,10170
13169,8488
13447,141
13154,9221
13169,8510
13345,5103
12798,8487
12184,10124
6674,9155
12693,9451
12832,8475
12711,11459
13699,8476
1568,8475
12163,8476
13055,5150
12187,8509
6985,8497
12861,9127
12808,8477
12154,8527
12163,51
13035,10140
4753,11397
13418,6727
12795,10934
12147,8497
12163,8513
13081,10001
3295,8476
13411,8488
13238,8476
12701,8477
12189,5150
13430,9700
12825,8487
13394,8509
12148,8478
13320,8509
1528,8488
13375,10899
12727,9
13849,9527
12192,9688
6757,10242
12738,10681
13445,8476
13316,9659
11294,9623
