place_of_death_1,place_of_death_2
7858,9399
8944,8497
753,8475
3630,9399
687,8475
1480,8475
8086,8492
6237,8475
7756,8488
8176,9802
5910,10423
1018,8475
6897,8497
8285,8476
8196,9188
6216,11180
13534,9597
8689,10300
7888,8512
8153,8488
4193,10423
7889,8486
3243,9155
4190,8475
3199,8475
5333,9906
6990,9737
7757,8488
6833,8475
7735,9188
8896,10057
5578,8475
3398,8475
404,11180
12448,8510
4257,8475
8255,9468
12294,9188
6239,8476
5248,8475
6966,8476
1415,8526
6834,8475
11855,8476
5959,11033
7627,8475
3200,8497
4304,11136
6036,10698
3465,8476
12343,9737
8287,8497
8216,10698
7631,10408
3201,8475
12114,10698
12383,8504
7693,8488
823,8475
12352,9472
8038,10094
8394,9297
3664,8476
7628,8477
4130,10423
6783,10098
7665,11428
6218,9188
8257,9468
3427,9702
11917,10700
8223,8480
3170,9480
6968,8475
5955,9164
626,8475
7695,8475
7958,8519
4194,8475
5383,8488
3537,10423
3510,9211
7937,9188
7828,8478
5759,11180
12254,8488
3534,8476
4264,10423
8066,9297
12651,8476
8224,8497
3907,9211
8268,9188
5979,8476
8061,9468
8240,10064
6148,9389
13533,9831
7796,11555
3271,8475
12370,11074
8292,8475
6046,8476
8071,9188
8203,9188
3220,10067
7626,10698
7896,8478
8175,10062
6244,8488
6332,9855
5462,10208
8401,9211
6041,10698
323,9780
7666,9480
5919,10389
8402,9188
4196,8510
4163,11585
8095,8475
7900,10423
8161,8475
6972,8476
8029,8476
6905,8509
3816,10062
12124,10557
6840,8475
12059,8476
5585,8475
4268,10391
3339,8475
8756,8488
4065,8497
6114,8476
7901,10423
4066,8476
7898,8476
4198,8488
7766,8475
8256,9665
8030,8487
6048,8488
12350,9737
4305,5182
7643,10248
3809,10319
7700,10527
6179,8533
5702,11033
8074,9188
8097,8475
12127,8475
7875,9211
7038,8533
6974,8476
8031,8476
6753,5095
12392,8478
632,8488
6969,10698
8230,8475
7957,10797
7630,10698
7834,8475
529,11699
4095,9702
8082,11033
3142,8533
8891,8496
4267,8475
7966,8497
6854,10208
6087,11459
7835,8476
6711,8509
7844,10248
5389,8533
3518,5095
8099,8497
12305,9188
7612,5164
12439,11176
5898,9155
5244,10997
8100,8476
6133,10067
7983,10058
7813,9190
8364,8491
11969,11426
12639,11135
6311,10698
11900,11527
7790,9909
960,10698
7929,9700
3938,8497
6053,8475
8104,10423
8695,8488
11976,9188
900,8475
4165,9660
6846,8475
7741,11454
8259,9737
6185,8488
3414,10423
3124,11224
8360,10698
4039,11531
3411,8476
8078,9211
6252,8476
7705,8488
7902,8532
3811,10423
7772,8475
3544,8476
3412,8476
4017,10208
6663,10102
4007,8476
6055,8475
4073,8476
8037,8478
5857,8475
7776,10423
7839,8475
7641,8475
8301,8497
7881,9225
4297,9737
3545,8476
8338,11454
8170,8475
1392,9702
7906,8475
7774,8476
7031,11033
7807,9505
1498,8476
8434,8497
3219,10423
