players_1,players_2
4334,8048
13457,8373
13900,7961
4359,12408
4336,8001
14182,7931
13457,5831
14180,823
14178,8060
4332,12237
4336,8021
13460,1150
13909,8232
14177,7604
4510,12371
4332,7648
4376,12433
13917,823
4334,8109
13464,537
13457,7920
4332,7667
14180,5996
4336,12673
4336,12671
4559,12415
4332,7676
14182,823
4336,12675
14178,1472
13457,7961
4332,8222
13460,5831
13462,7827
4334,12261
14178,8168
4654,7982
13464,1111
4336,7608
4332,8244
4332,7750
4359,7934
14177,7707
4332,12359
4334,7690
13459,7961
13462,5817
13464,5753
14177,8227
4407,8001
14179,8177
4332,12371
4336,8152
4332,8276
4332,12372
4332,7773
4332,12381
13467,7728
4332,7771
14178,533
4336,7648
4332,8288
4744,12418
4332,8291
13458,6989
4839,7940
13913,7728
4332,12395
4844,8300
4332,8300
4559,13554
13464,5272
4332,12406
13914,8232
14182,7604
14177,6231
4332,12418
14179,533
4332,12415
4332,7818
13456,8106
14182,1472
4349,12408
4334,12362
14179,7707
13461,7961
4332,12431
13910,8373
4336,12314
4359,8021
4332,11938
14178,7764
4349,12433
4332,12452
4332,12455
13912,11919
4336,12332
4332,8366
4349,7836
13453,7728
13462,7961
4963,7750
4336,8244
14197,533
13916,8232
4336,12349
4332,7866
4334,12409
4332,8375
4963,12372
4963,12373
13456,7654
14179,6231
14179,7764
4332,7871
4336,12359
13900,8232
4334,12425
13464,7920
4332,7885
4349,11965
13900,7728
4336,12373
4336,12371
14177,673
4336,12381
4336,12382
4334,12444
14177,7868
13912,8404
14178,7838
13468,7827
13456,7688
4332,13549
4336,12401
4336,12399
4332,13548
4336,12405
4336,12406
4336,12410
4336,5754
13456,8219
13456,12315
13900,6231
14180,8303
4336,12408
4359,7608
4336,12418
4336,12419
4349,13552
14179,7838
4332,7940
4336,12433
13453,7827
4336,12432
13455,8270
4963,12455
4338,7771
13454,5753
13452,8373
4963,8366
4336,12443
4332,7959
13468,4301
4334,13554
13474,7728
14182,8303
4349,7982
4334,7934
13914,13550
4332,8001
13904,8232
5015,12443
13904,7728
13475,7728
13456,631
13464,8078
14182,673
13916,8404
14186,8242
13916,13550
4332,8064
4332,12678
4332,12679
13456,8373
4349,12671
4349,12674
14180,1285
4349,12675
13900,13550
4336,7959
4559,12314
4465,12675
13917,13550
4359,7773
13904,8329
