prequel_1,prequel_2
2182,2056
2790,2155
1913,1696
1891,2380
2978,1964
2502,2386
2496,2064
5399,5769
5715,2632
14755,14753
2436,2913
1932,5741
2796,3021
2803,2807
2599,2989
2210,2249
2989,2681
6132,2016
3053,2753
2828,2562
2477,2181
1926,2376
2598,3050
2621,2337
1736,2124
2195,1718
1684,1690
2401,2502
5721,5571
5523,6081
2584,2469
5385,1653
1683,6338
14751,14421
2584,2474
3067,2863
2863,3043
2049,2169
1908,5515
2629,2620
5873,5998
2308,2340
3066,1881
1751,2210
2562,2159
5301,1729
2381,1626
1797,2836
5476,5536
2878,5693
3060,1587
2281,2696
2853,5965
5998,6261
5809,345
3067,5479
6094,5337
1751,2249
5930,5818
3042,2680
2493,1778
1804,2660
2181,2751
3056,2761
2611,5295
2017,2207
1778,2962
1612,1965
2559,2817
1820,2174
2756,2344
2102,2138
1596,2466
5225,5683
2827,2706
2817,1995
2732,1560
2776,2756
2356,2463
5965,5788
2714,5709
2049,1748
5711,5474
5699,5334
2903,5484
2078,5975
5419,5832
5344,5598
5435,5335
5529,5499
2468,2597
1560,2595
2814,1612
5718,2722
5884,5261
2915,1556
5693,2998
5526,5613
5386,2796
2247,5382
2896,1650
5832,5355
2879,1668
2807,2878
5913,5411
5795,5995
2855,1908
2751,2576
2676,2855
2934,3056
2547,2764
5503,5335
2474,2469
3028,2710
2215,2314
5906,5653
1778,2555
1938,1692
2657,2444
1809,2109
1658,2182
2860,2297
2776,2344
2522,2542
5382,2459
2951,2556
5337,5906
1917,2871
1542,2210
2710,2356
6019,6274
1665,1987
6031,2841
2748,2728
5647,2459
2380,2369
3019,2528
6203,5715
5995,2947
2191,2091
5653,2803
2497,1823
5234,6066
1542,2249
1626,2211
6065,5913
2159,2078
5426,5764
1542,1751
5453,2877
5663,3028
5818,5903
5785,2828
5658,2679
5503,5435
2666,2247
2964,5809
5966,5421
5345,2657
2998,5785
1987,2827
5329,5211
2774,1983
2632,5873
5328,5247
2679,1866
6096,6019
2759,2460
1596,1653
5515,3042
5788,5844
2836,2643
5398,5654
5801,5966
5975,6203
2620,1665
2710,2463
1653,2466
2195,2050
1938,2347
2913,1820
2730,1864
2444,2025
2531,1891
1754,1913
5685,5495
1618,3060
3043,5479
5712,2611
2288,2782
1797,2643
2160,1636
1603,2519
1974,2286
2048,2555
2124,1738
1668,3076
6082,5506
2709,2552
2089,1804
5620,5499
2722,2158
1718,2050
1840,1853
6066,1918
1692,2347
5261,5884
1587,3048
2863,5479
14753,14751
2200,2479
2158,2245
2695,2496
5911,5711
1866,2600
5620,5529
5749,3067
2932,5399
1748,2169
2247,5647
5691,1797
6081,6094
2229,2114
1612,1801
