produce_1,produce_2
14593,14368
14598,12686
14594,14358
14594,14355
14594,14353
14594,14368
14594,14362
14594,14361
14595,14353
5131,14361
14599,12686
14595,14361
14595,14358
9921,14353
9921,14354
14591,12686
14595,14354
14595,14368
5115,14361
9921,14361
14595,14363
14595,14362
9921,14363
14592,12686
14596,14354
8485,14353
14146,12686
8485,14355
14596,14362
9790,14353
14596,14361
14596,14358
8485,14368
9790,14361
9790,14362
14596,14368
9790,14363
9790,14358
9790,14368
13672,14358
14593,12686
14147,12686
13672,14353
13672,14354
14597,14362
13672,14363
14597,14361
13672,14361
14597,14358
13672,14362
5150,14353
14597,14368
13672,14368
14594,12686
14598,14354
14598,14353
14598,14363
14598,14362
14598,14361
14598,14358
14598,14368
9921,12686
14595,12686
14599,14362
14591,14354
14599,14361
5115,12686
14599,14358
14591,14362
14591,14361
14599,14368
5107,12686
14591,14358
14591,14368
9166,14362
9166,14363
14596,12686
14592,14358
14146,14358
14592,14355
5161,14361
9790,12686
14146,14353
14146,14354
14146,14368
14592,14362
14146,14363
14592,14361
14146,14361
14146,14362
13672,12686
14147,14353
14597,12686
14593,14358
14147,14361
14147,14358
14593,14354
14147,14354
14593,14353
14147,14368
14593,14363
14593,14362
14593,14361
14147,14362
14147,14363
