production_companies_1,production_companies_2
2489,3802
2297,1568
2766,3413
3053,6807
2374,3282
5548,3192
2063,12924
1718,3141
1779,13543
1713,3306
2379,3141
2353,12147
2125,6927
2473,8427
2120,7081
2094,3793
3019,3793
3040,3141
6093,6807
1710,3413
1962,3793
2463,12840
1578,3413
2044,13543
6008,13541
5417,3192
2246,3192
2705,13539
5542,3413
2771,3306
2639,3306
1516,13545
5811,3282
2095,3793
5546,3306
5530,3802
1711,3413
1917,13414
2970,13543
2247,3192
1847,3306
6081,3125
3037,3282
2228,3793
1672,12840
1858,7081
2380,3192
2505,3413
2707,13539
2316,13373
1848,3306
1650,13542
2906,3282
1849,3282
5652,4172
1991,7081
5809,3413
2972,13539
2097,3802
2510,3290
5691,7081
2793,6807
2840,13541
2912,3122
1855,3122
2211,8473
2626,3802
1850,3282
3035,3413
3023,3793
2648,3131
2445,13540
2911,3192
1856,3131
1719,3282
1942,12755
5683,3282
3007,8417
2265,6843
5424,3125
5234,13109
1835,3793
5957,7081
1583,3413
5820,3141
2099,3802
2115,3306
2628,3793
1653,13542
3014,4126
2263,6926
2512,3306
2398,6844
2648,3192
2513,3282
2050,13542
6014,13539
2990,13078
2782,3141
2795,6843
2394,6985
5816,3306
2777,3306
5954,3122
2910,3282
5254,8441
1853,3282
2110,3507
1951,8441
2869,12755
2774,3413
6279,13543
2255,3122
2101,3802
5294,3122
6081,3306
1871,6843
2628,3855
2928,6843
1989,3192
5373,12976
5818,3282
5275,3735
2515,3282
2643,3413
5689,3192
2254,3192
2662,6927
1865,7058
1854,3306
2797,6843
5432,7081
1722,3306
2501,3735
1990,3192
2089,4223
1865,7070
1596,3131
2917,3141
2607,12755
2137,6844
2968,1568
2663,6927
2663,6926
5560,3141
2531,6926
3045,3282
2781,3282
3050,3141
2527,7070
1694,4223
1966,12189
1710,3743
3060,6949
2451,13540
1610,6844
1516,1568
5424,3306
1853,3413
6316,8421
1570,12189
1596,3192
2919,3141
2523,3131
5298,3123
1973,3802
2382,3413
2588,13414
6019,13546
2502,3793
2391,3141
1675,13048
5524,8421
2115,3507
1868,7070
6214,3413
2518,3306
1983,3507
6082,3413
1597,3192
1873,6927
2617,8441
2387,3282
2853,13414
1604,7081
5888,13539
5294,3282
2501,3855
2921,3125
2496,4013
3061,6985
2405,6843
5506,13109
1855,3413
2795,7042
5544,3743
1996,3141
2622,4223
2047,1568
5905,13040
2458,13414
1733,3122
2492,4172
2658,3122
1988,3413
5695,3192
6093,3141
2262,3122
2142,6843
1712,3793
2260,3192
