profession_1,profession_2
632,12218
5918,12195
8029,12285
6975,12195
5918,12200
8032,12203
5917,12235
5918,12202
3804,12200
633,12200
8032,12214
633,12206
3803,12242
3804,12216
8033,12195
6974,12257
8033,12205
5919,12200
634,12195
4127,2220
8033,12202
634,12200
634,12202
3804,12241
8032,12253
5919,12218
8034,12200
6974,12285
6977,12203
8034,12205
635,12195
8034,12207
5920,12200
6977,12200
12261,12238
8034,12201
632,12292
5920,12205
635,12200
6977,12205
8034,12203
6977,12211
6977,12208
3806,12211
6977,12214
8034,12211
5920,12217
6977,12216
635,12218
9092,12201
6977,12229
3806,12226
3807,12200
8035,12203
3807,12205
9092,12205
3807,12206
9092,12211
8034,12253
3807,12218
5922,12200
5922,12203
9092,12242
5922,12201
3808,12200
6977,12274
5922,12211
637,12206
12265,12198
5922,12218
6977,12280
6979,12222
3809,12195
5923,12195
6980,12195
8037,12203
6980,12202
12265,12203
5923,12200
638,12195
6980,12199
3809,12202
3809,12203
3809,12200
638,12200
5923,12202
638,12201
638,12203
8034,12300
8037,12207
638,12205
8037,12226
5922,12256
3810,12200
5924,12200
8038,12200
9095,12211
639,12200
5924,12210
3804,12391
6977,12339
9095,12219
9095,12216
9095,12227
9095,12222
8037,12253
8039,12203
3811,12200
640,12200
6982,12205
8039,12207
640,12210
8039,12214
6982,12218
5923,12278
9097,12196
640,12216
5926,12200
6983,12200
3812,12196
3812,12200
641,12200
9097,12212
9097,12209
3812,12210
5926,12210
9097,12210
9097,12211
3812,12211
5926,12213
8039,12253
640,12242
9097,12216
3812,12216
8041,12196
3812,12227
3813,12196
6984,12200
8041,12200
8363,2220
642,12200
6984,12210
3813,12210
5922,12367
3813,12211
642,12206
9098,12211
8041,12210
6984,12211
8041,12211
9098,12217
3813,12216
8041,12219
8040,12259
9098,12229
8042,12200
3814,12195
3813,12227
8042,12196
3814,12199
3814,12200
8039,12300
8042,12208
9098,12233
3814,12201
3814,12202
3814,12205
8042,12216
8042,12210
8042,12211
8042,12217
8042,12219
3814,12218
3809,12380
6251,2220
9097,12302
5929,12200
644,12200
8043,12203
644,12206
644,12210
8042,12253
3815,12217
644,12213
6986,12222
8044,12200
9100,12233
8044,12196
8043,12240
8044,12209
8044,12210
8043,12235
8044,12215
8044,12211
8044,12212
644,12245
8045,12195
9100,12252
8045,12202
9102,12210
9102,12211
6988,12203
646,12200
6253,2220
8045,12205
6989,12195
3818,12195
8046,12203
5932,12195
5932,12202
647,12195
5932,12200
647,12200
5932,12210
3816,12270
3818,12205
9102,12252
5932,12218
8047,12195
3818,12218
5933,12195
647,12218
6990,12195
8047,12202
8046,12235
8047,12205
6990,12204
5933,12203
5933,12202
8047,12200
6990,12202
5933,12200
5933,12205
6990,12206
3819,12202
6990,12205
8046,12240
6990,12220
9105,12196
5934,12195
6991,12195
5934,12200
6991,12200
3820,12195
6991,12205
9105,12200
3820,12202
5933,12232
6991,12202
3820,12200
649,12200
3820,12205
6990,12244
9105,12209
5934,12211
6990,12242
649,12206
9105,12210
9105,12211
5934,12216
9105,12216
9105,12217
8047,12259
8049,12195
8049,12205
8046,12300
8048,12238
9105,12233
8049,12202
650,12200
650,12201
6992,12210
650,12205
650,12206
6992,12212
6992,12216
6993,12195
8050,12200
9105,12257
5936,12195
8050,12196
6993,12202
5936,12200
8372,2220
6993,12205
3822,12205
8050,12216
8050,12210
8050,12211
3821,12247
650,12242
6994,12196
8051,12200
3823,12197
3823,12195
3823,12200
8051,12206
6259,2220
652,12200
3823,12202
3821,12270
6994,12210
6994,12209
8051,12210
652,12210
652,12211
8052,12200
8052,12201
653,12200
8053,12200
8053,12203
6996,12195
5939,12200
12281,12200
3825,12196
5939,12203
3825,12200
8053,12205
5939,12207
8053,12207
3825,12211
6996,12218
12282,12198
8054,12196
3826,12195
5940,12195
12282,12203
5940,12201
655,12196
5940,12200
8054,12199
8054,12200
3819,12420
8054,12211
655,12200
3826,12202
3826,12205
5940,12214
8054,12219
5940,12218
655,12210
9111,12217
8055,12195
655,12218
8377,2220
3827,12196
3827,12200
8055,12200
5941,12200
8055,12210
8055,12211
8054,12242
3827,12205
8055,12219
3827,12210
3827,12211
3827,12216
8055,12217
5941,12216
3827,12219
6999,12195
6999,12200
8056,12205
6999,12199
8050,12391
6999,12198
6999,12202
657,12200
5942,12206
8056,12214
8056,12217
6999,12218
3829,12195
5943,12200
7000,12200
7000,12205
3094,2220
658,12200
8057,12203
658,12201
8057,12214
7000,12207
5943,12213
7000,12214
658,12206
5943,12210
8056,12253
658,12211
5943,12218
7001,12195
8058,12200
5944,12195
8058,12196
5944,12202
6266,2220
5944,12201
7001,12202
5944,12200
7001,12200
5944,12199
5944,12206
7001,12205
659,12200
659,12201
8058,12215
8058,12216
659,12205
659,12206
8058,12210
659,12210
8057,12253
3830,12216
9115,12219
659,12218
12287,12205
7002,12195
8059,12200
12287,12203
7002,12200
3829,12257
3831,12195
8059,12206
3831,12200
7002,12204
12287,12211
5945,12200
660,12199
660,12200
12287,12206
3831,12202
8059,12205
7002,12205
660,12205
7002,12218
660,12218
7003,12195
5946,12200
3832,12196
7003,12205
7003,12203
7003,12202
5946,12213
12289,12199
3832,12216
12289,12195
3832,12223
7004,12196
12289,12205
12289,12202
7004,12200
3833,12200
7002,12266
662,12200
7004,12210
3833,12211
12289,12218
7004,12216
662,12211
662,12218
3834,12195
3834,12200
663,12195
663,12200
5213,2220
663,12201
3834,12202
663,12203
3834,12205
663,12205
663,12211
8062,12226
3834,12218
8060,12290
663,12217
663,12218
7006,12195
8061,12255
7006,12200
8063,12203
