program_creator_1,program_creator_2
232,3111
209,3570
379,3164
12604,6911
246,7799
723,3516
277,3775
12599,12704
1159,6898
287,906
262,7060
238,3709
242,6147
1105,899
355,3157
424,3835
355,3158
349,1041
736,3636
309,3818
6544,3299
890,3227
1105,3730
1107,1108
226,6915
604,1342
836,3111
498,3605
267,4111
482,518
326,3818
1217,3335
258,3113
1433,1505
232,338
919,8225
441,7939
531,3102
262,435
317,8460
279,8103
211,3299
725,3501
421,638
334,3847
538,3669
491,3335
736,3165
582,7939
429,4235
1149,3164
429,4236
2765,6829
2765,6828
260,6916
349,1342
700,701
1503,1156
295,3278
748,3317
806,3570
1012,4096
851,1152
836,338
408,6954
379,3501
1073,1188
244,3337
557,548
427,3299
433,7723
265,3460
1094,8225
506,854
1340,3929
302,3596
1340,3930
228,7939
351,1311
1149,1150
397,398
763,1346
383,586
690,1311
804,338
408,6982
645,1173
203,1307
387,3799
455,3741
836,3450
561,3784
800,6873
886,7023
847,7976
1033,1445
203,3113
424,3174
591,5678
419,3843
700,6911
1992,8076
258,3207
536,3555
322,3278
748,4154
217,1930
12614,3929
12614,3930
1460,4103
784,4324
784,4325
287,3604
1147,1010
786,6829
711,4034
238,3337
513,3516
457,3204
289,8414
258,3232
357,3492
361,3113
877,6829
855,856
847,338
877,6837
1073,3584
547,435
786,6851
877,6851
534,6990
1155,12059
784,3337
281,3570
250,4020
417,3963
471,3570
12605,1173
489,3784
1344,1345
627,4119
359,6798
782,855
782,856
1101,3516
930,8306
666,1387
480,3570
536,3115
260,3992
563,3818
1344,1368
1325,8103
437,6963
1105,1106
1033,1034
381,6911
433,6836
557,435
723,3741
221,3943
1371,12326
1417,1173
329,3157
794,3335
329,3158
439,3335
207,8225
395,7006
234,8414
877,7939
1012,3501
319,3992
395,12388
291,8444
1927,6883
12609,3930
12609,3929
