programs_created_1,programs_created_2
1034,1033
1106,1105
7939,228
3227,890
6915,226
3492,357
8225,1094
4034,711
1173,12605
3115,536
3299,211
8103,279
6147,242
3943,221
6837,877
6911,381
3207,258
3113,361
6829,877
3232,258
7799,246
8103,1325
854,506
3669,538
3570,281
3784,561
6873,800
3992,260
1041,349
3501,379
8306,930
3570,806
1311,690
586,383
6836,433
3605,498
1108,1107
4235,429
6916,260
3963,417
548,557
6990,534
3818,563
3799,387
3818,309
3604,287
4103,1460
1930,217
3335,439
1387,666
1173,645
3157,329
8225,919
1173,1417
3555,536
855,782
3516,723
6798,359
3317,748
3335,1217
3818,326
518,482
6911,700
12704,12599
4236,429
701,700
3164,379
6828,2765
3596,302
3111,232
3164,1149
7939,582
3992,319
6954,408
8444,291
12388,395
3157,355
4324,784
6851,786
435,262
3158,329
8460,317
3102,531
856,782
8076,1992
1150,1149
398,397
3113,203
6829,2765
3335,491
4020,250
3204,457
3516,513
3501,725
7939,877
1010,1147
3741,455
12059,1155
8225,207
8414,234
4325,784
3158,355
435,547
1152,851
6898,1159
906,287
3741,723
338,232
1505,1433
435,557
4111,267
1156,1503
1342,604
5678,591
1342,349
6963,437
7723,433
638,421
1368,1344
3501,1012
7023,886
7006,395
7060,262
4154,748
12326,1371
4096,1012
3335,794
1346,763
3113,258
3111,836
3843,419
856,855
3730,1105
3174,424
6829,786
3929,1340
1445,1033
6883,1927
8414,289
3460,265
3337,238
6851,877
3450,836
3929,12609
3929,12614
3337,244
1188,1073
3299,6544
3835,424
6982,408
1307,203
338,804
3516,1101
3709,238
7939,441
3278,295
6911,12604
1345,1344
1311,351
3570,209
3930,1340
3784,489
3165,736
3570,471
3299,427
3847,334
3337,784
3930,12609
7976,847
3636,736
3570,480
3930,12614
899,1105
3584,1073
338,836
3278,322
3775,277
4119,627
338,847
