school_type_1,school_type_2
11077,14057
11206,14156
12659,14163
12659,14172
11206,14158
9753,14156
11735,14155
11735,14154
6780,14156
10810,14155
11471,14157
12660,14155
9649,13291
9489,14155
9357,14156
12660,14174
11141,14156
12000,14154
12661,14155
11670,14156
9952,14166
6715,14154
11736,14154
12661,14163
12661,14160
10481,14155
10481,14154
12661,14170
10283,14155
10283,14154
11076,14156
6782,14156
11076,14158
6650,14154
10416,14156
12662,14163
11473,14155
10482,14155
10086,14156
10218,14160
10218,14154
10284,14156
11341,14156
12662,14165
11275,14166
12002,14156
10615,14156
11276,14155
10219,14154
12663,14167
6784,14157
12003,14154
10946,14156
6718,14154
12664,14165
12664,14163
10286,14156
11145,14156
11013,14154
9229,14156
9229,14157
9229,14158
10881,14157
11013,14160
10881,14156
11013,14162
10881,14158
6785,14158
6785,14156
9560,14156
6653,14158
9560,14157
6653,14156
9428,14154
12665,14167
11344,14155
11278,14156
10023,14156
11344,14161
6720,14158
9825,14154
6720,14156
10486,14156
10684,14156
9627,14156
9561,14154
11675,14156
9561,14155
12666,14167
12666,14168
11279,14156
12666,14164
12006,14156
10751,14155
6787,14154
12006,14157
6787,14158
10619,14156
11280,14155
10421,14157
11280,14154
10884,14154
12007,14156
10157,14156
10752,14156
6722,14156
6788,14156
9565,12043
10884,14155
6722,14158
6722,14157
10356,14156
12008,14155
10885,14155
6789,14154
11149,14156
12008,14154
11017,14154
9696,14155
10819,14156
9696,14154
6657,14156
9300,14154
9498,14154
9498,14155
11216,14156
11216,14158
11216,14157
10451,13291
10225,14154
11084,14157
11480,14169
10427,14057
9829,14156
10820,14156
10820,14158
9829,14158
9499,14158
10490,14157
10490,14155
9565,14168
9565,14170
11151,14156
9565,14167
12038,13291
6791,14156
10028,14156
9962,14154
9962,14155
11680,14156
6659,14155
9764,14161
6659,14154
11812,14156
9764,14155
6659,14160
9698,14155
10028,14166
10491,14158
11284,14154
10359,14156
11482,14156
10491,14156
10095,14155
9698,14169
10293,14156
10293,14158
12011,14154
10492,14154
9501,14154
9699,14154
10095,14169
11417,14156
9303,14156
9306,14057
10030,14156
11087,14156
10228,14155
9832,14155
10889,14158
6727,14157
10030,14158
10889,14155
6727,14154
9832,14154
9568,14156
10559,14154
12012,14166
11022,14156
9965,14155
11154,14156
6728,14154
11749,14154
6728,14158
12013,14156
6728,14157
9899,14156
9833,14155
6728,14162
11749,14160
10692,14156
10296,14156
11287,14157
10230,14156
11287,14156
10428,14156
9900,14154
11155,14155
11026,14057
11155,14154
10230,14157
11089,14154
9768,14156
9900,14155
9570,14157
9570,14156
10432,14057
11222,14156
12149,12043
9174,14156
11354,14154
9372,14155
10297,14155
12015,14156
10958,14155
9174,14158
10565,14057
9703,14155
6730,14154
10826,14154
10826,14155
10430,14156
9571,14154
10628,14156
9571,14155
10364,14155
10034,14157
10034,14158
12016,14155
9968,14157
11091,14154
12016,14154
10034,14156
9704,14155
9836,14160
10695,14157
10695,14156
9836,14156
9968,14160
9704,14154
11554,14158
9572,14155
10563,14157
11554,14155
12149,14155
11356,14155
12017,14156
12149,14163
9903,14156
6732,14158
11687,14154
10828,14156
11753,14154
11423,14154
10366,14156
12149,14172
9507,14156
12021,14057
9177,14157
10234,14155
9970,14157
9970,14158
9838,14154
9970,14160
10036,14155
10961,14155
9970,14156
10961,14154
10763,14158
9640,14156
6733,14158
6733,14157
9640,14158
6733,14156
10631,14156
9772,14156
10763,14156
11358,14154
11556,14156
9310,14162
9773,14155
10037,14157
12019,14156
10368,14156
11359,14157
11359,14156
11491,14156
10104,14156
10038,14156
9179,14154
11293,14156
10831,14155
10831,14154
11293,14171
9576,14155
10501,14155
10567,14156
9576,14154
11294,14156
10303,14156
10199,13291
9576,14171
11096,14155
10039,14156
11096,14154
10171,14156
9775,14157
12021,14157
10964,14156
12153,14160
10898,14156
12153,14172
9643,14156
11096,14169
10238,14154
11295,14156
10238,14155
9908,14156
6737,14156
9512,14157
10701,14156
9248,14165
12023,14156
10107,14155
9711,14154
9711,14155
10900,14155
6738,14157
9711,14162
9447,14156
9711,14160
11627,14156
10174,14154
10334,13291
10174,14155
9381,14156
12024,14156
10769,14157
10769,14156
9712,14156
9646,14156
10901,14156
9778,14156
10175,14156
9316,14156
10902,14154
6740,14154
10307,14165
12025,14154
9647,14154
9647,14157
9449,14156
10374,14156
11525,13291
11563,14154
9515,14156
10176,14156
10374,14158
10374,14160
9912,14156
6675,14154
10771,14157
10375,14156
10441,14155
9450,14155
9982,14057
11234,14156
11394,13291
9847,14155
9781,14154
6742,14156
9979,14156
12027,14156
6742,14158
6742,14157
9649,14154
10376,14156
11433,14156
10310,14156
9649,14160
10508,14155
9649,14162
10244,14156
10310,14157
9848,14155
9782,14155
12028,14156
6743,14156
9848,14154
6743,14160
9452,14156
11236,14156
9849,14154
9849,14155
10312,14156
9255,14155
9849,14173
10246,14156
10906,14175
11303,14156
11039,14155
9982,14155
10180,14156
6745,14154
12030,14157
6745,14157
11370,14154
9788,14057
11172,14156
11332,13291
6680,14154
10908,14156
10842,14156
10512,14156
10380,14154
10512,14158
10644,14155
10314,14158
11305,14156
9257,14155
12032,14155
6747,14157
10182,14169
6747,14156
10645,14154
6747,14158
10645,14160
9456,14156
10447,14154
10447,14162
11108,14154
9324,14156
10249,14155
10249,14154
10447,14160
12033,14157
6748,14154
11108,14155
10249,14160
11042,14155
9985,14155
6682,14156
9721,14156
11769,14156
6748,14157
9655,14156
9985,14161
9787,14156
6682,14158
9589,14156
10580,14156
10580,14157
10977,14156
11043,14158
9788,14154
12034,14156
11043,14156
6749,14158
6749,14157
10647,14157
10647,14156
6749,14156
9788,14155
10779,14156
9392,14156
9392,14158
9524,14156
9458,14156
9524,14164
10185,14155
9194,14156
10251,14156
9789,14154
9789,14155
9327,14154
9393,14156
9327,14155
9393,14158
11309,14155
9459,14155
10450,14156
11507,14156
10450,14166
9459,14169
11309,14157
11177,14155
10252,14157
10847,14155
11177,14161
6751,14156
9592,14156
6751,14158
9526,14156
9658,14156
11376,14156
10847,14169
10121,14156
10980,14154
11178,14154
6752,14158
9989,14156
12037,14156
6752,14156
9989,14158
10518,14156
10452,14154
9263,14156
9395,14156
10452,14157
9489,13291
12038,14154
12038,14157
10915,14156
10717,14156
10255,14157
10255,14156
9330,14154
9330,14155
11378,14156
10982,14154
6754,14155
6754,14154
10718,14155
10850,14154
10454,14154
10454,14155
9463,14157
11247,14154
9397,14156
11313,14155
9265,14155
10454,14171
12042,12043
6755,14157
9728,14155
6755,14156
10719,14157
9662,14156
10917,14156
9728,14154
10851,14156
9332,14154
10587,14154
11380,14156
12041,14156
9927,14156
10059,14155
10855,14057
10720,14157
10852,14161
11711,14156
10852,14155
10720,14163
10720,14165
10786,14169
10919,14155
10853,14155
10919,14157
10985,14155
9664,14155
11712,14156
9598,14156
9730,14154
12042,14164
10787,14156
9400,14156
10985,14171
11316,14156
9268,14156
10325,14156
10193,14155
10193,14154
11316,14157
9929,14156
6758,14156
6692,14154
10722,14156
10722,14166
11581,14156
10194,14156
10128,14154
9798,14156
10260,14169
10128,14160
12044,14156
9930,14156
9666,14158
10591,14156
9666,14160
6693,14156
9666,14156
10789,14169
11054,14156
12048,14057
10856,14156
10790,14154
10856,14158
10790,14155
12045,14156
10724,14156
9205,14155
9469,14163
10460,14155
10130,14157
9469,14165
10130,14156
6761,14154
6761,14157
11716,14156
10593,14154
10263,14155
10134,14057
10263,14154
11254,14156
11518,14157
11056,14156
11122,14156
6762,14155
9471,14156
10462,14156
9471,14157
11519,14156
11651,14155
9537,14154
9273,14157
10198,14156
11255,14156
9471,14158
10330,14156
10198,14158
10066,14155
10727,14155
10925,14156
6697,14157
6697,14156
6697,14161
10066,14171
10199,14154
10331,14161
10133,14155
10133,14154
11256,14157
10331,14155
11388,14156
9274,14156
10133,14161
10992,14155
10199,14165
10199,14159
10992,14154
11256,14162
6764,14157
6764,14156
12011,13291
9869,14156
10794,14156
10398,14154
9699,13291
11458,14057
10530,14156
11257,14157
11257,14156
11984,14156
10861,14155
10861,14154
11984,14157
9804,14154
10134,14157
10002,14156
9936,14154
10795,14158
10663,14156
9804,14155
9738,14156
10795,14156
10531,14155
11654,14157
10663,14158
10531,14156
11192,14156
11192,14157
10267,14155
9276,14156
9210,14155
10862,14156
9874,14057
6766,14156
6766,14157
9210,14169
9871,14158
10334,14155
10202,14158
11127,14156
10268,14156
10202,14156
6701,14154
10995,14154
9608,14155
10665,14156
9608,14157
12649,12043
9608,14154
9410,14157
11260,14154
11260,14161
11260,14155
6768,14154
10930,14156
11525,14155
10534,14155
10600,14154
11393,14156
9279,14156
10600,14160
10468,14158
10006,14156
6769,14154
10072,14165
6703,14157
9874,14155
6769,14157
6703,14154
10601,14156
10469,14155
9478,14155
9280,14155
9214,14156
11394,14154
9346,14154
9151,14057
10998,14156
12649,14168
10734,14154
9941,14156
9875,14156
10206,14154
9545,14165
10272,14155
10206,14155
9347,14155
11395,14163
10206,14160
11395,14165
12650,14170
10234,13291
6771,14157
12653,12043
10669,14155
6771,14154
10735,14156
9678,14156
9810,14154
9810,14155
9612,14160
9348,14154
9612,14155
9546,14156
10603,14156
9678,14160
9150,14156
9282,14156
10339,14156
9877,14155
11066,14156
6772,14158
9811,14158
11793,14156
9811,14160
6772,14156
9811,14156
9349,14155
9349,14160
11199,14155
10274,14154
10274,14155
11992,14156
9878,14156
6773,14154
11199,14161
9680,14155
12655,12043
10671,14156
6707,14154
9680,14154
9416,14156
9482,14158
10278,14057
9944,14169
11332,14159
11662,14166
12653,14167
11332,14155
12653,14164
11266,14155
9750,14057
10870,14156
10606,14155
9615,14157
11266,14169
10870,14160
11071,12043
12654,14169
10276,14156
10937,14156
10805,14154
6775,14156
6709,14154
11994,14156
10607,14155
10805,14160
10673,14156
10739,14156
3340,14156
11466,14158
3340,14158
11466,14156
10409,14155
10409,14154
10145,14156
10079,14156
9220,14155
10211,14155
10806,14154
6776,14154
6776,14157
9683,14160
9683,14154
10740,14155
10674,14156
12656,14165
11401,14156
12656,14163
11467,14157
9353,14155
11467,14156
10080,14156
10014,14155
11005,14155
9353,14160
10278,14157
9816,14156
11071,14164
10080,14160
9882,14156
10014,14160
11468,14154
9486,14155
10675,14156
9288,14156
11468,14155
10477,14156
9486,14160
10477,14166
6778,14156
10676,14154
10874,14156
6778,14158
10544,14155
10283,14057
10544,14154
10610,14156
10280,14156
11337,14156
12658,14165
10346,14154
12658,14163
9355,14156
10346,14155
9950,14154
9884,14154
6779,14156
9884,14157
9488,14155
11602,14156
