season_1,season_2
12883,14393
13312,14403
13312,14401
13312,14400
12883,14401
12883,14396
12883,14394
13348,14836
12952,14836
13561,14398
13134,14836
13561,14397
13264,14397
13231,14396
13231,14397
13264,14398
13231,14394
13231,14395
13264,14396
13264,14393
13231,14393
13561,14403
13264,14394
13561,14400
12868,14393
13231,14405
12868,14394
13231,14402
13264,14403
13231,14403
13231,14400
13264,14401
13231,14401
13264,14399
13231,14398
13264,14400
13231,14399
12868,14401
12868,14400
12868,14397
13231,14406
12868,14396
12868,14403
12869,14394
12869,14393
12739,14836
12869,14403
12822,14836
12869,14400
12869,14401
12869,14398
12869,14399
12869,14396
12869,14397
13167,14396
12754,14400
13167,14397
13167,14394
12754,14397
12754,14396
13167,14393
12754,14393
12754,14394
12936,14397
12936,14398
12936,14395
12936,14396
13167,14403
12936,14393
12754,14403
13167,14400
13167,14401
12936,14394
13167,14398
12754,14401
12936,14405
12936,14406
12936,14403
12936,14401
12936,14402
12936,14399
12936,14400
12772,14393
12772,14394
8329,14397
8329,14398
12772,14401
14747,14617
12772,14402
14747,14616
12772,14399
14747,14615
12772,14400
12772,14397
14747,14613
12772,14398
12772,14395
12772,14396
8329,14403
12756,14393
13039,14836
12756,14394
12772,14405
12772,14406
14747,14620
12772,14403
14747,14619
14747,14618
13202,14399
12756,14401
13202,14400
13070,14396
12756,14402
13070,14393
12756,14399
13202,14397
13353,14836
13070,14394
12756,14400
13202,14398
13202,14395
12756,14397
13202,14396
12756,14398
13202,14393
12756,14395
7688,14836
13202,14394
12756,14396
7688,14835
13070,14403
13070,14401
13202,14405
13202,14406
13202,14403
13070,14399
12756,14405
12756,14406
13070,14400
13070,14397
13202,14401
12756,14403
13070,14398
13202,14402
13087,14396
13087,14397
13087,14394
13087,14393
12790,14396
12790,14393
13073,14836
12790,14394
13087,14403
13087,14400
13087,14401
13087,14398
12790,14403
12790,14401
12790,14400
12842,14836
12790,14397
12741,14394
8232,14396
8232,14397
12741,14393
13090,14836
8232,14393
8232,14394
8232,14403
12741,14403
12741,14400
12741,14401
12741,14398
12741,14399
8232,14400
12741,14396
8232,14401
12741,14397
12824,14397
12824,14398
12824,14396
12824,14393
12824,14394
12824,14405
12824,14403
12824,14401
12824,14402
12824,14399
12824,14400
12957,14394
12990,14396
12990,14393
13273,14836
12990,14394
12957,14393
12827,14836
8219,14835
12893,14836
8219,14836
12860,14836
12990,14403
12990,14401
12957,14401
12990,14400
12957,14396
12990,14397
12990,14398
13007,14396
13106,14400
13007,14397
13106,14397
13007,14394
13106,14398
13106,14396
13007,14393
13106,14393
12957,14404
13106,14394
13007,14405
13007,14402
13007,14403
13007,14400
13106,14403
13007,14401
13007,14398
13106,14401
13007,14399
8227,14618
13126,14836
13192,14836
13357,14836
13157,14394
13157,14393
13157,14403
13157,14400
13157,14401
13157,14396
13157,14397
12877,14394
12877,14395
11919,14394
11919,14397
12877,14393
11919,14396
13160,14836
11919,14393
8106,14835
8106,14836
12877,14402
11919,14403
14747,14289
12877,14403
12830,14836
12877,14400
14747,14287
12877,14401
14747,14286
12877,14398
14747,14285
12877,14399
14747,14284
12877,14396
11919,14401
14747,14283
12877,14397
11919,14400
14747,14282
14747,14297
14747,14296
14747,14295
14747,14294
12877,14406
14747,14293
14747,14291
14747,14290
14747,14303
13425,14836
14747,14302
12880,14836
14747,14301
14747,14300
14747,14298
13343,14836
13310,14836
12928,14397
12928,14398
12928,14396
12928,14393
12928,14394
12928,14403
12928,14401
12928,14400
12681,14398
12681,14399
12681,14396
12681,14397
12681,14394
12681,14395
12681,14393
12681,14406
13014,14836
12681,14404
12681,14405
12681,14402
12681,14403
12681,14400
14748,14836
12681,14401
12783,14836
8404,14393
8404,14394
8404,14400
8404,14401
8404,14396
8404,14397
12963,14393
8404,14403
12963,14400
12963,14401
12963,14398
12963,14396
14747,14389
12963,14397
12963,14394
12963,14403
12881,14398
12881,14399
12881,14396
12881,14397
13032,14836
12881,14394
12881,14393
12931,14393
12702,14836
13313,14836
12881,14405
12881,14403
12881,14400
12881,14401
12900,14836
12931,14400
12931,14401
12931,14398
12931,14396
12931,14397
12931,14394
12948,14393
12948,14394
13198,14836
12931,14403
12948,14401
13196,14393
13196,14394
12948,14399
12948,14400
13000,14836
12948,14397
12948,14398
13066,14836
12948,14396
13196,14401
13196,14402
13196,14399
13196,14400
13196,14397
13196,14398
8373,14405
13196,14395
12948,14403
13196,14396
12948,14404
13312,14397
13312,14398
13312,14396
13196,14405
13312,14393
13312,14394
13196,14406
13196,14403
