seasonal_months_1,seasonal_months_2
14363,14593
14594,14599
14594,14598
14592,14147
14594,14597
14146,14147
14594,14596
14592,14146
14594,14595
14594,14593
14363,14598
14361,14147
14361,14146
14591,13672
14363,14595
14595,14593
14595,14592
14595,14591
14146,13672
14595,14599
14595,14598
14595,14597
14593,14147
14595,14596
14593,14146
14147,14146
14595,14594
14362,14147
14362,14146
14592,13672
14361,13672
14596,14594
14596,14593
14596,14592
14596,14591
14147,13672
14596,14599
14596,14598
14594,14147
14596,14597
14594,14146
14596,14595
14362,13672
14363,14147
14363,14146
14593,13672
14597,14595
13672,14597
14597,14594
13672,14598
13672,14595
14597,14593
14597,14592
13672,14596
14597,14591
13672,14593
13672,14594
13672,14591
13672,14592
14594,13672
14597,14599
14597,14598
14595,14147
13672,14599
14597,14596
14595,14146
14363,13672
14598,14596
14596,14146
14598,14595
14598,14594
14598,14593
14598,14592
14598,14591
14595,13672
14598,14599
14596,14147
14598,14597
14597,14147
14599,14597
14597,14146
14599,14596
14599,14595
13672,14147
14599,14594
14599,14593
14599,14592
13672,14146
14599,14591
14368,14598
14368,14597
14368,14596
14596,13672
14368,14595
14368,14594
14368,14593
14368,14591
14599,14598
14368,14599
14598,14147
14598,14146
14597,13672
14353,14598
14353,14595
14353,14594
14353,14593
14599,14147
14599,14146
14368,14147
14368,14146
14598,13672
14354,14591
12686,14595
12686,14596
12686,14593
14354,14598
12686,14594
14354,14596
12686,14591
12686,14592
14354,14595
14354,14593
12686,14599
12686,14597
12686,14598
14599,13672
14355,14592
14368,13672
14353,14147
14353,14146
14355,14594
12686,14147
12686,14146
14354,14147
14354,14146
14353,13672
14354,13672
12686,13672
14358,14596
14358,14595
14358,14594
14358,14593
14358,14592
14358,14591
14358,14599
14358,14598
14358,14597
14591,14597
14591,14596
14591,14595
14591,14594
14591,14593
14591,14592
14358,14147
14358,14146
14591,14599
14591,14598
14146,14591
14146,14592
14361,14591
14146,14599
14592,14598
14592,14597
14146,14597
14592,14596
14592,14595
14146,14598
14146,14595
14592,14594
14592,14593
14146,14596
14146,14593
14592,14591
14146,14594
14361,14599
14361,14598
14361,14597
14361,14596
14361,14595
14361,14594
14361,14593
14361,14592
14592,14599
14358,13672
14593,14591
14147,14592
14147,14593
14147,14591
14362,14592
14593,14599
14362,14591
14593,14598
14147,14598
14593,14597
14591,14147
14593,14596
14591,14146
14147,14599
14147,14596
14593,14595
14593,14594
14147,14597
14147,14594
14147,14595
14593,14592
14362,14599
14362,14598
14362,14597
14362,14596
14362,14595
14362,14594
14362,14593
14594,14592
14594,14591
