second_level_division_of_1,second_level_division_of_2
10005,184
11760,51
10868,51
11463,51
10406,51
11430,51
10373,51
9580,51
11562,51
9184,51
11166,51
9710,132
11657,184
11265,51
10241,51
11298,51
9911,51
10968,51
10076,51
11695,51
9940,184
10605,51
9876,117
10688,6700
10700,184
11431,51
11398,51
9548,51
11596,51
11167,51
11233,51
10044,51
10969,51
11696,51
9582,51
11795,51
9747,51
10705,51
10833,179
11729,51
10408,51
9384,51
11432,51
11366,51
10309,51
10207,141
9483,51
9743,184
11396,141
10111,51
11069,51
10078,51
11300,51
11201,51
11131,184
10838,51
10012,51
9946,51
8490,132
10640,51
11565,51
11697,51
9451,51
9418,51
11103,51
11037,51
10306,184
10537,184
9154,51
11169,51
10178,51
10839,51
9815,51
10773,51
11797,51
10905,51
11665,51
11698,51
11335,51
10538,184
11269,51
10476,51
10377,51
10212,51
10077,141
9783,51
11765,51
11034,184
9217,184
9915,51
11001,179
10873,51
11567,51
11600,51
10341,170
10770,184
11135,132
11534,51
11732,51
10609,51
10737,179
10642,51
11666,51
9581,184
9949,51
10473,184
10045,141
11035,170
11105,51
11138,51
10709,51
11766,51
10907,51
9351,170
11634,51
11304,51
8494,117
10412,51
11403,51
11436,51
10313,51
11007,51
10243,184
10743,51
10776,51
9814,179
11104,132
10772,184
11503,51
9913,184
11668,51
10541,184
9125,51
10149,51
11301,184
11140,51
10050,51
10843,51
9819,51
9420,132
10480,51
10414,51
11603,51
9588,51
9192,51
11072,141
11273,51
9225,51
11306,51
10976,51
10047,179
10708,170
10084,51
10051,51
9320,184
10613,51
9359,12
11637,51
10939,184
10745,51
9424,51
11406,51
10349,51
10478,141
10547,51
9226,51
11241,51
11274,51
10944,51
9887,51
9854,51
10052,51
9986,51
11704,51
9521,141
9590,51
9619,170
11770,51
9689,51
9326,51
9128,51
9553,184
11242,51
11040,179
10813,51
9822,51
9289,184
9954,51
9921,51
9591,51
11174,132
10582,51
11771,51
10578,184
10516,51
10120,51
9824,12
10446,184
11210,51
10678,170
11173,184
11805,51
10781,51
9757,51
10979,51
10877,141
10550,51
10715,51
10682,51
11706,51
9328,51
10352,51
9295,51
11508,51
11605,118
10154,51
9390,184
11773,51
9758,51
9623,141
10812,141
11608,51
11209,132
11509,51
10485,51
9692,51
11638,141
11740,51
9626,51
10650,51
10254,51
11245,51
10419,51
11377,51
11373,184
8534,132
9558,132
10155,51
10122,51
10816,51
11741,51
10880,117
9821,184
11543,51
10552,51
10417,141
9462,51
11510,51
10515,170
10618,51
11642,51
9231,51
10222,51
9165,51
11246,51
9363,51
10354,51
11345,51
10949,51
10156,51
11808,51
11742,51
10916,51
10817,51
10520,51
10714,184
10483,170
11643,51
11676,51
9595,51
9529,51
10190,51
10125,12
10983,51
10950,51
9856,179
9860,51
11479,51
9398,51
11446,51
9365,51
10620,51
9563,51
11578,51
10224,51
11182,51
11475,179
11347,51
9266,51
11574,184
9861,51
10092,51
10026,51
11645,51
9726,141
11777,51
11381,51
9333,51
9791,184
10489,51
11047,170
11117,51
11150,51
9924,170
9201,51
11113,170
9164,184
9862,51
10287,184
11613,51
11646,51
10388,132
11745,51
11349,51
9759,184
9466,51
10127,51
10292,51
10090,170
10259,51
10226,51
9132,184
10854,51
11052,51
11775,179
10656,51
11614,51
10590,51
11713,51
11746,51
9302,51
10621,117
11515,51
11548,51
11449,51
10425,51
10323,141
11119,51
10355,184
11086,51
9170,51
11813,51
9202,92
11743,179
9600,51
11615,51
10624,51
10192,132
10295,12
9534,51
8477,51
10025,184
11016,184
10294,51
11285,51
9761,184
11516,51
10027,132
11450,51
9369,51
10063,51
9299,184
9960,170
9799,51
11781,51
11382,132
9964,51
10988,51
9865,51
11550,51
9894,184
11352,51
11253,51
10361,51
10031,51
11513,184
11220,51
10163,51
10061,141
11447,184
11815,51
9800,51
9767,51
10758,51
11782,51
10923,51
10213,6700
9135,184
10594,12
11584,51
11485,51
9239,51
8496,6700
10395,51
9371,51
9631,184
9235,184
9831,141
10859,12
9334,184
10690,141
9702,51
10693,51
11750,51
10825,51
9834,51
10858,51
10528,51
11552,51
