service_language_1,service_language_2
12768,1571
13270,8536
13006,8536
6763,8536
13072,8536
12164,8536
6674,1576
12742,8536
12808,8536
13044,1745
12858,8536
13110,1745
3295,8536
1528,8536
12858,8544
10100,8536
10034,8536
13238,8536
13061,1745
12858,8560
12858,8557
12858,8553
12826,8536
12925,8536
3775,8536
12858,8566
6715,8536
13107,8536
13074,8536
13140,8536
12187,1745
10779,8536
6650,8536
13035,1571
13108,8536
12183,8536
12183,8547
13074,8574
6634,8536
12943,8536
13009,8536
12183,8544
6757,2672
12183,8557
13092,8536
12183,8551
12788,1571
12795,8536
12861,8536
12685,2217
12927,8536
12183,8571
4438,8536
3447,8536
12184,8536
12816,1745
11309,8536
12911,8536
12878,8536
12994,8536
6718,8536
12961,8536
13044,8536
13318,1576
13110,8536
6757,2217
13259,8536
13325,8536
11178,8536
13292,8536
13044,8541
12922,1571
13358,8536
12742,2032
10831,8536
12858,2032
13061,8536
12768,1745
12961,8574
13276,8536
12994,8574
6785,8536
13375,8536
12858,2546
13111,8536
13177,8536
6769,8536
1930,8536
13277,8536
12187,8536
9313,8536
13376,8536
12914,8536
9875,8536
12837,2217
12164,1571
3698,8536
12858,1576
13162,8536
13327,8536
12782,8536
12788,2217
10982,8536
12187,8557
10982,8545
12183,2546
12700,8536
12155,8536
12865,8536
10206,8536
4343,8536
12925,1571
13251,2217
13035,1745
6738,8536
12871,2217
12023,8536
12172,8536
12717,8536
12183,2053
11214,8536
12816,8536
12965,8536
12816,8545
13074,1571
9447,8536
12816,8544
12788,1745
12816,8557
12701,8536
13136,2217
13219,2217
13318,2217
12717,8560
6772,8536
12717,8557
12183,1571
13131,8536
12816,8574
12685,8536
13263,8536
4906,8536
12183,1581
11017,8536
12183,1576
6634,1571
12157,8536
12190,8536
12768,8536
12851,8536
12884,8536
6674,8536
6707,8536
6773,8536
12719,8536
13198,8536
13413,8536
12901,8536
13380,8536
13044,2053
6724,8536
13110,2053
6757,8536
6674,8556
10490,8536
6763,2217
12922,1745
12819,8536
10771,8536
12852,8536
12164,2217
12994,1571
12961,1571
12984,8536
13110,1571
13325,1571
3141,8536
13044,1571
13051,8536
3389,8536
12159,8536
12183,2672
11284,8536
6634,2672
13035,8536
12808,1745
10128,8536
10607,8536
12738,8536
12837,8536
12870,8536
12969,8536
13074,2217
13277,1571
13234,8536
12788,8536
13277,1576
11467,8536
12187,1571
13251,8536
6727,8536
12706,8536
13035,8574
12194,8536
12871,8536
12838,8536
13449,8536
12183,2217
10460,8536
13053,8536
12788,8557
13086,8536
12943,2217
13110,2672
13235,8536
12690,8536
13334,8536
13074,1745
13037,8536
13136,8536
13219,8536
3656,8536
13186,8536
12717,1571
12816,1571
6728,8536
13318,8536
12872,8536
12922,8536
4350,8536
12183,1745
13153,8536
12757,8536
12179,8536
13401,8536
13048,1571
12922,8547
13318,8559
12961,2217
13044,2217
13110,2217
12187,2672
12163,8536
4252,8536
