sessions_1,sessions_2
12939,5104
12939,5102
12939,5100
12939,5109
12939,5106
12939,5120
12939,5121
12939,5114
12939,5129
12939,5127
12939,5125
12939,5122
12939,5123
12939,5137
13319,5133
12939,5134
12939,5135
12939,5130
12939,5140
12939,5138
12939,5139
12939,5153
13319,5147
12939,5151
12939,5149
12939,5160
12939,5159
12939,5155
12939,5168
12939,5166
12939,5165
12939,5162
12939,5163
12939,5176
13319,5171
12939,5173
13319,5178
12939,5179
12939,5193
12939,5190
12939,5191
12939,5188
12939,5186
12939,5198
12939,5199
12939,5196
12939,5197
12939,5208
14123,5111
13319,5201
12939,5205
12939,5089
12939,5087
12939,5210
12939,5096
12939,5097
12939,5094
12939,5091
