sibling_1,sibling_2
3170,3169
8052,6197
276,5336
1125,3850
7614,1096
6197,8157
1203,3997
3760,4092
11961,7650
8362,5311
3969,5813
5725,5651
406,4144
7757,8203
3902,5850
3904,1436
5895,642
5725,5918
371,6259
3887,7089
6259,371
3864,5755
4144,406
268,753
5952,4009
7598,5723
5651,5918
5813,3969
3704,4072
12413,7763
6350,382
5850,3850
3850,3902
6739,6759
1096,7614
7891,7661
1125,3902
3863,5812
4276,4277
3812,3813
12668,12672
13548,13552
7661,7891
3081,5740
7763,12413
1316,5422
3902,3850
6224,7644
3095,5829
1263,1181
4072,3704
4214,4168
6876,8944
8164,8705
3618,635
6118,6852
7089,3887
3850,1125
1203,753
6852,6118
3813,3812
4277,4276
1301,3351
8203,7757
5850,3902
5651,5725
893,4231
5253,5522
4168,3827
3302,982
6271,6224
5918,5651
12330,7834
5422,1316
5723,7598
12342,7720
3997,1203
1403,6097
3827,4168
691,6155
4009,5952
1203,268
1066,676
3856,3533
4198,4199
1239,1209
4124,5473
642,5895
7657,3213
6097,1403
8043,7891
3637,3680
753,3997
5311,8362
5850,1125
6759,6739
982,3302
7834,12330
4231,893
5710,8289
3680,3637
6879,1497
8196,5723
5473,4124
3351,1301
8043,7661
4199,4198
753,1203
6197,8052
3827,4214
3533,3856
5812,3863
8052,8157
3902,1125
8944,6876
6011,12294
5829,3095
1181,1263
3997,753
7644,6224
7891,8043
8157,6197
12672,12668
13552,13548
5755,3864
3213,7657
5659,1206
8705,8164
5918,5725
676,1066
635,3618
5723,8196
8289,5710
6155,691
7720,12342
5614,3387
8376,5825
3850,5850
3997,268
382,6350
268,3997
12305,7937
7598,8196
3387,5614
1125,5850
5825,8376
7650,11961
7661,8043
5740,3081
3169,3170
1436,3904
1206,5659
1497,6879
7644,6271
268,1203
4168,4214
8196,7598
7937,12305
6224,6271
12294,6011
5522,5253
4092,3760
8157,8052
753,268
4214,3827
6271,7644
1209,1239
5336,276
