singers_1,singers_2
14655,6308
14655,4003
14655,416
14655,8363
14709,808
14655,1457
7306,8351
14655,3503
7306,7079
7243,4168
14655,1474
14655,1219
14655,3264
14709,3382
14709,3906
14709,577
14709,3900
14709,7996
14709,3146
14655,4306
14655,4050
14655,206
14709,3909
14655,4315
14655,3801
7306,6342
14709,332
14709,5976
14655,4064
14655,4318
14655,5854
7306,4308
14655,4077
7243,3704
7306,988
14655,4081
7261,8278
14655,8188
7306,4071
14655,8184
14655,6135
7289,8180
14655,6149
14709,5243
14709,3960
14709,5752
14655,771
14655,3328
7306,3311
14655,8192
7306,6135
7306,3574
14709,3723
7306,8188
14655,3859
14655,4114
14655,5649
14655,3599
7243,6046
14709,4239
14655,3609
14709,1420
14655,3109
7243,6831
14655,8749
14655,5676
14655,810
14709,3485
14709,6058
7306,6944
14655,3643
14655,312
14709,6319
14655,825
7306,4133
7306,9001
14709,4278
7289,3645
14655,332
14709,4031
7306,824
7306,3127
14709,1480
14655,8018
7306,3647
14709,8144
7289,8278
7306,3148
14709,8154
14655,4191
14709,3554
7243,6904
14655,1127
14709,3804
14655,629
14655,7022
7306,8050
14709,3841
7243,8211
7306,5233
14709,7679
14709,3326
14655,391
14709,777
14709,5639
14709,3334
14709,6149
14655,8349
14655,3997
14655,8348
7306,1153
7306,3463
14655,3478
