specialization_1,specialization_2
11978,13773
9204,13747
13785,12551
11979,13747
13801,14610
6742,13795
11979,13758
9979,13809
13746,13766
11979,13754
11979,13757
6727,13754
6742,13801
13763,13747
11979,13767
11978,13288
11980,13738
6727,13764
11979,13764
11978,13795
13730,13754
13746,13770
9570,12677
10427,13760
13744,1554
11985,14610
11484,13767
11979,13785
11978,13297
11978,13809
13747,13757
13747,13765
11980,13770
12045,13796
11980,13766
11995,13812
11979,13796
11980,13771
6748,8544
11986,14612
12050,13664
11998,13735
13747,13288
10889,13822
11980,13288
11980,13800
11980,13801
11978,13858
9205,13805
10260,7212
6782,13664
6728,13288
13732,13766
13732,13764
6697,13747
10763,8536
9144,13664
11985,8536
11985,13668
11997,13805
11985,13664
6780,13747
11998,13787
6780,13758
11997,13822
13767,13735
10810,13767
6764,13747
11985,13182
6748,13738
11979,13363
11985,12677
11983,13764
10450,8557
6764,13764
10763,12677
12429,13764
12677,13756
12050,13747
6748,13766
6650,13732
13794,12429
13766,13297
11987,13664
6650,12200
6697,13812
12050,13766
12023,12551
11572,13744
6732,13766
11993,14513
13668,13789
12050,13770
10530,13785
6650,13754
6764,13297
11985,13747
11983,13297
10006,13668
11985,13758
6682,13288
11985,13755
11979,7295
12020,8585
11985,13766
11988,13668
10469,9044
11985,13762
6732,13288
11985,13770
13777,12489
13035,14513
9908,8536
11979,14480
6764,1554
9393,13747
10647,13784
6727,14480
11989,13664
11979,13983
10977,13297
13737,13754
13747,12930
13769,13784
6701,13764
9177,13297
13773,13668
12550,13182
10303,13731
13768,12809
13790,13664
13769,13801
6727,14513
11988,13730
6771,13668
9612,13664
11987,13766
12615,13755
13737,13785
11988,13743
13747,14513
11979,12489
11303,13983
10534,13757
6752,13755
11260,13288
6728,14513
13732,12429
13739,13747
11988,13770
13739,13758
13738,13787
11988,13765
13772,13769
12022,13747
12550,13758
11981,14513
11993,13630
11988,13780
13363,8545
13739,13780
11978,14611
11988,13789
11988,13288
10486,13772
11987,13832
9429,13766
11989,13766
12006,13762
12550,13796
11983,12429
10794,12930
9459,7212
6788,13735
12005,13297
6771,13764
11979,12573
6738,13765
11989,13297
13741,13770
13758,13754
13774,13767
13751,14480
12677,13983
6788,13766
11980,14610
11980,12050
9150,13764
13747,14612
7203,8585
12008,13735
10066,11987
13747,14611
13858,13743
13808,13758
6771,13787
13759,13738
13772,13858
11303,12573
11978,13664
6707,13730
6788,13785
12023,13288
13363,13744
11978,13668
12550,13363
13732,12050
6693,8557
13775,13785
11979,13664
6675,13737
11982,12551
11993,13756
13774,1554
6773,13785
11993,13755
11979,8557
11993,13754
11980,9044
13776,13785
11979,13182
11980,8545
11993,13769
13747,13668
6707,13800
13775,13822
6773,13288
10070,14513
12040,1571
11978,13733
11812,13756
12429,12550
12027,13746
6659,13769
11581,13758
6743,13733
11978,13746
11284,13758
11978,13747
11993,13805
13746,13733
11993,13801
11993,13288
11979,13735
11978,13766
13744,13805
11979,13737
13732,13664
12517,7295
11979,13732
12677,12573
