specialization_of_1,specialization_of_2
12334,12211
14512,12276
12275,12242
12210,12211
14490,12200
12224,12299
12292,12242
12284,12232
14498,12204
12358,12240
14497,12232
12351,12210
12475,12204
12227,12211
12341,12260
12244,12198
14504,12290
12267,12260
12219,12211
12243,12235
12302,12211
12301,12240
14506,13770
13515,12235
12285,13770
12253,12203
14505,12276
12318,13770
12252,12233
12385,12200
12450,13770
12228,12211
12243,12260
13828,13822
12446,12374
12551,12203
12212,12211
12211,12242
14508,12204
12293,12260
2220,12211
13790,12204
12317,12295
14499,12235
12269,12245
14489,12303
12468,13770
12262,12220
4332,12290
12196,12211
12205,12203
12722,12300
12197,12202
14465,12290
12246,12213
12230,12200
12236,12269
12319,12269
14509,12473
12263,12211
14495,12390
12279,13770
12214,12203
13765,12249
12277,12295
13813,12295
14493,12204
14492,12235
14510,12204
5085,12279
12451,12286
14500,12255
12206,12200
12453,12220
12271,12242
14502,14501
12304,12240
12272,12220
12427,12276
12329,12242
13773,12276
14491,12290
12230,12245
12247,12232
12207,12203
12429,12235
12221,12279
14503,12204
12255,12260
12288,12260
12273,12213
12394,12299
13735,12200
12198,12242
12412,12260
12238,12290
12222,12276
12397,13770
12208,12203
12445,12276
12256,12260
12215,12252
12430,12242
12357,12211
12407,14501
13734,12276
12348,12232
14507,12374
12216,12223
12225,12200
12232,12242
12233,12211
12440,12206
12473,12204
13793,12242
13835,12220
13668,12276
12248,12276
12438,12276
13768,12260
14437,12255
12331,12260
12217,12211
12274,12245
12209,12211
12307,12243
12291,12240
14494,12300
14496,13770
12226,12203
12306,12293
7288,12210
12308,12242
12234,12232
12275,13770
14511,12295
13680,13736
