specializations_1,specializations_2
12240,12304
12276,12222
12242,13793
12211,12196
12252,12215
12211,12209
12242,12271
12276,13773
12211,2220
12203,12207
12286,12451
12255,14437
12211,12217
12203,12208
12260,13768
12276,12248
12211,12210
12203,12205
12242,12275
12235,13515
12211,12212
13770,12279
12203,12214
12235,12243
13770,12275
12211,12219
12303,14489
12220,12453
12232,12348
12204,14498
12240,12358
12211,12233
13770,12285
12204,14493
14501,12407
12211,12227
12242,12292
12260,12243
12211,12228
12204,14503
12260,12255
12260,12256
12203,12226
12204,14510
12269,12236
12242,12308
12204,14508
12204,12473
12260,12267
12295,14511
12211,12263
13770,12318
12204,12475
12203,12253
12245,12230
12260,12288
12242,12329
12255,14500
12279,12221
12243,12307
12260,12293
14501,14502
12293,12306
12206,12440
12220,12262
12220,12272
12204,13790
12203,12551
12211,12302
12245,12274
12245,12269
12200,12385
13822,13828
12279,5085
12299,12394
12290,14465
12213,12246
12295,12277
12295,13813
12210,12351
12260,12331
13736,13680
12260,12341
12269,12319
12220,13835
12213,12273
12211,12334
12290,14491
12232,14497
12223,12216
12290,14504
13770,12397
12198,12244
12295,12317
12200,14490
12211,12357
12276,13668
12242,12430
12390,14495
12200,12206
12210,7288
12200,13735
12232,12234
12290,12238
12249,13765
12374,12446
12299,12224
12374,14507
12242,12198
13770,14496
12473,14509
12232,12247
12300,14494
12200,12230
12276,12427
12260,12412
12200,12225
13770,12450
12300,12722
12276,12438
12235,12429
12242,12211
13770,14506
12276,12445
13770,12468
12290,4332
12276,14505
12232,12284
12240,12291
12233,12252
12242,12232
12235,14492
12276,13734
12202,12197
12240,12301
12276,14512
12235,14499
