student_1,student_2
10234,1278
10364,5436
11378,6783
11563,1048
6650,5894
11998,3943
6727,3512
9874,4263
9985,828
9459,752
9883,3993
11022,1447
9703,1387
11687,5420
10875,6013
12648,200
6718,3818
9346,4277
11198,12404
6707,4169
12023,3209
9874,4302
6650,5943
10508,1027
10296,7607
11077,7972
11232,3179
11988,4319
9704,1393
12655,8215
9459,807
10247,956
10774,998
6650,5969
10421,11949
12661,8046
6707,4208
9234,7795
13731,7658
13732,7628
12657,8197
12023,3276
10535,247
6650,6007
6718,3898
10251,881
13806,5359
10810,8124
9549,6273
10619,5870
9179,1354
6727,3649
10002,432
6743,3157
13758,6883
6650,6047
11736,4023
1571,7851
11151,5782
9353,4188
11388,6638
10247,1058
6742,3215
10591,6781
9459,9105
11491,3450
6745,3124
6665,5619
6707,4321
1554,222
6707,4319
10244,1175
9234,7910
12175,6850
10774,1132
9459,937
12029,3195
9459,938
11993,4319
13804,5517
11337,8264
13737,7607
11076,8177
10342,6355
10789,8879
6722,3891
11077,8149
10104,5543
9459,975
10278,8362
12657,8339
13738,7593
10946,4045
1554,8474
12652,307
10960,3609
11733,4233
12653,286
12663,8176
9837,5670
6722,12125
10774,1212
6740,3385
10826,7788
12008,12111
9773,7669
6727,3799
10182,3195
9459,1026
9459,1028
10535,450
6722,3962
6748,3166
6715,4193
13739,7628
10535,454
12659,8353
13736,7734
11151,5944
9498,8046
12655,290
6730,3737
6748,3184
12653,348
6748,3193
9622,4206
13735,7787
12000,4224
10647,5215
10960,11895
9459,1083
11234,3404
12648,540
11998,4307
6740,3466
10647,5222
12655,321
9459,1093
10946,4156
9459,1113
13737,7757
6722,4038
13730,7983
6748,3244
11077,8309
11491,3669
9764,8054
10819,8127
9459,1137
9989,1087
10647,5277
9640,3725
11680,6015
9234,8127
9778,7647
11507,3207
6715,4299
9837,5826
9471,789
13741,7681
12018,11939
6727,3936
10171,11862
12009,4039
12008,4069
11071,343
9459,1162
10452,3156
12006,4133
6715,4318
13767,6900
11089,7993
12648,635
11178,5241
9471,816
6722,4124
9205,881
6720,12377
13742,7692
10008,565
12010,12231
6748,3315
13741,7726
12653,495
10252,1198
10171,11900
9459,1205
6727,3991
13737,7869
11122,7010
6722,4149
9459,1230
9837,5893
10171,11924
9982,1409
12652,569
13737,7893
12550,11922
10701,11900
11491,3809
12657,8630
8536,5307
9738,9001
11247,3182
6722,4203
10363,6024
13732,8078
13732,8075
9498,8270
11178,5340
9459,1295
6728,4035
9640,3884
10960,12117
11089,8118
9781,7700
11480,4196
11084,8282
10701,11962
10544,440
12666,8387
9985,1385
10701,11956
12652,642
10980,3319
10906,5616
11178,5370
11247,3233
6727,4095
6748,3450
12677,8061
6748,3458
10339,6818
9459,1332
12017,3964
9471,973
11222,4030
10008,703
9811,6812
6740,11903
10559,8211
9138,3111
13735,8059
10268,9037
6754,3285
9459,1349
11089,8175
6748,3475
12662,367
10826,8129
11232,3738
11247,3273
10606,6759
12046,3090
10286,307
10174,11972
9459,1363
11175,5510
12149,8097
9513,7893
6748,3492
12662,386
12429,7609
13741,7895
9781,7774
12026,11917
11071,569
6737,3853
10820,8360
6722,4324
6747,3546
6748,3522
9804,7084
12550,3880
6748,3520
13745,7792
10121,5451
12029,3657
10249,1492
12662,416
11519,3090
9545,6941
12022,3884
10008,775
10006,838
9647,11969
11255,3091
9224,516
9459,1419
11979,5218
10535,845
10293,8346
10603,6922
6737,3893
11247,3345
11581,1188
13745,7846
9372,4144
11071,628
13737,8093
1571,8405
13738,8059
12016,4095
12550,3928
6665,6141
10647,5582
10198,3119
10534,906
10110,5858
10363,6206
13737,8118
12663,451
12046,3190
6665,6167
10286,418
11234,3800
6748,3602
13752,7670
6748,3604
12653,777
9499,243
11401,6828
6737,3959
10695,12326
11979,5293
6748,3621
10037,8163
12654,759
11979,5299
13751,7710
6749,3592
12429,7746
10810,589
10647,5645
11979,5313
6738,3948
9728,1374
6761,3237
9392,3603
13732,8330
9837,6188
13732,8325
9989,1477
11980,5293
11071,715
6727,4303
9501,8440
10973,11957
12429,7780
11979,5359
9372,12449
11355,8316
11979,5366
10303,8173
6764,3197
9469,1266
12648,1017
10008,935
10451,3587
10110,5967
6740,3943
13752,7765
11507,3627
10850,7622
12429,7827
6768,3093
9640,4170
9486,8953
12659,704
6737,12251
12648,1043
6747,3746
11980,5366
12659,710
11491,12344
11341,605
6742,12107
10133,5293
11071,792
6665,6308
11401,6957
12023,4058
12029,3875
12149,8346
12650,1001
6737,4085
11691,6156
6748,3754
12046,3351
10727,3291
12652,962
6769,3111
11979,5434
13751,7846
11672,6774
6769,3113
12046,3368
9782,8016
6650,6809
12046,3374
6769,3126
9837,6318
11247,3569
13737,8296
13182,926
11982,5359
12046,3386
9145,3204
12654,922
9782,8029
9781,8073
6769,3137
12652,992
10002,1218
12652,987
6758,3482
10720,3547
10325,7599
