subdiscipline_of_1,subdiscipline_of_2
13757,13794
13985,12677
13749,12438
13801,13769
13792,13741
13288,13747
13764,12429
13772,12438
13734,13742
13763,13739
13808,12677
13760,12438
13779,13769
13810,12677
13748,13768
13745,13794
13858,13748
13816,13770
13668,13747
12429,13768
13780,13739
13984,12677
13794,13768
13798,13769
13765,13768
12050,13746
13731,13794
13762,13794
14612,13747
13815,12677
14430,13770
14464,13739
13664,13770
13737,13363
13858,13769
13742,12438
12429,13794
13747,13768
14685,13747
13781,13739
13784,13769
13732,13794
13756,13815
14509,13769
13743,13769
13789,13749
