subgenre_1,subgenre_2
8795,9025
8859,9082
8863,8971
8662,9059
8859,9096
9066,8819
8859,9104
8998,8886
8732,8952
8665,8981
8793,9107
8728,9074
1807,8591
8966,13990
8665,8986
8662,9080
1807,8596
8678,8593
8604,8841
8729,9062
8607,8743
8793,9123
8678,8601
8608,8719
8662,9094
8662,9096
8596,9094
2333,8693
8801,8889
8739,8763
8608,8729
8808,8683
8597,9080
8662,9110
8678,8616
8745,8597
1807,8636
8797,9031
8601,8963
1807,8638
8737,8863
1807,8651
8607,8793
8614,8585
2333,8732
1941,8599
8863,9066
8665,9062
9068,8858
8863,9063
8597,9118
8665,9071
8608,8784
8739,8819
8611,8692
8608,8795
8863,9082
8674,8797
8603,8951
8608,8791
8609,8775
1807,8692
8732,9065
8608,8814
8611,8714
8611,8726
1807,8703
8608,8821
9112,13678
8739,8850
1807,8706
8611,8737
8603,8981
8611,8742
8870,8906
1941,8667
9066,8971
8863,9121
8604,8958
1807,8729
8608,8841
8609,8811
8608,8850
8875,8774
8814,8618
8931,9082
8603,9032
8683,8609
9063,9117
9068,8955
8611,8788
8608,8882
8735,9050
8614,8708
8601,9107
1807,8784
8708,13988
1807,8793
9014,8611
8603,9058
1807,8795
8739,8941
8642,13996
9039,13987
8611,8824
1807,8804
8608,8923
8775,13987
8608,8922
1807,8815
1807,8814
8719,13678
1807,8821
9039,14000
8775,14000
8745,8796
8640,1807
8745,8795
1807,8841
1807,8842
1807,8848
1941,8790
8674,8968
8674,8963
8678,8850
8608,8973
1807,8860
9066,9117
8606,9042
1941,8806
8874,8941
8606,9058
8605,9089
8811,8849
1807,8886
8608,9005
2333,8974
8614,8835
8607,9049
1807,8911
8739,9063
9014,8732
8870,9094
8605,9118
8607,9056
8870,9096
1807,8923
8608,9031
8678,8922
2272,8855
8739,9087
8609,9018
8616,8813
9014,8764
8811,8906
1807,8947
8581,13988
8609,9025
8609,9026
8609,9039
1807,8958
8755,8616
9110,13995
9071,9062
1941,8918
8680,8904
1807,8981
8582,14001
1807,8986
8951,8703
8742,9050
8755,8654
8649,13988
8608,9118
8583,13997
1807,9013
1807,9012
1807,9017
1807,9025
8808,9080
2333,9109
8650,13990
1807,9032
8611,9050
8686,8774
8887,8708
8808,9110
9089,8593
8616,8922
8585,13988
1807,9062
8692,8620
8625,8660
1807,9071
2285,8591
9014,8892
8783,13999
8585,14006
1807,9090
8693,8625
8811,9059
8596,13678
8623,8755
1807,9107
1807,9106
8614,9032
1807,9112
1807,9123
8623,8778
1941,9069
2285,8650
8693,8660
14004,14003
8811,9110
8693,8680
9014,8971
8826,8650
8755,8813
1941,9110
8585,1807
8631,8581
9026,8620
2285,8701
8631,8582
8631,8585
8887,8850
8693,8739
9025,8683
9080,9059
8683,9080
9014,9066
8633,8584
8627,8783
8591,13990
2285,8776
8955,8858
2285,8797
8887,8937
9080,9110
9093,8701
2285,8815
9025,8775
8627,8818
2285,8821
8633,8640
8950,9056
8826,8814
9025,8784
8826,8819
9025,8795
8764,8706
8627,8860
8821,9005
9082,9117
8769,8588
8769,8591
8951,9093
8859,13989
8693,8904
9025,8860
8627,8907
2285,8912
8662,13987
8693,8931
8959,8870
8826,8911
8662,13992
8662,14001
9089,8959
8860,14005
8596,14007
2285,8941
8662,14006
8690,9058
8831,8797
8826,8958
8627,8999
8640,8597
8892,8971
13989,8660
9025,8947
13988,8703
8764,8852
8971,8590
8826,8998
13988,8719
8640,8616
8704,8694
8863,13998
8971,8605
8956,9081
8627,9048
8708,8601
8971,8641
8640,8662
8642,8601
8642,8613
8631,8950
8931,13989
8642,8621
8601,13989
8642,8623
8640,8692
8693,9107
8667,14009
13993,8641
8841,8620
1807,13678
2285,9107
8904,8714
8693,9121
8640,8717
8708,8665
8962,8983
8665,1807
8697,9013
8645,8580
8603,13988
8701,8912
8642,8690
8642,8704
8585,2272
8708,8701
8585,2285
8631,9059
13991,8785
9107,8636
13993,8720
8631,9062
8640,8784
8642,8730
8581,8587
13992,8775
8580,8625
8640,8814
8642,8745
8581,8601
8581,8597
8631,9114
8580,8650
8636,8957
8645,8678
9094,9096
8708,8781
8606,13991
8642,8785
8701,9005
8911,8651
8640,8855
13987,8988
8769,8955
8642,8796
8581,8649
8649,8586
8581,8646
8739,13996
8649,8595
8583,8598
8971,8859
8580,8693
8587,2333
8640,8882
8583,8611
8649,8614
8642,8832
8645,8739
8911,8681
8674,13989
8649,8622
8583,8620
8904,8904
8910,8730
8581,8690
8582,8665
8781,8640
9106,8801
8642,8850
8638,8986
8585,8582
8638,8981
8585,12684
8585,8591
8581,8708
8585,8584
9039,8849
8585,8597
9109,8737
8642,8874
8585,8594
8585,8595
8585,8604
8582,8698
8583,8669
8585,8601
9072,13996
8642,8895
8585,8614
8582,8708
9039,8870
8585,8608
9047,8623
8585,8610
8585,8620
8585,8623
8650,8650
8583,8680
8971,8941
8769,9068
8710,8850
8585,8629
8642,8910
8583,8692
8966,9107
8717,8629
8638,9032
8703,9065
8585,8636
8585,8638
8581,8757
8649,8697
9039,8906
8642,8926
8580,8801
8585,8646
8585,8640
8583,8714
8587,8590
9045,8729
8585,8654
8585,8650
8585,8651
8651,8662
8650,8693
8642,8941
8581,8785
8982,8642
8585,8662
8582,8755
8583,8720
8611,13997
8583,8732
13988,9112
8642,8952
8583,8726
9039,8926
9114,8649
8580,8819
8587,8603
8585,8665
8583,8728
1807,13988
8587,8615
1807,13992
8651,8681
8583,8735
8583,8737
8587,8613
8588,8591
1807,13999
8583,8742
8585,8682
8585,8692
1807,14007
1807,14006
8587,8632
8719,8636
8778,8849
8654,8597
8642,8971
8712,8850
8585,8701
8708,8986
9049,8649
8580,8852
8583,8759
8708,8981
8583,8760
8585,8708
8580,8863
8719,8651
8585,8710
8588,8611
8580,8859
8638,9112
8784,8692
13999,8818
8585,8719
8811,14001
8586,8688
8585,8712
8811,13995
8642,9007
8583,8788
9039,8988
8649,8785
8727,2285
8640,9071
8585,8729
8720,8641
8971,9063
8614,13988
8719,8678
8645,8924
1941,14002
8585,8739
8708,9032
8590,8591
8680,13993
9039,9018
8719,8701
8654,8662
8583,8816
8587,8693
8585,8755
8640,9107
8580,8919
8712,8923
8778,8926
8719,8708
8590,8611
8583,8824
8642,9044
8642,9055
8585,8775
8650,8801
8590,8613
8587,8708
8582,8876
8585,8783
8642,9058
8583,8841
8642,9072
8585,8784
8855,8609
9012,13992
8585,8797
8587,8732
8971,9117
8642,9076
8790,8593
8583,8868
13994,9062
9114,8785
8585,8814
8785,8755
8848,8859
8906,9110
8591,8636
8580,8971
8580,8974
8708,9112
8650,8863
8585,8831
8708,9107
8585,8826
8591,8650
8587,8774
8581,8962
8585,8835
8654,8755
8590,8692
8582,8935
8719,8784
8719,8795
8650,8886
8585,8853
8590,8693
8719,8791
8848,8889
8585,8850
8614,1807
8581,8985
8594,8584
8778,9018
8581,8983
8590,8704
8594,8591
8585,8876
8587,8816
8719,8821
8583,8941
8650,8912
9042,9048
8719,8815
8593,8625
8710,9096
8582,8968
8588,8793
8585,8887
8590,8732
8974,9109
8590,8737
8855,8717
8719,8831
8583,8952
8650,8924
8590,8742
8719,8850
8580,9063
8583,8971
8654,8813
8593,8659
8784,8882
8585,8912
8858,8641
8793,8608
9047,8926
9055,8690
8859,8625
8859,8618
14007,8775
8581,9058
8594,8650
8582,9023
8594,8651
9058,8613
8979,9014
8646,9094
8585,8937
8585,8939
8662,8609
8590,8793
8778,9110
8596,8609
8785,8894
8588,8858
8594,8665
8662,8608
8595,8646
8662,8618
8582,9051
8712,9118
8662,8620
8859,8650
8580,9109
8793,8650
8662,8616
8585,8966
8582,9059
8793,8669
8719,8911
8594,8701
8719,8922
8719,8923
8585,8981
9049,8935
8583,9050
9118,8850
8795,8618
8911,9118
8886,13990
8588,8892
8583,9048
9045,9062
8795,8620
8603,2285
8590,8841
8594,8717
8582,9090
8585,8998
8593,8750
8596,8651
8783,8999
8583,9066
8585,9005
8591,8821
8583,9065
8587,8941
8650,9045
8583,9074
8887,13989
8719,8957
8593,8763
8582,9104
8662,8683
8665,8591
8793,8719
8719,8958
8863,8593
8719,8973
8662,8692
8587,8963
8597,8660
8585,9032
8793,8729
8732,8583
8797,8616
8585,9041
8597,8682
8588,8955
14008,8874
8597,8678
8863,8625
8585,9060
8719,9005
8662,8717
8922,8850
8665,8636
8585,9071
8858,8793
8588,8971
8859,8763
8591,8886
8650,9106
8625,13989
8593,8834
8597,8710
8585,9093
8601,8597
8594,8815
8601,8593
8719,9031
8859,8801
8585,9096
8590,8941
8593,8850
8662,8760
8998,8593
8607,2285
8585,9107
8588,9014
8596,8775
8859,8814
8662,8778
8863,8692
8585,9118
8850,9096
8601,8616
8585,9112
8662,8775
8596,8784
8793,8821
8590,8971
8662,8784
8662,8795
8790,8929
8587,9079
8719,9090
8665,8717
8597,8778
8859,8848
14008,8971
8662,8811
8591,8958
8985,9032
8596,8804
8595,8835
8662,8806
8603,8587
8662,8808
8603,8598
8627,13999
8596,8818
8693,13996
8662,8813
8732,8692
8863,8739
8859,8863
8998,8650
8597,8795
8665,8729
8662,8822
8728,8824
8597,8791
8603,8614
8826,13990
8601,8678
8603,8611
8719,9112
8801,8618
8593,8922
8603,8613
8662,8841
8660,8904
8719,9118
8601,8682
8662,8849
8601,8692
8732,8728
8593,8941
8863,8763
8603,8632
8594,8912
8732,8726
8662,8860
8662,8855
8601,8710
8795,8841
8593,8959
8858,8941
9025,14007
8793,8911
8662,8870
8597,8850
8594,8937
9123,8923
8593,8971
8591,9045
8665,8793
8859,8923
8726,8952
8606,8587
9066,8660
8603,8686
8662,8906
9063,8763
8858,8971
8596,8911
9123,8958
8603,8690
8732,8788
8662,8911
8601,8755
8603,8704
8855,9080
8603,8701
8607,8588
8662,8926
8603,8708
8601,8781
8729,8906
8858,9014
8732,8824
8601,8791
8591,9106
8601,8797
8868,8714
9066,8720
8596,8947
8603,8732
8790,9089
8998,8793
8737,8693
8601,8813
8594,9031
8868,8735
1941,2285
8665,8886
8674,8601
9056,9060
8662,8988
8860,8988
8737,8714
8606,8690
2333,8591
8793,9032
8662,8999
8608,8636
8593,9096
8739,8669
8924,9087
8662,9018
2333,8611
8662,9025
8609,8620
8859,9063
8662,9026
8998,8850
8793,9062
8801,8814
8608,8648
8596,9032
8793,9071
8597,8996
8597,8998
8674,8669
8808,8609
8662,9039
