symptom_of_1,symptom_of_2
14349,13491
14729,13494
14723,13166
14726,14104
14730,13979
14730,13978
14104,13936
14723,13178
14727,14100
14104,13954
14730,13491
14727,14107
14727,14106
14104,13978
14728,14102
14117,14092
14725,13178
14728,14107
14728,14104
13935,14111
14104,13493
14104,13491
14728,14115
14728,14111
14349,14107
14729,14102
14349,14102
14723,13260
14726,13166
14349,14101
14729,14097
14729,14111
14729,14109
14349,14112
14724,13236
14349,14109
14729,14112
14108,13415
13937,14107
14724,13260
14730,14111
14730,14107
14725,13236
14108,13941
14730,14115
13943,13937
14723,14347
14725,13260
14728,13178
14729,13166
14104,14104
14729,13178
13944,13977
14728,13236
14723,12876
13963,12897
14730,13178
13963,13928
14723,12897
13963,13926
13963,13415
14723,13928
14723,13927
14723,13415
14728,13260
14723,13926
13963,13932
14723,13936
14723,13932
13963,13941
14349,13236
14723,13942
13963,13951
14723,13941
13963,13956
13963,13954
14724,13927
13963,13965
14723,13956
13963,13962
14723,13955
14723,13954
14349,13260
13963,13977
13963,13974
13963,13975
14724,13932
14723,13962
14097,13926
14723,13977
14724,13944
14723,13974
14723,13971
13963,13979
14724,13954
14724,13951
14723,13980
14723,13979
14723,13978
14725,13927
14725,13415
13963,13495
13963,13493
13963,13491
14725,13932
14725,13944
14723,13494
14724,13974
14723,13491
14725,13941
14725,13954
14104,13236
14725,13951
14724,13980
14726,13936
14725,13978
14104,13260
14724,13491
13928,14111
14725,13980
14727,13932
14728,12876
14727,13926
14725,13491
14727,13941
14727,13937
14726,13980
13968,13926
14727,13944
14100,13926
14725,13493
14727,13954
14723,14089
13963,14094
14728,13932
14727,13962
14729,12876
14723,14097
13963,14102
14723,14094
14723,14092
13963,14112
14723,14105
14727,13980
14723,14104
14727,13979
14727,13977
14727,13975
13963,14106
14727,13974
13963,14107
14729,13927
14729,13926
14728,13954
14723,14109
14728,12929
14723,14107
13963,14114
14723,14106
14729,13935
14730,12876
14349,13932
14729,13928
14727,13493
14729,13942
13968,13980
14724,14094
14100,13980
14349,13954
14724,14104
14728,13979
14349,12929
14724,14102
13936,13954
14727,13494
14729,13958
14724,14112
14729,13956
14349,13958
14724,14107
14349,13956
14729,13966
14729,13965
14730,13932
14724,14115
14349,13978
14349,13977
14725,14097
14730,13941
14728,13491
14725,14107
14725,14106
14730,13951
14725,14104
14725,14102
14729,13976
14725,14115
14725,14112
13953,13976
14730,13954
