teams_1,teams_2
10147,14214
9859,12899
140,4946
9659,12963
10389,12868
2737,4331
6679,5006
9468,4564
2737,4337
10389,12889
2737,4338
2737,4341
2737,4343
9399,12857
2737,4346
26,4422
9527,4800
2737,4350
2737,4353
2737,4352
2737,4359
9407,4432
2737,4358
2737,4360
10845,4923
2737,4365
2737,4366
10648,4881
2737,4368
2737,4371
9341,4450
2737,4370
2737,4373
9528,12983
2737,4375
9156,14277
14270,13438
2737,4374
2737,4376
2737,4380
2737,4382
8475,12869
2737,4385
2737,4387
2737,4386
9991,12982
2737,4391
2737,4395
2737,4394
2737,4399
2737,4398
2737,4400
8475,4703
9660,13024
23,4569
2737,4405
9451,13355
2737,4407
2737,4406
2737,4408
9660,13032
10788,4687
2737,4413
2737,4412
2737,4417
2737,4416
2737,4421
2737,4422
2737,4425
156,4563
2737,4424
2737,4427
10614,14195
14281,13157
10527,12790
2737,4430
2737,4434
92,4510
2737,4436
24,4572
2737,4438
2737,4441
14269,13547
8531,13248
2737,4442
9991,4846
2737,4444
2737,4447
2737,4446
9714,13436
10245,13369
2737,4448
2737,4451
14269,13553
2737,4453
108,14272
2737,4455
10201,4490
2737,4457
14269,13560
2737,4458
14269,13558
8532,5035
9794,4826
14269,13556
14269,13557
2737,4468
2737,4470
10989,12846
2737,4475
2737,4474
14281,13202
2737,4479
175,14268
2737,4481
2737,4480
10639,13477
2737,4484
2737,4486
141,13283
2737,4488
2737,4491
2737,4490
83,4848
2737,4494
2737,4497
2737,4496
2737,4498
30,4448
2737,4500
8475,12987
10245,13425
10864,4475
6694,4718
14034,12702
2737,4506
2737,4509
8488,4399
11,5047
2737,4511
2737,4510
176,14271
2737,4512
2737,4515
2737,4514
8475,13003
2737,4519
2737,4521
10126,13034
10316,13290
2737,4525
8477,12948
2737,4524
9659,13171
2737,4527
2737,4526
2737,4529
2737,4528
2737,4531
9731,4808
14034,12726
2737,4532
2737,4537
2737,4536
2737,4539
2737,4538
2737,4541
2737,4540
14281,13264
8476,13007
2737,4544
14034,12739
2737,4551
2737,4550
2737,4553
2737,4557
8531,13354
32,4444
2737,4559
7117,14185
2737,4558
7117,14184
2737,4561
10648,13275
7117,14189
2737,4563
2737,4565
2737,4564
2737,4567
7117,14192
2737,4569
2737,4571
2737,4570
7117,14196
7117,14203
7117,14202
2737,4572
10648,13279
2737,4575
9659,13220
84,4897
7117,14200
7117,14207
10725,12952
8476,13041
2737,4578
7117,14211
14034,12783
2737,4586
2737,4588
7117,14217
14281,13312
2737,4590
10725,12958
9659,13246
2737,4594
9673,4623
2737,4598
10864,4561
2737,4601
2737,4600
2737,4602
2737,4604
2737,4607
164,4497
167,4405
1769,14136
2737,4608
11235,13558
2737,4611
10540,4386
2737,4610
10523,4912
2737,4613
2737,4612
6643,4360
2737,4615
14034,12801
2737,4616
6700,4643
2737,4620
2737,4623
88,4821
11447,4955
14034,12822
2737,4630
2737,4633
2737,4635
14034,12830
9199,13213
14034,12827
11532,4373
2737,4643
9167,14212
2737,4642
2737,4647
9399,13160
2737,4649
2737,4652
2737,4654
14034,12842
2737,4657
8480,4803
2737,4663
2737,4662
2737,4665
2737,4667
2737,4666
1769,14194
2737,4669
14034,12860
2737,4668
2737,4671
170,4376
2737,4672
17,5025
2737,4675
2737,4677
10754,14194
2737,4676
2737,4679
2737,4681
2737,4680
14034,12880
6645,4366
2737,4682
2737,4685
11336,4352
2737,4687
2737,4686
6644,4406
2737,4688
2737,4691
2737,4694
2737,4696
14034,12893
2737,4698
7185,14271
2737,4701
2737,4700
2737,4703
2737,4702
7185,14268
7185,14275
2737,4705
2737,4704
7185,14274
9700,14136
