time_zones_1,time_zones_2
9414,14410
11528,14414
9323,13137
10380,13137
11330,14407
10537,14409
11503,13137
11660,14414
5095,13137
9125,13137
9191,13137
10141,14413
10050,13137
9984,13137
11661,14411
8531,13137
10711,13137
11397,14409
11265,14407
11727,14417
8490,14411
5187,14407
11133,14411
10051,13137
11199,14407
11306,13137
10208,14410
10183,13137
9192,13137
10142,14407
10935,14411
9812,14407
9853,13137
10869,14407
10976,13137
11637,13137
10646,13137
11596,14410
10712,13137
10209,14407
10316,13137
11464,14407
11530,14411
101,14414
10052,13137
10275,14410
9127,13137
9854,13137
6642,14408
10011,14410
10581,13137
9483,14407
9747,14410
9722,13137
11663,14407
10672,14407
10804,14411
11795,14410
8492,14411
5164,13137
102,14411
9392,13137
11440,13137
168,14414
11135,14411
10053,13137
10144,14411
5098,13137
11044,13137
10012,14410
9987,13137
10210,14410
11242,13137
9128,13137
11796,14407
11771,13137
9723,13137
10978,13137
9946,14410
10912,13137
9484,14407
10582,13137
9418,14407
6643,14411
10516,13137
10871,14415
9657,13137
11664,14407
9591,13137
9352,14411
10318,13137
11268,14407
11375,13137
5124,14407
11202,14413
10979,13137
11136,14410
10781,13137
9724,13137
10715,13137
9815,14407
11665,14413
9419,14407
10476,14410
6644,14411
9485,14411
11508,13137
11797,14413
11706,13137
11310,13137
170,14411
11203,14409
10146,14407
9287,14407
38,14414
9155,14410
11773,13137
9725,13137
6752,13137
10782,13137
11798,14409
9659,13137
10914,13137
6645,14408
11509,13137
9461,13137
9354,14407
8495,14407
10279,14410
11204,14407
10213,14411
5192,14407
10188,13137
11270,14411
9420,14411
5192,14413
9329,13137
10320,13137
11138,14413
11006,14409
12988,14410
9949,14407
11799,14408
11403,14407
9462,13137
8496,14411
9487,14411
10412,14407
10478,14409
11510,13137
10585,13137
9594,13137
11642,13137
10742,14413
9528,13137
106,14407
11601,14411
10321,13137
11469,14413
9223,14407
11205,14417
10057,13137
11073,14410
10941,14417
10677,14411
11800,14407
9793,13137
6647,14411
11445,13137
11404,14407
11379,13137
9620,14411
9529,13137
10586,13137
11181,13137
9158,14410
10190,13137
5103,13137
5128,14407
10149,14410
5194,14410
5169,13137
10124,13137
5128,14413
11272,14407
9158,14407
5194,14413
9199,13137
9951,14410
9860,13137
10851,13137
6755,13137
9158,14413
11008,14407
10983,13137
11669,14408
10744,14407
10876,14411
9398,13137
10414,14410
11446,13137
11273,14407
11578,13137
11537,14408
10455,13137
9464,13137
11141,14409
11182,13137
10084,14407
11116,13137
9266,13137
10216,14410
10150,14413
10282,14417
9927,13137
10613,14410
10588,13137
9886,14413
9820,14411
11802,14411
11381,13137
14420,13137
9333,13137
9292,14410
10324,13137
109,14408
10547,14410
9465,13137
11604,14411
11117,13137
10151,14410
5105,13137
9862,13137
9755,14407
9821,14409
9887,14413
8500,14407
11646,13137
11605,14411
6716,14411
10721,13137
11671,14407
10655,13137
9623,14409
10259,13137
9466,13137
10457,13137
9491,14410
9425,14410
11448,13137
5131,14407
44,14411
11118,13137
10945,14407
10152,14408
11209,14411
11184,13137
9797,13137
10747,14409
6717,14411
8476,13137
9558,14411
11515,13137
10524,13137
11713,13137
9665,13137
177,14408
10351,14410
111,14408
10285,14411
5107,13137
9401,13137
9492,14413
11342,14407
45,14411
11144,14411
10087,14413
9162,14410
11119,13137
10814,14410
9691,14407
11805,14410
6693,13137
9864,13137
8502,14411
10682,14410
9889,14417
9600,13137
11648,13137
10154,14407
5108,13137
10352,14407
10327,13137
11343,14409
11054,13137
10220,14411
10088,14407
10022,14407
10063,13137
9956,14411
9865,13137
9799,13137
10881,14410
10815,14408
9362,14407
11649,13137
11674,14409
5200,14410
10419,14410
10287,14409
8503,14416
10923,13137
10948,14410
11080,14413
11121,13137
11055,13137
9957,14407
6761,13137
9668,13137
11675,14409
9693,14411
10750,14411
10882,14410
10857,13137
10461,13137
9363,14407
9404,13137
10395,13137
10354,14407
11584,13137
11213,14408
10156,14410
9165,14410
9231,14407
5110,13137
8504,14417
9933,13137
9892,14409
10924,13137
9958,14407
11081,14410
9628,14410
11808,14413
9826,14410
10792,13137
9405,13137
5202,14407
11742,14413
9496,14409
8505,14411
10528,13137
181,14412
11148,14408
11346,14413
11123,13137
10157,14410
10223,14407
9232,14410
10950,14410
10991,13137
9695,14410
9670,13137
10620,14407
9604,13137
8506,14408
9802,13137
11809,14411
11082,14419
10422,14410
9406,13137
11454,13137
10554,14410
9431,14407
10488,14407
9365,14407
5112,13137
11190,13137
10026,14407
11124,13137
10290,14410
9167,14407
9233,14411
50,14417
9828,14410
9803,13137
11058,13137
11678,14412
10489,14407
8507,14408
9564,14410
10596,13137
11744,14407
11810,14409
11719,13137
9630,14407
11480,14411
11348,14410
11414,14412
9275,13137
117,14407
51,14407
117,14410
51,14410
117,14413
11059,13137
9168,14413
117,14414
51,14413
51,14414
51,14415
10266,13137
117,14419
10952,14412
10754,14407
10027,14411
10556,14408
9606,13137
10688,14411
11481,14407
11811,14417
10729,13137
9763,14410
9697,14410
10663,13137
9433,14413
6658,14419
184,14409
11324,13137
10465,13137
10399,13137
118,14411
11456,13137
52,14411
10069,13137
11085,14410
10160,14413
9805,13137
11614,14410
10598,13137
10623,14410
9830,14413
11721,13137
10730,13137
10557,14407
9607,13137
11325,13137
10227,14407
9236,14410
185,14412
9409,13137
9343,13137
5181,13137
10400,13137
11061,13137
11193,13137
11086,14407
10136,13137
10029,14416
11681,14407
10731,13137
9740,13137
11813,14410
11788,13137
9938,13137
10929,13137
8510,14411
9369,14407
10665,13137
10624,14407
10599,13137
9303,14410
11351,14411
9171,14407
10401,13137
11483,14411
120,14412
5182,13137
5141,14413
10137,13137
11153,14410
9766,14410
9700,14410
10732,13137
11748,14409
10955,14410
9436,14407
11550,14410
8511,14411
10427,14409
10361,14407
10666,13137
187,14408
10625,14410
9543,13137
11195,13137
10229,14410
9147,13137
9304,14409
13532,14411
10336,13137
11063,13137
10097,14410
11220,14413
11683,14407
9767,14410
10733,13137
10667,13137
10824,14407
9437,14410
10362,14407
11419,14408
9610,13137
11617,14409
11658,13137
11353,14413
188,14412
10337,13137
9371,14410
5143,14413
5118,13137
10271,13137
10296,14409
5209,14413
10825,14407
10032,14407
10073,13137
9611,13137
8513,14407
11816,14408
9834,14410
11461,13137
10495,14411
10404,13137
10429,14410
10602,13137
10561,14411
123,14409
11486,14407
11197,13137
5144,14410
9149,13137
57,14409
10165,14411
5144,14413
10338,13137
9215,13137
9942,13137
10892,14410
11817,14407
9876,13137
10867,13137
11065,13137
11024,14410
11090,14411
11685,14409
9835,14410
9744,13137
6664,14411
11421,14409
9373,14409
190,14408
11619,14410
11594,13137
99,13137
10166,14411
11355,14411
9175,14409
5145,14413
10934,13137
10959,14413
10868,13137
10009,13137
11000,13137
9547,13137
10629,14410
10893,14413
10827,14413
10736,13137
9308,14407
10406,13137
191,14409
9283,13137
10497,14409
8515,14411
125,14409
5187,13137
11463,13137
10035,14407
10076,13137
11224,14407
10010,13137
10605,13137
10630,14410
10564,14410
9639,14412
9548,13137
10539,13137
11621,14410
9705,14409
11398,13137
11489,14410
9309,14407
11159,14410
9970,14407
9218,13137
10143,13137
9813,13137
10829,14411
9706,14407
9945,13137
10499,14407
9574,14410
11531,13137
11729,13137
11688,14407
11622,14408
10895,14416
11267,13137
9219,13137
10367,14407
11490,14410
127,14411
10408,13137
10078,13137
11069,13137
9905,14407
11201,13137
11160,14410
11689,14407
6668,14408
9575,14411
11598,13137
10500,14410
9377,14407
10698,14410
9682,13137
9616,13137
10632,14410
11334,13137
5124,13137
10938,13137
9972,14413
10872,13137
9444,14407
8494,13137
10542,13137
11492,14410
9617,13137
11558,14407
10608,13137
9551,13137
11269,13137
9221,13137
10237,14410
10212,13137
11360,14407
9378,14411
11335,13137
5150,14410
11030,14409
11137,13137
11162,14410
10741,13137
9684,13137
11732,13137
10873,13137
10898,14410
10832,14410
9907,14413
10766,14407
11534,13137
9445,14411
10634,14410
10609,13137
11666,13137
9577,14410
130,14407
11600,13137
11229,14409
10147,13137
64,14409
10106,14407
10502,14413
5126,13137
11163,14415
10899,14407
10940,13137
11758,14410
11667,13137
9710,14411
9817,13137
9751,13137
9446,14411
11494,14411
10437,14410
10503,14407
5086,14407
11139,13137
5152,14407
10148,13137
10305,14409
10239,14407
9380,14413
11230,14407
9884,13137
11032,14407
10041,14409
11098,14409
11007,13137
9975,14409
11668,13137
9818,13137
10809,13137
9752,13137
10743,13137
10702,14407
11363,14407
10438,14410
10347,13137
9579,14417
10570,14410
8522,14411
10504,14410
11536,13137
132,14411
9158,13137
10108,14410
132,14414
9885,13137
9819,13137
10042,14409
10967,14407
11074,13137
9976,14410
9580,14407
10835,14414
10637,14408
9621,13137
11603,13137
9844,14411
9687,13137
9382,14410
11364,14407
10373,14410
10348,13137
9514,14409
9448,14407
9489,13137
9423,13137
11430,14407
10480,13137
67,14411
5088,14407
10109,14410
9225,13137
11166,14407
9184,14410
9779,14407
10043,14410
11034,14409
10968,14407
10745,13137
11695,14407
9688,13137
10349,13137
11406,13137
9185,14407
9490,13137
68,14409
9424,13137
10415,13137
10019,13137
10242,14410
9226,13137
11299,14410
11274,13137
9978,14413
9780,14410
10903,14407
10944,13137
10969,14410
10614,13137
10573,14411
11696,14413
9689,13137
10680,13137
9293,13137
11300,14410
10243,14409
9227,13137
9252,14410
69,14409
11630,14413
11432,14407
5156,14407
11102,14410
5156,14413
11036,14407
10045,14409
10111,14407
9186,14410
9161,13137
11143,13137
9822,13137
10813,13137
9756,13137
9954,13137
11606,13137
6676,14411
10640,14413
10681,13137
9624,13137
10574,14407
9253,14411
9426,13137
9385,14408
11499,14410
9451,14413
10971,14407
11169,14413
10178,14413
10046,14411
11210,13137
11037,14407
9716,14407
9757,13137
10839,14410
9650,14407
9980,14412
9914,14411
10905,14410
11566,14410
10550,13137
9493,13137
10484,13137
9625,13137
10641,14410
11277,13137
10245,14410
137,14411
11409,13137
10443,14411
9295,13137
5158,14410
5092,14413
11104,14411
5158,14413
11079,13137
11368,14417
11699,14407
9758,13137
9692,13137
11740,13137
6678,14412
9915,14410
11765,14407
10485,13137
9428,13137
11476,13137
10642,14410
9626,13137
9585,14409
11608,13137
10155,13137
9321,14414
11212,13137
72,14411
11410,13137
11741,13137
6679,14408
11700,14407
10709,14410
10907,14413
10816,13137
9388,14409
10643,14411
11634,14410
10618,13137
10552,13137
10222,13137
11106,14408
11345,13137
10379,14411
11304,14407
11436,14413
10288,13137
10949,13137
10181,14413
11569,14407
11676,13137
11478,13137
9562,13137
11610,13137
5161,14407
8530,14411
11173,14409
5136,13137
11239,14410
10091,13137
10289,13137
10248,14407
9389,14413
9786,14407
9827,13137
6681,14407
9563,13137
9852,14411
9720,14407
10843,14410
10818,13137
10381,14411
11347,13137
11372,14409
9497,13137
141,14409
5203,13137
11479,13137
9,14409
11083,13137
10092,13137
11174,14411
10315,14410
11215,13137
9126,14407
10224,13137
6748,14410
10951,13137
9259,14409
8532,14411
117,13137
9523,14411
142,14411
10448,14410
9457,14410
51,13137
10184,14413
11307,14411
11241,14410
10845,14411
9961,13137
9986,14410
9895,13137
9920,14410
11613,13137
11638,14409
9590,14410
8533,14410
11704,14413
11770,14410
11745,13137
11349,13137
9301,13137
9326,14410
10358,13137
11374,14409
11283,13137
10292,13137
11415,13137
9367,13137
11,14409
10424,13137
10119,14410
11217,13137
10226,13137
9921,14410
6684,14408
10887,13137
9566,13137
8509,13137
8534,14411
11548,13137
10648,14407
11705,14411
10425,13137
5099,14407
12,14411
11020,13137
10120,14413
9963,13137
9170,13137
11111,14407
9129,14410
10822,13137
11747,13137
10954,13137
6685,14409
6751,14410
11574,14409
9435,13137
10583,14407
8535,14407
11615,13137
11772,14414
11285,13137
10319,14410
11244,14407
9328,14413
9196,14410
79,14412
13,14412
11112,14411
10055,14411
9964,13137
9262,14414
10162,13137
10691,13137
10650,14407
9791,14409
9502,13137
10452,14407
6686,14414
11641,14411
10584,14409
9527,14409
10254,14410
9238,13137
5101,14407
10163,13137
5167,14407
146,14412
10122,14407
80,14411
5167,14413
5142,13137
11352,13137
11377,14410
9990,14411
9858,14407
10056,14407
11245,14413
9726,14409
9660,14407
10758,13137
11815,13137
9396,14407
11485,13137
11576,14411
11444,14407
10519,14407
10651,14410
8512,13137
11180,14410
9132,14409
10189,14410
9239,13137
10916,14407
9991,14413
10098,13137
11246,14413
10123,14410
9702,13137
10693,13137
9859,14410
10784,14407
9727,14407
6688,14412
11643,14415
14418,14407
11420,13137
10520,14407
82,14408
11552,13137
9463,14409
10256,14413
10099,13137
10388,14411
9331,14411
9240,13137
11288,13137
9901,13137
10033,13137
10058,14411
9637,13137
6689,14409
11710,14411
10760,13137
9307,13137
9596,14411
11553,13137
11644,14411
9505,13137
17,14408
9134,14411
9993,14407
10389,14413
9241,13137
10521,14416
11223,13137
10232,13137
9902,13137
10918,14411
9729,14407
10984,14410
9861,14407
11777,14413
10761,13137
11645,14407
11752,13137
9267,14407
10390,14411
9201,14407
9506,13137
11513,14409
9531,14411
