tournament_1,tournament_2
13547,14289
13547,14286
13547,14287
13547,14284
13547,14285
13547,14282
14208,14285
13547,14296
14208,14286
13547,14297
14208,14283
13547,14294
13547,14295
14208,14282
13547,14293
13547,14290
14208,14293
13547,14302
14208,14291
13547,14303
14208,14289
13547,14298
14208,14287
14208,14301
14208,14302
14208,14300
14208,14297
14205,14390
14208,14298
14208,14295
14205,14389
14208,14296
14208,14303
14209,14287
14209,14295
14209,14293
14209,14290
14199,14613
14206,14389
14209,14297
14206,14390
14199,14620
14199,14618
14199,14619
14199,14616
14199,14615
14210,14287
14210,14285
14210,14286
14210,14283
14210,14284
14210,14282
14210,14295
14210,14296
14210,14293
14210,14291
14210,14289
14210,14290
14210,14303
14210,14301
14210,14302
14210,14297
14210,14298
13547,14390
13547,14389
14208,14389
14208,14390
14212,14282
14212,14289
14212,14290
14212,14287
14212,14285
14212,14283
14209,14390
14212,14297
14212,14298
14212,14295
14212,14296
14212,14294
13663,14929
14212,14291
14212,14303
14212,14301
14212,14302
14212,14300
14213,14283
14213,14290
14213,14291
14213,14289
14213,14286
14213,14287
14213,14284
14210,14389
14213,14295
13553,14286
13553,14287
13553,14284
13553,14285
13553,14282
13553,14283
14213,14303
14213,14300
14213,14301
14214,14283
13553,14294
14214,14284
13553,14295
14214,14282
13553,14293
13553,14290
13553,14291
13553,14289
13553,14302
14214,14291
13553,14303
13553,14300
13553,14301
14214,14290
13553,14298
14214,14285
13553,14296
13553,14297
14214,14286
14214,14300
14214,14297
14214,14298
14214,14295
14214,14296
13665,14929
14214,14303
14214,14301
14214,14302
12377,14929
14215,14285
14215,14282
14215,14283
14215,14293
14215,14290
14215,14291
14215,14289
14215,14287
14215,14300
14215,14298
14215,14296
14212,14389
14215,14297
14212,14390
14215,14294
14215,14295
14205,14618
14205,14619
14205,14616
14205,14617
14205,14614
14205,14615
14215,14302
14215,14303
14205,14613
14216,14285
14216,14286
14216,14283
14216,14284
14205,14620
14216,14293
14216,14294
14216,14291
14216,14290
14216,14287
14216,14301
14216,14302
13556,14282
14216,14297
14213,14390
14216,14295
14213,14389
14216,14296
13556,14289
13556,14290
14206,14620
14206,14617
13556,14287
14206,14618
14206,14615
13556,14286
14206,14616
13556,14283
14206,14613
14216,14303
13556,14284
13553,14390
13556,14297
13556,14298
13556,14296
13553,14389
13556,14293
13556,14291
13556,14303
13556,14301
13556,14302
13556,14300
14273,14615
14273,14613
14214,14389
13557,14290
14273,14620
13557,14289
14273,14618
13557,14287
14273,14619
13557,14298
13557,14296
13557,14297
13547,14616
14215,14389
13547,14617
13547,14615
13557,14302
13547,14613
13557,14303
14208,14613
14208,14614
13547,14620
14215,14390
14208,14619
13558,14289
13558,14290
14208,14620
14208,14617
14208,14618
14208,14615
13558,14285
14208,14616
13558,14297
13558,14295
13558,14296
14216,14389
14216,14390
13558,14303
13558,14301
14209,14614
14209,14615
14209,14617
14187,14286
14187,14284
13556,14390
14187,14285
14187,14297
14187,14294
14187,14295
13560,14285
13560,14286
14210,14616
13560,14283
14210,14613
14187,14303
13560,14282
13560,14293
13560,14291
13560,14289
14210,14620
14210,14617
13560,14287
14210,14618
13560,14301
13560,14302
13560,14300
13557,14390
13557,14389
13560,14296
13558,14390
13673,14929
14212,14617
14212,14618
14212,14615
14212,14616
14212,14613
14212,14614
14190,14282
14212,14619
14212,14620
14190,14287
14190,14286
14187,14390
14190,14298
14190,14295
14187,14389
14190,14293
13674,14929
14213,14617
14190,14303
14213,14614
14213,14615
14213,14613
13560,14390
13553,14615
13553,14613
13553,14619
13553,14616
13553,14617
14214,14619
14214,14620
14214,14617
14214,14618
14214,14615
14214,14616
14214,14613
14214,14614
14215,14613
14215,14620
14215,14618
14215,14619
14215,14616
14215,14617
14215,14615
14216,14614
14190,14389
14190,14390
14392,14286
14392,14285
14216,14619
14392,14284
14392,14283
14216,14617
14392,14282
14216,14618
14216,14615
14392,14294
14392,14291
14392,14290
14392,14289
14392,14287
14392,14302
13556,14617
13556,14618
14392,14301
14392,14300
13556,14615
13556,14616
14392,14298
13556,14613
14392,14297
13556,14614
14392,14295
13556,14619
14392,14303
14195,14289
14195,14285
14195,14282
14195,14283
13557,14618
13557,14619
13557,14617
14195,14293
13557,14615
13557,14613
14195,14300
13557,14620
13558,14619
13558,14620
13558,14618
13558,14615
13558,14616
13558,14614
14392,14390
14392,14389
14187,14614
14187,14613
14187,14620
14187,14618
13560,14613
14195,14390
13560,14618
14195,14389
13560,14615
14199,14284
14199,14285
14199,14282
14199,14283
14199,14293
14199,14290
14199,14291
14199,14287
14199,14300
14199,14301
14199,14298
14199,14297
14199,14295
14199,14302
14190,14614
14199,14390
14392,14614
14392,14618
14392,14617
14205,14290
14205,14289
14205,14287
14205,14296
14205,14297
14205,14294
14205,14295
14205,14293
14195,14614
14195,14615
14205,14302
14195,14613
14205,14303
12434,14929
14206,14283
14206,14284
14206,14282
14195,14620
14195,14618
14195,14619
14206,14291
14206,14290
14206,14287
14206,14300
14206,14298
14206,14295
14206,14296
14206,14293
14206,14303
14206,14301
14206,14302
14273,14286
14273,14284
14273,14282
14273,14283
14273,14293
14273,14291
14273,14289
14273,14300
