tv_program_1,tv_program_2
1106,1105
3785,489
3227,890
3211,1389
3278,847
3492,357
3562,238
3143,427
3298,230
1463,794
3668,538
3113,334
5870,6518
1152,722
335,963
3792,298
3314,271
3113,361
3492,387
12297,847
7950,429
3144,427
12103,201
3669,538
3314,794
3397,271
6893,437
7008,1992
3383,1217
3784,561
3298,271
3703,1031
3262,1389
7939,786
586,383
3397,794
3283,238
3846,1217
3605,498
548,547
4235,429
3460,387
5262,334
3299,772
3526,6544
3299,271
3258,1031
1173,645
3262,6544
12282,847
3315,804
5659,334
6856,604
3555,536
6138,334
6798,359
3284,238
3313,1389
3347,334
518,482
5395,334
6885,736
3105,1182
4236,429
3515,250
7708,315
3104,1217
3149,334
3529,847
3526,427
3135,772
3992,319
3696,794
3714,238
6882,334
4324,784
3383,772
6865,355
3348,324
3135,271
3711,334
1491,547
6851,786
12316,334
856,782
3482,271
1294,1031
6870,2765
3314,1389
3451,217
3210,1031
3482,794
3144,1031
3235,772
3530,334
3136,772
3529,1389
3383,794
1318,298
6024,334
1482,334
1501,258
3741,455
3235,271
8225,207
4325,784
3194,1031
435,547
1152,851
3491,536
3730,298
6827,547
3335,772
1342,604
1266,401
3113,489
6963,437
3227,538
3104,772
7723,433
4027,319
12344,538
3335,271
5860,334
1368,1344
3402,250
3100,6544
3335,794
1237,298
3270,772
3696,1389
1160,1159
856,855
6964,437
3284,341
1445,1033
3105,772
1385,334
3337,238
3154,794
3807,1033
3298,427
3299,6544
1055,334
6982,408
1307,203
7060,547
3270,794
7939,441
3990,489
3101,6544
3791,1031
1106,298
3105,794
3411,524
659,334
8137,1992
3299,427
3455,711
3847,334
3337,784
3235,1389
3535,794
3101,427
4165,723
3797,357
3991,489
6138,489
6836,877
6878,604
1106,334
3699,334
1034,1033
12103,429
4034,711
3258,1217
12316,489
3236,1389
5318,334
6882,489
3115,536
1294,1182
3767,298
4165,250
5748,334
1206,334
1270,399
3143,1217
1447,547
3990,561
363,361
539,538
854,506
3652,298
3238,334
6865,538
3672,1217
8391,334
6873,800
3472,258
6867,489
1294,1217
6809,238
3703,271
3210,1217
3843,538
3991,561
6129,334
6836,433
3535,1389
3183,524
3299,1031
3963,417
3653,298
3714,455
3110,238
3852,275
3258,772
6866,538
3799,387
3126,258
6146,334
3226,238
3258,271
3639,238
465,334
3258,794
3262,1182
6819,489
5833,334
3582,482
6885,489
7939,582
3421,357
6954,408
8444,291
3157,355
829,334
3582,498
435,262
8460,317
3102,531
1174,397
3210,772
3144,772
8076,1992
398,397
301,334
3672,794
3113,203
7021,397
3846,1031
3137,482
3235,1031
3335,491
6820,489
3730,536
4020,250
3204,457
3591,238
4100,334
8414,234
3158,355
1342,334
3699,482
7083,538
3194,271
3112,258
3211,772
1156,1503
3501,489
3111,804
3087,524
814,334
7021,429
3211,271
3129,252
5224,334
4200,334
3731,536
3226,324
6933,604
3452,489
7060,262
12326,1371
3126,361
3582,561
3162,271
4047,489
3348,654
3113,258
3591,800
4165,417
3111,322
3226,341
3526,772
3111,836
3162,794
6829,786
3460,265
8414,289
3111,847
5684,445
899,298
518,334
3227,324
6870,547
3518,524
1188,1073
3709,238
3262,271
3526,794
3703,427
3163,271
6828,324
3278,295
6911,12604
3791,271
1345,1344
1311,351
3163,794
3784,489
3165,736
12344,355
3110,399
3696,1182
1213,334
5375,334
3584,1073
1175,489
3226,395
3278,322
3278,836
908,580
3348,2765
3313,271
