type_of_appearance_1,type_of_appearance_2
1053,14013
442,14013
2389,14589
5331,14013
3795,14013
6223,14013
5265,14013
3184,14013
3085,14013
3118,14013
6221,14589
971,14013
6190,14013
7658,14589
1285,14013
5827,14013
7776,14013
641,14013
1120,14013
5346,14589
4258,14013
7906,14589
1021,14013
922,14013
856,14013
3796,14013
757,14013
3251,14013
5910,14013
1137,14013
3119,14013
5778,14013
526,14013
5547,14013
5646,14013
460,14013
3978,14013
807,14013
8107,14013
4292,14013
642,14013
6175,14013
576,14013
510,14013
444,14013
378,14013
3863,14013
1204,14013
7759,14589
560,14013
1485,14013
6190,14589
5416,14013
1353,14013
3946,14013
3913,14013
3368,14013
6275,14013
1254,14013
5315,14589
7679,14013
5218,14013
1056,14013
478,14013
3614,14589
955,14589
3484,14013
825,14013
247,14013
726,14013
757,14589
3862,14589
3187,14013
12337,14013
3468,14013
5863,14013
1288,14013
6026,14589
5500,14013
6012,14013
859,14013
826,14013
314,14013
6359,14013
3450,14589
5847,14013
5434,14013
1206,14013
6293,14013
529,14013
4012,14589
5550,14013
5581,14589
3370,14013
3651,14013
6277,14013
5600,14013
546,14013
5567,14013
414,14013
893,14013
860,14013
3387,14013
5336,14013
5815,14013
1207,14013
596,14013
3569,14013
6063,14013
2033,14013
497,14013
1488,14013
4081,14013
3338,14013
712,14013
1224,14013
6889,14013
4329,14013
646,14013
1092,14013
5535,14013
927,14013
7003,14589
828,14013
6359,14589
4311,14589
663,14013
1043,14013
5649,14589
1423,14013
5486,14013
1126,14013
1093,14013
6310,14589
928,14013
1242,14013
7896,14589
1110,14013
8080,14013
5237,14589
3569,14589
5999,14013
1127,14013
4265,14013
1028,14013
5339,14013
1276,14013
5438,14013
5917,14013
6974,14013
1210,14013
5719,14013
6099,14013
4051,14013
979,14013
434,14013
5521,14013
781,14013
682,14013
5736,14013
4231,14589
6314,14013
7619,14013
1062,14013
5439,14013
1310,14013
4316,14013
286,14013
1211,14013
7832,14589
567,14013
5588,14013
3474,14013
617,14013
3623,14013
6282,14013
5572,14013
452,14013
7967,14013
3904,14013
5407,14013
3293,14013
5886,14013
3161,14013
634,14013
5240,14589
5719,14589
979,14589
915,14013
3473,14589
5936,14013
4301,14013
3145,14013
1097,14013
3624,14013
998,14013
8034,14013
5573,14013
899,14013
3393,14013
3294,14013
668,14013
635,14013
3096,14013
1015,14013
470,14013
5491,14013
1428,14013
1360,14589
5293,14013
3658,14013
1032,14013
6282,14589
7011,14013
4102,14589
1412,14013
768,14013
6018,14589
6365,14589
570,14013
3706,14589
537,14013
6136,14013
1016,14013
1495,14013
950,14013
3477,14013
3989,14013
4039,14013
488,14013
3560,14013
1380,14013
3263,14013
5410,14013
5889,14013
670,14013
3674,14589
8315,14589
5460,14013
1397,14013
6005,14013
6038,14013
1199,14013
206,14589
1100,14013
3561,14013
3594,14013
3658,14589
1414,14013
3462,14013
3297,14013
5312,14013
1183,14013
4220,14589
539,14013
4057,14013
2389,14013
5940,14013
5525,14589
1266,14013
4272,14013
1233,14013
490,14013
6023,14013
5511,14013
3975,14013
1415,14013
5412,14013
325,14013
1250,14013
2241,14013
5311,14589
3232,14013
1052,14013
540,14013
821,14013
276,14013
3893,14013
5429,14013
210,14013
5231,14013
1265,14589
1746,14013
1135,14013
3627,14589
5710,14013
4009,14013
3811,14013
3363,14589
5826,14013
