writing_system_1,writing_system_2
1581,14677
8551,14677
2217,14677
8576,14677
8576,14678
8547,14677
14138,14679
8568,14677
14138,14677
8543,14678
8543,14679
8572,14677
8539,14677
8560,14677
8564,14677
2032,14677
2672,14677
8552,14677
2053,14677
8548,14679
8544,14678
8548,14677
8536,14677
8577,14680
8573,14677
8540,14677
8565,14677
8565,14678
8578,14677
8578,14678
8545,14677
1571,14677
8545,14679
8549,14677
8549,14679
8574,14677
14140,14677
8541,14677
3033,14679
8562,14679
2546,14678
8566,14677
1745,14677
8558,14678
1576,14677
8546,14677
8579,14677
14137,14679
8538,14679
14137,14677
8542,14677
8571,14677
