advisor_1,advisor_2
29,30
107,108
135,136
143,144
190,191
266,267
306,307
398,399
471,472
606,607
635,636
668,669
688,689
782,783
863,864
967,968
983,984
1082,1083
1233,1234
1253,1056
1321,186
1489,1490
1503,1504
1543,894
13,1689
1711,1712
1713,1714
1746,1747
1779,1780
686,1860
1915,1916
1934,305
1956,1957
2119,187
2132,2133
2136,1714
2148,2149
2196,842
2256,295
2258,562
2273,2274
930,2303
2417,2418
874,2439
2467,2468
2500,1083
2515,2516
2531,2049
2627,1957
2756,2757
2769,2770
2899,2900
2959,2960
2968,2969
2974,2975
41,2978
3001,3002
1173,3005
3012,3013
3037,3038
3188,1982
3348,3146
3396,3397
3426,3427
3465,2516
1458,3482
3514,472
3587,156
3660,178
3666,3667
3336,1068
3716,1402
3753,3754
3763,2459
3778,3779
3812,1185
3959,3960
3988,3005
4011,3952
4058,4059
4094,3427
4143,4038
4144,380
4149,263
4166,4038
4256,4257
834,4271
1147,2900
3203,4364
4380,3801
4414,1090
4443,314
3362,3260
4519,1845
4536,4537
2942,689
4577,3619
4580,2112
4599,4537
3446,671
4648,4257
49,1743
4681,247
4693,842
808,4701
4718,1293
4728,127
2863,1056
365,3645
4791,286
2265,4794
3194,4865
4920,4921
4923,27
2398,3482
4935,641
3975,3254
5083,5084
5142,1836
5176,728
5196,5197
5212,4508
5240,1712
5241,1212
5254,3849
5341,3105
3015,5424
5477,627
1011,3480
5523,5524
5548,324
5558,3667
5577,4244
5622,1068
5696,5697
2192,5728
2388,4271
3662,1443
5824,1281
504,3484
1898,5264
5887,5888
5992,5993
1943,3877
6111,6112
3708,742
6117,4271
3785,3333
6128,2154
672,6134
6154,3733
6258,6259
6383,4961
5100,5432
370,6452
6516,641
6517,3872
6519,2459
6603,1068
6614,2599
6644,2900
6672,6673
6394,2687
6706,2599
6707,3726
4245,984
6737,6738
6768,2969
4583,1606
5898,1443
6843,550
6863,5792
791,1725
2775,4070
4349,2687
5501,6981
6984,3068
7018,813
5970,689
7056,1093
6727,3520
7154,4129
7155,98
7267,3235
6884,1676
7325,1953
3023,1772
7402,6259
7408,7409
7425,5429
4329,7444
7458,7459
7487,3254
7502,7503
7504,2230
4317,6760
7511,2665
7282,7514
7526,1689
5685,3105
7587,314
7634,7635
6570,524
7691,2303
4737,2960
4141,30
7764,267
7766,7767
7801,5344
7843,2838
4636,6650
7850,4040
1973,7042
7882,3139
1830,7054
7934,3105
2110,3520
7967,1504
5267,1815
5265,1330
2210,6808
8115,1909
8035,5938
8138,8139
8341,4110
6478,4508
7216,842
1405,959
8387,4257
4368,1863
8471,1128
8473,3146
7217,1423
8502,1988
1303,8225
8514,8515
8556,4155
389,314
8574,8575
8587,6920
8243,1676
8661,5993
8664,144
8680,7635
8706,989
6472,1743
5243,7356
8785,136
8828,1772
1980,6006
8835,5004
6140,1905
7035,1743
1168,3397
8892,1212
6634,2230
8923,949
8935,3667
363,3066
9011,1988
9059,314
8979,247
8526,1957
8302,2149
9098,178
9134,2174
9147,2454
1644,5482
2532,6310
511,7635
2286,4325
9243,4244
6146,2667
4878,6927
4974,1554
9366,4110
1077,3254
2902,8457
9444,627
7726,1652
8781,1860
9589,1905
8712,3520
6149,795
2905,949
9667,1606
712,3726
9690,2202
9699,3105
5042,3333
3885,4167
7394,5432
494,9750
9762,641
3207,4499
6922,7255
9879,320
7890,627
8872,3882
9987,2926
10048,1916
10095,2966
5517,9750
2039,4264
10182,4257
10188,3288
5976,8277
6298,2665
6260,6808
10067,6134
8722,1836
4738,1212
10328,7281
10335,1002
10355,949
10423,4468
558,5594
10468,1819
6169,3726
5464,2468
3961,1815
9888,634
10637,10638
6890,894
10663,5792
6207,1918
10680,1207
1529,773
10780,1068
10785,842
9168,2112
10808,1083
465,2665
2689,2230
6122,10914
10934,6629
10421,2046
10962,10284
10420,11025
6959,2544
11056,2274
1020,1402
3762,8659
6424,2046
7169,783
8310,2510
11240,393
4471,11250
11012,30
313,4059
7618,6134
3298,1815
10877,6620
3906,2962
1462,2730
6678,4598
5968,1090
10099,9851
11392,6259
7917,7379
5852,2978
8276,1712
10625,3013
6648,2418
11519,5004
11529,989
7855,1207
11549,989
3628,1293
11565,671
3995,641
6334,2213
8848,8225
11662,11025
8377,2227
8736,7054
7322,6961
11796,6080
4627,6920
5242,4187
2496,3480
4031,2112
11906,5724
9092,534
121,1911
375,6525
2947,864
3759,2046
997,6853
12026,882
5397,783
12040,4786
716,491
12083,1815
2095,3146
310,3254
6095,3146
5053,307
2276,6134
8355,3008
2145,3758
12145,8270
4553,2364
10097,6212
6578,1772
6036,5021
11273,12194
6126,2544
7354,662
5134,6494
10145,7238
6357,2966
11161,1202
8478,8348
11585,964
4623,5888
12336,2900
12352,9332
5400,3509
2873,7287
12366,9270
12378,3146
12394,8304
8033,1490
11976,1409
12462,7238
11707,6075
11464,2454
11411,641
12519,2140
12522,1911
3699,2510
702,4129
10935,3397
5630,864
58,2303
12601,7898
11385,2730
5026,1836
228,2960
3832,11137
12778,2439
7071,3484
12531,1909
7906,1339
7387,7653
2471,7356
12902,705
8591,6927
7925,550
4484,7287
832,1772
12987,7356
11561,2174
11026,286
887,1083
11418,7356
7894,562
13113,1606
9255,2274
8123,8143
13192,1293
8800,5084
9648,187
10382,7494
1641,4040
6849,2510
1803,6006
2009,2468
6676,5409
1474,178
10597,4511
1959,3005
9811,3733
8988,3305
10955,108
891,3952
12505,9851
4868,4167
2972,1905
9748,7409
13507,3754
1967,5765
6995,2191
10620,7379
8056,1809
12484,1293
13569,1714
3150,3105
4539,373
2323,3068
11412,3235
218,636
6972,1982
6557,3241
3352,5423
7476,9556
1549,2303
1880,2364
13693,984
9443,773
8595,2149
1776,4100
8590,713
13747,7699
6037,2544
13785,8659
2450,2838
9197,773
9515,1339
2371,3952
13838,1815
13843,8277
13584,641
13879,1845
5530,2459
9078,2340
9872,634
3392,7293
12063,98
5841,4348
2088,2926
3355,6310
5460,3748
8274,3773
6955,7653
762,12545
5272,4511
1426,10284
13166,1606
2185,7287
13338,4884
9455,5197
271,3877
12679,3667
14194,1185
2822,7293
5719,2960
14226,14227
478,4611
13939,1606
8455,5978
1334,1281
12573,1652
4504,186
1042,7898
1391,1090
5448,1200
13317,7293
2733,1919
1184,2757
5076,4038
9402,2770
8430,501
13187,10529
2490,2730
5348,4794
10199,10737
9182,13789
14248,7162
1635,4040
4315,2978
14140,1798
11601,3773
8538,4885
4048,324
14502,12194
5050,2459
11205,6981
2549,1056
11857,10529
14529,320
6204,4961
950,5376
13596,4511
3633,186
8716,10638
6616,4187
10821,4129
14605,6853
74,894
12626,6629
5651,7862
4269,3779
11640,3254
6174,282
3928,4786
345,1953
12908,7767
8260,3535
1834,3714
11581,5084
1363,2687
7289,14227
8639,5728
13492,7409
14852,1185
4964,5277
5216,2646
3913,11137
9404,4100
12708,6808
8876,136
6593,2960
818,9270
9739,4537
9963,102
13133,2459
9827,30
15076,1293
9461,8270
5596,2133
8946,2046
2995,4301
15151,2544
11228,3397
15179,2673
12498,7935
8091,6212
4684,949
538,1545
9776,2303
9724,1809
15221,1554
1623,22
942,324
15250,7293
3223,4271
6833,4038
8998,689
3669,935
15311,7379
15327,6134
1854,2757
4009,1093
2524,8143
9474,136
13501,5764
9581,2191
15391,607
11680,1504
508,1308
12736,2046
6828,423
10352,2049
6326,1212
15436,2439
7382,1988
10766,1982
25,1504
419,3333
4201,5765
12353,6927
10811,1413
6349,713
299,1185
7484,8897
15577,989
1025,1504
10133,3008
13260,534
15609,7514
9993,964
1906,1330
8735,4129
10318,3801
15678,5197
6277,6740
11628,5004
11371,7503
15707,2926
6796,1293
4493,6927
4483,6525
20,7379
3679,3952
3557,22
8953,6452
2495,286
15777,3477
10036,7287
13650,3960
4910,2969
1414,1809
7274,2439
10937,4040
15863,1815
803,2012
2879,4885
5309,8659
5838,3779
15885,2962
5536,5432
12401,2230
11486,3743
4072,5136
9009,3952
8903,3397
4802,1402
9021,3952
10636,1689
704,3758
459,949
12202,455
9391,1490
11429,1851
4061,4468
4345,1526
9531,4100
7847,2364
9380,6006
15989,4611
4306,1689
6654,5264
15994,3235
7877,8116
12500,636
14312,3137
1927,258
2491,8897
5620,30
2322,3722
2986,2900
9719,4301
16033,1845
11911,3535
11918,2667
2930,2510
5854,3849
8390,1185
7569,1402
1997,5136
16171,472
4725,7635
16133,3038
14816,795
5417,1712
2810,524
2456,5697
4751,2174
4333,3952
16274,864
6367,4348
1614,6525
385,6650
14514,14868
16337,7635
3515,3484
16353,7767
10838,2667
4741,1714
2043,5432
3285,8575
1630,263
16435,4348
16452,3726
9126,1815
14968,7635
10484,295
12181,2133
142,6808
16492,5004
1348,10737
2943,5482
5814,2553
937,4568
656,2960
16552,8139
13829,795
2626,2969
11431,795
10450,4468
4839,6488
16601,625
8798,12194
3511,11025
2299,4537
3717,102
355,1093
9440,9658
11610,5594
16628,968
13399,2133
1765,5482
1357,8659
16656,4884
16641,6080
9678,669
10514,3397
2444,1202
6401,2553
11337,2730
12843,8189
3607,6452
10221,286
16760,607
4312,3619
10279,3068
6331,127
2953,3754
3349,11069
6744,5482
14016,10831
2410,2046
9378,1809
1428,4568
13647,3773
12844,12194
12834,2100
1963,108
7014,959
1400,1652
16910,5004
1840,2230
9074,6525
6528,627
16936,2551
1631,8304
7008,27
7480,2969
10053,4301
9251,11069
9978,5993
255,5423
6726,4110
3883,3722
5850,694
6137,1772
10309,3619
12414,17010
17019,6673
7120,7699
6864,3146
526,949
5325,6488
8306,472
3707,689
3160,1815
12466,277
10026,1809
2719,1860
15404,4568
7817,1545
12133,4440
8931,12545
8417,8143
2855,3952
8005,5376
13805,52
9952,5061
7779,3397
13033,3427
16319,184
9287,2149
3197,2003
1981,7494
7229,2510
1864,1490
8110,8143
3817,2364
15803,7699
7196,11025
14214,2439
9842,3002
16143,277
9845,534
12138,22
6255,3002
7864,2154
11641,7898
4542,191
6758,6738
11148,10638
16216,3182
495,16
1436,14175
14105,3288
2281,2227
17403,295
10981,2154
10682,2667
11648,2838
5035,7287
7786,14227
2621,1212
12896,7635
10640,324
7620,3726
5879,3509
7311,314
10405,282
5627,7255
10583,1339
14315,5409
14860,2560
3440,1714
17541,4059
12467,1592
12610,3241
800,98
6180,713
8753,2960
14174,3274
1509,2969
2228,455
1501,968
11787,16
3831,3645
424,4865
12228,2838
17483,4961
690,3645
10104,4244
2481,13183
8517,10529
16658,2439
4032,286
1205,2757
4628,733
8371,307
14176,4129
17797,2969
10886,1689
2631,102
3910,7653
8246,452
4639,4671
7631,894
2773,5594
1948,2551
8090,1234
8845,1918
2952,3849
6320,5004
11336,8139
13777,4568
9489,3773
12948,2149
82,1138
10247,3002
17877,6212
3938,1177
11296,1177
14959,3066
17908,3843
2080,8348
4664,1083
43,13789
17621,1423
13735,3872
2729,7898
4654,5061
5189,1308
4125,4271
9931,2838
9634,7653
9156,10831
18043,705
7842,1918
6792,3292
11350,2673
6411,3274
11351,4271
7783,3872
7590,5697
5070,6488
8707,3843
13813,4773
17792,4865
2351,491
14406,5804
8985,12194
4015,627
4308,14868
856,4885
13263,2516
6965,1953
18160,1185
5653,7022
