doctoralDegreeFrom_1,doctoralDegreeFrom_2
27,28
842,843
472,912
1207,1208
1212,1213
1637,1638
1128,2094
2468,2484
1679,2601
2551,2607
2673,2674
2681,2682
3274,3275
2191,3384
1845,3451
3645,3646
3647,3648
3714,3715
3733,4120
4167,4168
4499,4500
1919,4571
3834,4698
2149,1055
5021,5022
4348,801
1689,5439
2202,5571
1957,5901
3722,5943
1621,6222
4440,946
3254,6469
2568,6662
2364,6719
3509,875
1068,6772
6920,6921
5724,6953
1937,7171
1526,527
669,7418
22,7949
4508,4543
3960,8118
1443,8188
1545,8288
258,8426
2646,801
8575,9113
1330,9256
6033,10051
1819,3152
8139,10588
380,4469
4885,11044
11137,11138
1490,11242
11265,5128
2140,7931
5424,11598
3260,11624
1056,11676
9658,10970
6853,11803
286,11788
186,12126
10017,216
98,12235
5344,5440
277,12420
3004,12429
984,12802
3619,12909
3882,8598
3215,13035
8304,13082
8897,13213
2512,13215
1211,11803
6060,13617
3667,13618
694,13690
713,5621
733,3648
1856,13980
10284,13602
3045,14122
1293,14353
1389,14361
2573,14371
4545,4729
5689,14525
12820,28
1413,14728
296,14745
7699,14750
6008,14929
2112,14012
4129,12555
5792,9045
2213,8265
1606,15193
8407,14727
6454,6953
10232,1486
8778,4930
373,9898
627,875
5409,15844
1093,4258
5804,8195
1554,12909
3849,16032
3320,801
636,8646
3554,15871
16418,16419
6525,14829
4671,12802
7257,16626
7635,16662
13144,12517
7541,3715
4522,17034
1676,4955
2154,17214
3664,3330
11025,14371
813,9834
2584,17275
10638,17308
247,17360
1794,17364
2418,11308
489,6335
11250,17449
14227,12909
614,17526
4598,17552
1016,11909
7281,3663
534,17759
30,14525
4921,12397
11695,17809
1202,17856
625,15931
423,17880
136,14837
4110,17915
2100,17923
6738,875
3729,13454
3748,18038
9832,3541
9270,18064
3843,14720
1909,9570
3877,17275
6308,18279
5197,15427
8116,16275
6134,8705
301,8833
3305,6908
3801,14139
4257,13646
6488,13462
1232,13680
15169,5522
9572,18674
11331,9600
5664,12263
3397,11679
8659,11040
7238,6688
3952,13186
3484,16772
2516,19115
6112,9744
7042,11020
5690,3202
5697,15026
8369,17890
4038,14146
2142,19456
8515,19462
2340,2287
9556,3528
14785,19559
320,19563
4187,12890
178,18915
5150,3861
5765,19764
1339,19764
1982,15931
6197,18432
5423,14275
108,4053
3427,20049
6927,1638
4137,20171
3066,14371
3002,17247
4511,9880
7889,5901
5888,13663
2975,6604
1714,11233
4537,10170
13299,15048
6629,10658
7379,15687
3096,15209
324,13484
156,14273
8350,13082
4794,7637
2978,4258
2303,9263
2652,10307
2599,17491
7459,4500
13183,20771
7898,17491
1809,20791
989,695
7049,15945
3333,20974
5764,18850
3182,20974
7022,19609
1200,20463
305,8237
12194,6908
8668,14497
1185,7036
14817,12517
393,15429
4707,16948
78,6069
4961,1078
2926,17242
597,6395
4884,3019
3535,5356
4040,1445
2560,12563
1747,10587
662,19670
882,21556
15578,21573
3726,10587
12545,10619
7444,1367
773,11536
959,11940
4701,19456
3520,9744
2838,17064
3265,20974
5469,16138
7275,4326
4059,8287
2900,14177
5594,7961
1860,18262
12481,14492
3241,6659
9091,18599
5524,1309
8146,19959
6808,801
1988,8287
4611,15525
6075,16182
11361,14492
3314,1351
6611,11497
6981,22282
10914,8097
550,5943
4773,21400
14175,21932
282,20215
6080,5005
6046,13454
1002,14829
452,1998
10713,2094
4265,18547
2327,18454
1916,13680
6975,19673
5277,20432
11163,11912
5084,17774
524,719
9143,8729
144,14052
4865,18557
10253,4571
191,8551
2020,16024
4364,21199
742,6223
6462,17064
11564,18114
1863,17399
2012,14122
267,17230
102,13007
1281,9045
11069,16032
6094,22822
1712,17842
896,22840
132,4938
6961,14019
1409,19670
295,4369
1836,20371
2230,2674
864,16043
