mastersdegreefrom_1,mastersdegreefrom_2
296,297
597,598
634,719
820,821
1054,1055
1308,1309
1389,1390
1409,1410
258,1812
1937,1938
127,2449
627,2845
3480,3481
3554,3555
1266,3653
3722,3723
949,3741
4100,4101
2230,4369
4885,4886
5004,5005
5119,5120
295,5314
2681,946
3779,5576
3066,1843
4038,6223
6773,6774
2596,6908
968,7026
3952,7246
655,7806
959,7840
2274,7903
7935,7936
864,7246
4129,7989
6197,630
8457,8466
2560,1148
1860,8551
4059,8729
1093,8997
2303,9295
1916,9348
614,9442
1068,9600
2573,9829
2020,8126
6808,9914
2975,9921
3667,9932
3215,9964
2770,10003
524,10102
4707,8288
6006,10307
689,875
1490,10340
3960,2374
10529,10530
1330,10545
4537,28
10275,10587
3139,10786
7238,3393
8139,11037
3137,7903
4545,11112
11163,11164
1138,11201
393,4168
3005,11364
3773,11558
11564,8133
5423,1343
4440,11627
282,11848
1281,4543
8277,5280
636,12147
3276,8029
5376,12447
12481,792
783,12517
2676,719
3733,1638
1851,11558
1554,12800
1083,9263
452,12955
5136,11932
4244,13000
1207,11604
1743,13168
9556,6335
6611,12429
1443,8408
2459,12299
607,9852
3743,5356
6760,5745
1953,1351
4611,11706
2960,4168
98,6222
2213,14123
3927,4053
2652,4332
8143,14699
5765,14722
3288,8097
14732,14733
3477,8097
267,7931
3427,13121
2687,14881
5524,1367
3320,6921
3265,15026
15027,15028
1056,11624
795,4120
3748,6698
3877,10751
1002,15557
3013,15649
399,9256
2599,15687
2978,13599
305,15719
3254,1483
1747,13996
3096,10786
8369,16138
8014,14103
1592,8466
5778,12555
1809,15498
5061,6198
8146,16454
6046,15852
2149,16503
9143,12402
2191,12018
935,8380
3038,11894
2900,12563
7403,10584
3002,16989
277,5943
3801,16948
187,6175
3645,15687
9658,1457
4264,16662
6452,14837
7898,5950
5170,17444
4511,8237
5424,11303
7541,17491
1202,17743
2847,17774
4884,3481
2667,10222
6740,10613
2544,17946
7281,12525
3127,18168
9966,18174
15059,18243
301,5062
7653,18325
9270,18347
491,1887
3872,9194
156,8351
4325,18447
6920,5745
3183,18550
7379,14152
2673,18596
1606,8408
2584,8509
7862,8598
22,11128
5150,15193
10253,4258
2962,1613
962,17364
3333,19089
11695,16275
5993,14492
11025,18362
4671,14719
4257,14492
5197,19287
7114,16401
307,17275
247,14722
6212,10153
669,18240
705,13825
5469,19558
1016,6222
5728,8598
2049,19609
7022,17357
117,19239
4865,6569
4079,16024
1211,19716
8116,17287
8189,5745
6462,19831
9750,16182
7271,13968
4568,19947
894,19613
12194,14419
16418,20054
423,16235
3305,11624
7042,6774
6112,14361
7287,3895
10941,1843
5888,1680
5432,13602
6454,20348
11361,20371
2142,20499
1863,20501
9832,18168
9851,20049
5764,14256
1918,8540
6310,13071
15169,8126
3260,11145
7257,11061
6961,19089
7293,3648
7503,3289
4809,895
2439,4774
1794,15539
7356,20972
882,10354
4508,17883
7767,19199
3241,11242
184,9595
1714,9921
2838,11674
30,15368
1185,11558
1679,14733
314,21199
5021,11342
6927,6763
4598,18550
4794,7619
6283,1903
4040,321
1128,11909
1845,8695
3882,20583
2310,3044
641,10415
6525,13690
1504,7791
12820,7418
16,15209
2100,13759
2468,13389
7459,7312
13789,17890
3729,12429
12127,18950
489,17801
15578,21217
562,11909
7409,21748
6008,17230
3509,6115
8515,19609
6094,12468
17630,16989
10831,17364
2183,20655
1815,8188
2174,6362
3182,7171
2340,11545
17010,9256
7162,15352
3008,15193
1772,15844
5264,19831
3849,6816
1689,7313
1988,18915
4301,22187
10737,7806
3647,3047
8304,18325
1526,8922
6134,9829
984,17880
10232,6921
3834,7784
6738,21771
27,21556
4155,6816
1637,13386
694,20980
7054,12476
3758,19498
144,22742
7635,1457
52,13823
5106,7778
1621,7990
4265,19287
2003,22141
1957,15248
13144,3322
1200,8906
5482,12891
5594,11679
4786,23034
2512,16025
286,11624
17722,7297
14817,22316
14175,11849
2140,23131
1911,20375
5938,8351
1725,19609
2510,5745
472,9301
14868,17801
10638,14146
8778,1680
11250,11065
2202,15048
1339,13690
773,19716
2046,13082
13299,5901
1423,19089
3482,4326
2665,13334
5344,1134
8668,19089
5084,6973
8659,14881
14227,20526
6494,7026
2418,15496
1177,21614
9332,17531
1836,20291
11331,6604
2969,14745
186,6915
6259,8598
8350,11020
7347,16890
3619,19907
6620,93
380,4334
4137,15193
534,17348
8897,14955
7049,17614
2730,22141
4499,17547
2516,20903
7255,2374
3726,18447
2227,12891
178,13996
2154,1613
2757,9834
7334,18932
6673,15189
1587,2300
9718,20841
1856,7313
10914,4093
1652,21213
373,1486
3397,4886
176,23060
2646,3151
6853,6723
4187,11706
7494,22048
1293,11968
3664,15131
14252,13617
5689,9595
7889,321
625,17437
4110,1148
3068,19609
11265,11536
8348,18168
14652,21809
1545,7966
136,17547
2012,13837
2327,5018
3004,895
6981,505
4921,7372
7514,3393
7275,18174
1982,21852
6033,20133
13546,3322
896,11303
9091,16944
2909,11627
1256,14340
4468,24772
1819,12782
4070,16098
964,7312
3754,15266
1919,18397
11137,6953
1712,6659
11702,11909
6075,13035
4701,15352
6650,13836
713,16401
2133,14256
5978,8540
1413,20930
728,21952
3045,2674
7975,17858
191,20091
13977,15450
6080,18175
2551,13334
2364,19072
7444,8969
3520,16474
2926,18330
8575,17308
1212,3820
662,8997
2553,13064
4364,18639
8803,14145
8225,5128
5690,19836
10422,19725
10284,10307
9572,13071
6629,24678
4167,14202
5697,17890
320,14810
550,14881
5804,6719
132,17357
671,1445
2966,24854
12518,15530
4552,11968
1019,4571
1090,8997
3535,18114
3235,19729
324,297
11069,22472
1798,14492
2454,3019
3843,24772
5277,20972
3678,21519
4773,5950
1676,13007
5409,7888
455,17930
1232,22777
3146,4096
742,13035
108,7443
2568,6659
1780,15362
8270,17526
7699,11164
8407,50
6975,6362
2222,15189
989,3820
813,14874
10017,1343
5429,5381
6488,15028
3274,2845
12545,15199
842,9668
1234,20999
3105,19836
1909,20129
501,10588
2112,14371
5664,9852
4961,2094
3314,1258
102,14012
9794,13168
3714,14719
733,22355
5724,17264
4271,6904
3292,10307
1905,5094
263,17214
4348,3384
6060,19224
10713,9045
78,18981
5792,21664
14785,17308
6308,9368
13183,3451
1402,14925
3484,11848
4522,16890
