publicationauthor_1,publicationauthor_2
4,5
15,16
19,20
21,22
51,52
53,54
116,117
131,132
141,142
155,156
175,176
177,178
183,184
185,186
230,231
246,247
254,255
257,258
262,263
270,271
281,282
285,286
294,295
304,305
309,310
323,324
333,334
344,345
392,393
418,419
422,423
454,455
485,486
490,491
500,501
533,534
549,550
569,102
574,575
580,581
633,634
654,655
670,671
687,635
701,702
703,704
711,712
724,725
732,733
745,733
767,768
84,773
794,541
807,808
812,813
817,818
850,851
879,783
881,882
886,887
910,911
934,935
941,942
948,949
958,959
961,962
963,964
992,993
1001,1002
1018,1019
1024,614
1029,1030
1048,621
1049,799
1067,1068
1089,1090
1118,501
1137,1138
1176,1177
1201,1202
1210,1211
1231,1232
1239,1240
1241,1242
1261,1262
1265,1266
1269,1270
1292,1293
1301,1302
1325,1326
1329,1330
1353,669
1362,1363
1401,1402
1404,1405
1406,783
1419,799
1439,634
1442,1443
1454,541
1466,671
1478,1479
1500,1501
1522,381
1544,1545
1548,1549
1566,1567
1586,1587
1591,1592
1594,1595
1597,1095
1605,1606
1609,1610
1624,324
1625,1626
1651,1652
1654,773
1674,1675
1734,882
322,1743
1755,1756
1771,1772
1793,1794
1808,1809
1814,1815
1818,1819
1833,1834
1835,1836
1839,1840
1850,1851
1855,1856
1882,1011
1883,989
1904,1905
1908,1909
1917,1918
1947,1948
1952,1953
1954,186
1764,1963
1987,1988
2008,2009
2031,2032
2038,2039
2045,2046
2055,305
1176,2077
2084,2085
2124,2125
2153,2154
2155,2156
2173,2174
2184,156
2187,282
2190,2191
2201,2202
2209,2210
2212,2213
2220,2221
2226,2227
2259,2260
2339,2340
2345,2346
2350,2351
2358,2359
2361,2362
2363,2364
2409,2410
2413,2414
2427,1864
2431,2432
2453,2454
2462,2463
2493,1133
2494,2495
2518,2519
2523,2524
2525,1313
2542,2543
2550,307
2552,2553
2559,2560
2572,2573
2576,367
2597,783
2598,2599
2628,2618
2633,2634
2638,2639
2651,2652
2664,2665
2666,2667
2571,526
2675,2676
2677,968
2683,1504
2715,728
1494,1743
2718,2719
2728,2729
2742,2743
2771,2020
2779,1549
2809,2810
2821,2822
2829,2830
2835,1281
2837,2838
2843,2844
2854,2303
2889,1714
2901,2902
2904,2905
2908,373
2945,984
2951,2952
2961,2962
2965,2966
3016,2573
3027,3028
3029,1073
3034,2364
1876,3068
1480,1758
3094,3095
3136,3137
3138,3139
540,3146
3149,597
3189,3190
3196,1637
3199,705
3229,3230
3234,3235
3245,3246
3253,3254
3303,258
3313,3314
3328,314
3332,3333
3339,1389
3340,820
3374,1090
3375,3376
3391,2892
3399,1002
3429,634
3432,2838
3435,247
3439,2510
3463,3464
3471,775
3474,3475
3483,3484
2131,3509
3510,3511
3519,3520
3530,1650
3534,3535
3571,1436
3599,186
1097,3146
3618,3619
3624,1501
3627,3628
3632,1339
3654,1915
3680,3681
3713,2149
3718,3719
3732,3733
3742,3743
3744,2049
3757,3758
3767,713
3772,3773
3784,3785
3800,3801
270,98
3825,3826
3830,1276
3841,2156
3847,3758
3848,3849
3853,2230
1478,3872
3876,3877
3881,3882
3897,1676
3903,3904
3912,3913
2720,864
3920,1266
2821,3927
3937,186
2836,3952
3980,1953
3982,601
3990,3991
4006,4007
4008,4009
4010,399
4030,4031
4047,4048
4054,1212
4056,1413
4090,187
4109,4110
4116,1644
4124,4125
4128,4129
2314,4137
4154,4155
4174,4137
4190,1128
4199,383
4203,3376
4204,1019
4209,1909
4214,4215
4220,2178
4225,4226
4242,3160
4263,4264
4274,4275
4285,4286
4305,4137
4347,4348
4353,2900
4361,4362
4384,324
1241,1402
4395,4396
3479,4399
4419,2340
4423,4424
2908,3894
4439,4440
4448,3068
4470,882
4489,4490
4498,641
4521,380
2172,4533
4535,247
4544,4545
4567,4568
4579,4577
4604,3927
4607,1202
4626,4627
4629,2364
4632,2730
4634,636
4651,4652
4653,1293
4655,3882
4663,4664
4670,4671
3898,3333
4676,3013
4688,1526
4699,1780
4715,2968
4732,3882
4760,3773
4772,4773
224,4786
4807,1339
4808,4809
4811,4812
4821,3894
4822,4823
4837,4838
941,2871
4850,4537
4854,3667
4861,1606
4874,85
4883,4884
4904,3238
2727,4928
4948,964
1431,4961
4962,4963
4970,4264
4996,3945
1651,4455
5015,2133
5023,5024
5034,2687
5082,1330
5090,634
5099,2584
5117,5118
5133,54
5137,3045
5140,5061
2629,3160
5149,5150
5160,3150
5245,1725
5263,5264
5271,5272
5281,3238
5284,5285
2363,5322
5324,4545
5326,5327
5375,5376
5382,1235
5392,263
5418,5419
5422,5423
5427,4961
5431,5432
391,4537
5437,263
5438,2174
5445,5446
5447,5448
5473,2573
5476,842
5483,1619
5485,5486
5489,2023
5490,2532
5491,5492
4688,5421
5518,962
5528,3265
5545,4976
5575,3509
5595,5596
5601,4838
5607,314
5616,803
5629,2003
5632,3664
5639,2364
5645,5646
5656,3038
5660,5661
5684,5685
5702,5703
5711,117
5718,5719
5721,4511
5722,1587
5723,5724
5763,5764
5768,1202
5770,3314
5782,2274
5784,607
5785,671
5786,5787
5788,132
5795,2080
5818,5819
5836,1253
5840,5841
5845,132
5849,5850
5860,2082
5868,5869
5875,295
5882,2978
5889,4473
5890,4137
5892,4271
5896,1281
5897,5898
5899,5900
5920,27
5937,5938
5944,5900
5971,393
4806,5976
5147,1845
3718,5792
6010,3509
6020,6021
6044,6045
6049,1066
6053,3714
6055,3254
6063,2966
6074,6075
6079,6080
2292,2646
6090,6091
6092,3877
6106,984
6116,4783
6124,3397
6129,6130
6131,6021
6151,6152
6166,3625
6173,191
6211,6212
6220,6112
6228,324
6254,6255
6282,6283
6285,5432
6290,2900
6294,5424
6321,2719
6329,964
6330,3520
6336,6337
6343,6344
6354,6355
6377,3013
6382,1789
6384,5254
6388,5938
6409,1772
6410,2969
6413,2230
6445,4490
6446,1614
6449,3352
582,989
6461,6462
6468,71
6471,6472
6479,2962
6489,6490
6505,6506
6523,959
6524,6525
6553,4100
6555,6556
6562,2646
6566,6075
6595,2082
6607,1982
2850,6611
6619,6620
6482,286
6639,6640
6649,6650
6669,5765
4249,6678
6679,3037
6689,6690
6692,3960
6699,813
6712,5429
6715,1714
6739,6740
6754,4499
5296,6760
6460,4031
2365,2213
6777,98
6786,6568
6791,6792
6795,2303
6804,2584
5085,6808
6819,3619
4353,3755
6826,3667
6832,6833
5551,742
6866,2573
6870,3397
6881,5482
6882,635
5099,6890
6923,6924
6926,6927
6929,3333
1393,2049
6649,5403
687,1177
6958,6959
6960,6961
6962,6112
6964,314
6977,3952
6992,2222
6445,962
