teachingassistantOf_1,teachingassistantOf_2
340,341
608,609
750,751
753,754
1692,1693
381,1929
2616,1629
43,2620
4738,3823
4767,1159
6423,3553
6432,6433
943,1781
7452,3250
7624,4790
7730,3227
7943,42
8130,4843
6331,4516
54,200
730,1023
2699,9213
7599,1179
9319,8307
5,9336
1257,5399
9767,3454
7266,7075
950,2219
2972,2180
10318,1161
10600,10601
1688,499
2341,9779
4623,3080
5087,2424
480,5132
11707,6743
11288,5158
1650,4782
10963,7685
6752,6358
12151,3404
10145,2539
7480,3130
13399,5544
2627,3689
11835,416
9699,5294
6357,579
10625,12037
1886,4338
13492,3538
14174,1396
11692,1661
9407,3052
4286,8662
3832,514
8312,5857
5201,349
856,986
2351,10282
3248,2079
5035,3416
2359,7585
12778,431
10682,4836
13590,1337
8651,2452
8334,6093
15328,3209
6959,1101
1746,6695
3394,7902
9281,9756
5165,9579
5898,2128
389,4714
8291,9305
10139,3984
8903,1380
2396,7248
9554,4666
4143,5605
7520,6861
891,3419
9182,1062
9999,2589
9540,1933
5325,10952
6181,5593
15989,2541
9816,1227
6380,9784
2657,1365
1630,5586
9191,3271
14020,6886
15495,10278
5685,9881
3319,2853
6955,1305
3885,6784
5053,7331
3150,3925
4976,3655
4636,4513
436,890
7289,5602
3812,862
4333,2497
2952,7447
2902,17576
8931,8063
10934,2971
8090,9273
5221,5942
2286,9036
6098,2328
12505,3082
11535,253
8062,8459
6204,1745
12045,7893
10468,917
3868,1411
14534,6821
10754,8604
1717,6782
5100,8533
8712,6527
8517,3413
8470,6035
10720,9323
2696,8177
6030,1577
6849,3621
3716,8644
13810,1165
9524,796
1323,3686
7099,13458
8756,10513
11539,5079
7473,1510
11190,5807
6578,3824
4092,193
12738,1070
15565,8708
9437,140
16216,7064
1823,5203
3223,11697
12979,5839
18191,9137
16272,2816
17541,2121
5359,3987
8932,4793
4917,8096
12676,214
11588,6303
12931,548
398,3858
2995,81
9055,905
4125,2608
2110,6700
7326,1324
9378,5180
12716,5615
1635,2034
13225,377
14226,6794
6277,1695
12269,4972
16033,79
6320,8841
15311,561
446,3677
10910,7867
11648,957
12543,10813
5502,6412
8959,11548
10843,9419
8987,150
3028,11280
3360,2010
8274,1472
10021,4912
1963,4252
12223,6274
6404,7066
8910,4106
10502,2466
5630,403
12824,1392
5653,5525
12988,952
6648,10235
4141,7128
11521,11024
3012,5965
2021,1153
4664,1801
20910,10735
14550,2641
8923,3502
12026,1672
10442,1359
2773,7462
2067,11698
1436,5154
735,13719
7882,7059
7484,13446
2855,5716
9661,11897
945,259
7744,5048
7118,9271
2986,7546
4973,7194
1948,4960
3015,2037
10365,1197
19067,7109
4250,9876
4007,823
1840,2057
16204,3055
6130,1149
1925,1697
7096,5494
16234,2750
601,4488
1729,8247
20669,7701
4750,233
4473,10060
8876,1888
1956,588
12368,11611
8129,8572
1394,7030
3707,1527
5477,14015
10355,1583
2242,2579
3860,1750
18026,8518
4963,2315
10099,982
13999,972
10073,667
13204,13109
10528,1167
11680,3237
7607,7665
690,12995
2949,605
650,1866
11775,5002
7328,6536
13829,571
13733,327
3981,1291
8988,1264
5486,2189
5679,4012
5397,4559
1756,4236
7225,17380
8521,2423
11643,411
755,5278
3524,4746
9702,4659
3791,1005
2587,12186
898,18972
266,6476
3348,40
13879,884
9701,4703
7794,919
12642,2625
9355,5465
2543,11515
3511,5584
7636,2030
14608,4323
12721,2917
3336,7333
3355,7761
5322,8429
11771,5867
9670,7708
7689,9856
7618,1481
14901,8937
7476,9456
306,566
19622,11027
1313,859
1943,2869
4876,759
16656,7978
20,5372
12025,2690
4639,6802
2221,10449
7981,2791
1348,1920
9011,6504
3540,5591
17649,3855
5242,2472
5972,2656
9097,5258
4572,482
11474,6867
6050,10887
4061,7987
16538,1034
18652,275
4237,9599
5095,7656
11148,10123
231,3436
2500,1664
10148,2991
621,3551
4277,5905
6972,4700
4711,839
4329,10263
3948,3893
5027,4459
2963,5105
313,9127
4000,8055
8591,1354
1253,462
11973,10896
12610,1975
5425,16541
3311,2562
9667,568
18153,1993
3457,2980
9466,3132
10020,245
887,3944
818,8493
8953,2457
3826,12185
4320,854
3025,12451
12202,5865
5309,4052
11256,1247
7358,2793
14916,13627
7801,2615
7056,9494
6587,3879
10492,5946
2032,3467
16505,507
14968,5172
6258,4932
7103,10969
9513,439
2743,9522
8786,4050
19301,1279
781,8837
18373,4314
12906,521
12349,12698
720,5990
12063,5052
12199,10369
6122,1287
12156,1071
2871,5794
14605,546
14380,3291
9792,14754
12007,1206
2463,2245
60,5537
5448,2069
4553,336
7120,12807
8590,4206
11091,5308
11111,400
10405,3816
15981,251
16435,1304
1913,1656
4049,8360
12290,8978
