undergraduatedegreeFrom_1,undergraduatedegreeFrom_2
49,50
92,93
320,321
504,505
526,527
629,630
705,706
791,792
800,801
874,875
894,895
898,899
945,946
1077,1078
1126,1127
1133,1134
1147,1148
1173,1174
1257,1258
1407,1408
1440,1441
1240,1445
1474,1475
983,1483
1588,1589
1679,1680
1685,1686
1886,1887
1913,1914
1997,1998
2073,2074
2286,2287
2299,2300
2373,2374
2621,2622
2730,2731
2773,2774
1293,28
2972,2973
755,3044
2963,3047
3150,3151
3066,3152
381,3198
3288,3289
3317,3318
1637,3322
3336,3337
3362,3275
3392,3393
924,3528
3540,3541
3662,3663
3678,846
3860,3861
3894,3895
4019,4020
4032,4033
1909,4042
143,4046
4087,3663
4092,4093
4095,4096
4111,4112
2142,4255
4325,4326
4333,4334
4468,4469
1253,4475
4542,4543
16,4555
1916,4674
1501,4774
4897,3322
4490,4938
4954,4955
4964,4965
5017,5018
5061,5062
2391,5195
5274,1390
5279,5280
78,5317
5355,5356
2763,5381
5403,5404
4684,5440
1780,5442
5521,5522
1066,5619
5620,5621
5651,1887
271,5745
5972,5973
6030,6031
2340,6115
6174,6175
6197,6198
6204,3198
6277,6278
4492,1309
4424,6352
6380,6381
6394,6395
6448,1589
4664,6480
6568,6569
6570,6571
22,6604
6658,6659
5469,6693
5653,6698
6717,6718
5978,6763
6914,6915
6934,6115
6972,6973
7035,7036
2183,7151
1603,7300
7311,7312
524,7330
7363,946
107,7372
7382,7383
5325,7472
1840,7507
989,598
4988,7619
7626,7627
7636,7637
7783,7784
7830,7831
7056,7888
480,7912
4164,7931
340,7961
1330,7840
6310,7966
3037,8019
8028,8029
8033,8034
4639,8097
3005,8133
8194,8195
8236,8237
2949,8244
8270,321
8286,8287
1093,2845
8350,8351
4038,8364
6060,8380
8407,8408
1607,6921
8470,7936
5622,5901
4884,8509
6738,4469
7487,8646
4364,8695
1595,8699
7833,8797
8803,5094
3628,8833
1363,8834
8903,3451
7006,8934
8943,8944
4812,8969
1898,6335
9018,7791
5936,9079
5913,9161
9193,9194
9255,9256
98,9301
9142,9338
5432,9368
3238,9409
9466,9467
6454,9482
3320,1445
9578,3451
4149,9595
4165,9610
1313,6480
9191,9618
9635,9636
6111,9668
3679,9671
6472,3715
4226,9808
7558,9834
9851,9852
8139,9880
4868,9897
9956,5404
1028,3289
8243,9962
4838,10038
3274,6362
10073,10074
10113,1445
3724,10170
8149,4039
10221,9744
7154,10222
9739,2449
6981,6569
10353,10354
10373,10374
5046,10415
887,10448
5021,10481
3728,10507
2775,10540
9670,10575
10583,10584
8340,10619
10625,7876
1956,10658
8251,1408
5241,10751
6645,2845
10818,4168
10821,2973
7738,10823
8946,10840
1798,7297
10918,2484
7294,10970
1019,5044
11012,1457
313,11020
11022,1148
6857,11040
7468,11061
11064,11065
7289,11080
5679,11128
7379,11145
7817,11226
1772,4020
4110,11303
2322,11305
1729,7052
9602,5745
7305,8244
384,6381
6927,11497
3849,9666
1967,11505
6938,11571
30,5943
1289,11164
1185,11674
11675,1445
7821,11679
783,11706
1503,11712
3625,1309
7607,11725
11265,6604
11787,11788
3480,1445
1216,11849
1756,8705
1688,11909
1580,11932
11392,11558
9918,11968
11971,9823
12001,12002
10389,12020
5201,11303
5024,93
398,9964
3002,12144
4129,12161
3928,12175
8872,10354
12243,12244
12202,9932
12262,12263
10328,9897
5821,12299
3071,12328
12086,4033
12396,12397
635,12402
7590,12406
3105,12299
4048,8969
3576,9618
2119,2774
4921,12525
6506,12550
12554,12555
12562,12563
12573,12574
12578,3648
5419,7715
434,11679
820,10102
5027,598
12695,8408
5065,12814
7504,11164
1650,12872
4157,9610
6112,12402
2840,10003
8260,12968
2023,3723
12543,10307
4508,13023
5240,13064
10177,13065
7096,13071
3427,13095
5869,13121
71,2731
4809,4551
5512,13186
13187,4698
7764,8705
13230,11080
6466,1769
7660,8034
3186,5619
13299,505
2639,13334
11581,13350
9970,13353
6149,9897
10078,13410
11791,13414
13453,13454
13473,10545
1443,13454
6961,6723
13485,4096
2960,12244
9966,13599
13620,13621
8090,12406
1623,13642
7326,13646
13662,13663
3407,13680
12181,9898
7322,3555
6516,10051
11631,13802
3832,13825
4961,13837
6792,11706
1957,11305
733,946
9637,7778
13925,13926
5421,13945
4499,13968
13995,13996
9845,9744
1426,3528
11463,14019
5532,10074
1302,14103
5841,12890
650,527
8035,14139
10333,14142
6828,14152
2396,14152
2241,14181
11069,14202
14214,14215
14234,4101
14239,6115
2260,14254
4007,14256
11337,14273
2327,5317
12462,10575
12785,409
12129,13836
2699,14340
457,14365
11947,28
13192,8567
10110,6774
221,14419
11944,3715
7704,1410
5106,14444
6180,8699
444,8934
9009,2094
10172,1148
9589,14581
13166,9898
1927,6335
7663,5621
2490,8408
6308,14719
9794,2300
11026,14727
7162,14751
6519,1208
3684,14810
813,4112
3776,13690
191,5621
11161,5571
864,14837
12353,12468
14878,14879
5662,14751
14918,11145
3241,14923
3726,14955
4767,11545
12885,3289
13701,15048
1308,5522
2696,15073
2667,13150
14329,15121
2221,15131
8935,15168
15174,12406
3457,11520
5004,15199
15205,15206
3223,13759
10090,15232
4562,15235
14636,15237
6603,15248
10843,13121
1747,15266
14220,4543
9016,4020
962,11894
10232,15362
2088,15368
15369,14720
4141,13150
4100,11676
8160,15402
6744,15427
2744,15429
7514,15446
13290,15450
6884,2094
15495,15496
11002,15498
10422,12390
10622,12891
11695,15232
15524,15525
6890,15528
87,15530
1743,15539
8664,6904
6737,1367
7085,14353
4059,1441
8556,10584
7114,1213
2049,9808
3645,15689
7356,14371
1394,4674
3365,8699
9060,14810
638,15786
8143,13642
15803,15804
3910,14122
1413,15193
7562,15847
4910,14012
4137,15871
5301,9570
5347,15877
1030,1174
8842,5573
2191,1897
4568,4543
964,2484
132,12968
8622,3384
11245,15991
1810,14146
10720,5973
7889,16025
14624,16043
2500,7627
16078,801
8081,8244
16090,8509
9572,16098
13445,8287
753,9829
11903,13035
5319,7961
2553,12236
2158,16145
1172,14103
7733,16177
9702,16182
1714,8133
13785,16209
7403,16211
7274,1445
1606,16222
16234,16235
1963,2731
2444,12235
