academicfieldconcernssubject_1,academicfieldconcernssubject_2
1422,1423
1594,3568
927,3699
10114,3699
8633,1423
12356,12357
13595,13596
927,8256
19327,1423
5566,20103
1594,20908
573,1423
927,16253
927,12140
927,25133
927,23070
25435,726
7970,17146
14683,1423
1594,10187
1594,23070
10114,32945
8372,32908
573,35088
1594,6104
1594,26941
927,6104
26287,1423
927,42618
1902,41075
20216,25933
6362,25133
1594,44617
16253,5754
10114,45695
5566,46385
1902,47122
33867,1423
12356,50078
30741,25133
927,18973
1594,46385
1594,3699
927,51811
5566,52020
34729,46385
5828,8712
53383,1423
1594,53454
1594,17114
927,54097
5335,25133
1594,34531
55650,46385
4210,24498
1594,18973
1594,1423
5566,57255
1594,35741
5828,46385
1902,25133
59749,25133
573,9909
1594,60102
30741,1423
1594,41075
61730,1423
927,9385
1594,12140
5566,20908
927,46385
22803,1423
1594,10328
32370,1423
1594,1595
26143,1423
10114,29635
1902,10187
31893,3568
8667,1423
573,25133
1594,14951
573,31600
8633,17114
5335,1423
1594,5334
1902,6104
1902,1423
5828,69513
1594,60519
573,42618
62757,46385
1594,8256
25435,1423
927,1423
8633,25133
1594,8398
4029,1423
1594,11140
927,4327
10431,6104
23330,45252
5566,73682
1594,73438
927,3568
1594,42618
5334,47454
38636,48947
1594,74029
1594,16602
573,4327
23330,25133
45407,45406
5828,64682
5566,54218
13680,52051
1594,25133
573,18539
1594,50290
8372,3568
1594,9385
1594,51811
1594,22205
1594,73196
23330,1423
1594,4282
1594,4327
1594,36321
10114,46385
1594,2729
14683,25133
927,10187
