academicfieldconcernssubject_i_1,academicfieldconcernssubject_i_2
2729,1594
1423,1594
9385,927
3699,927
10187,1594
10328,1594
11140,1594
8712,5828
16602,1594
17146,7970
18539,573
22205,1594
1423,1422
25933,20216
1423,26143
1423,19327
29635,10114
32908,8372
32945,10114
35088,573
1423,32370
3699,10114
41075,1902
42618,573
45406,45407
6104,1594
47122,1902
47454,5334
18973,1594
48947,38636
20908,1594
42618,1594
50290,1594
1423,5335
25133,8633
46385,5566
52051,13680
25133,14683
54218,5566
6104,10431
5754,16253
4327,927
1423,1902
3568,927
5334,1594
13596,13595
1423,8667
25133,6362
4327,573
46385,55650
20103,5566
18973,927
8256,1594
50078,12356
1423,26287
46385,62757
3568,1594
6104,927
25133,927
46385,34729
17114,1594
12140,927
64682,5828
25133,59749
1423,33867
46385,5828
6104,1902
57255,5566
25133,1902
44617,1594
9909,573
46385,1594
10187,1902
26941,1594
1423,14683
35741,1594
23070,1594
8398,1594
51811,1594
1423,61730
25133,30741
25133,5335
17114,8633
34531,1594
60102,1594
726,25435
3568,31893
1423,22803
23070,927
3699,1594
12357,12356
10187,927
20908,5566
9385,1594
1423,927
1423,53383
45695,10114
1423,30741
73196,1594
51811,927
12140,1594
25133,23330
36321,1594
24498,4210
73438,1594
53454,1594
41075,1594
4327,1594
1423,4029
54097,927
74029,1594
1423,8633
16253,927
25133,1594
14951,1594
46385,10114
3568,8372
31600,573
46385,927
1423,573
60519,1594
52020,5566
69513,5828
4282,1594
73682,5566
1423,23330
8256,927
45252,23330
25133,573
42618,927
1423,25435
1595,1594
