academicfieldsuchasacademicfie1_1,academicfieldsuchasacademicfie1_2
573,574
2213,1902
2529,1594
2891,1902
5334,5335
4125,6362
6524,1594
7230,1594
2891,927
5828,1594
1594,4029
12664,1902
7308,10732
10653,10652
14975,1594
15975,927
16232,10652
7688,573
12804,12356
17092,1594
18303,1902
19324,1594
5566,1902
22639,927
17048,1902
22803,1902
5334,573
23070,1594
1594,23122
23410,10652
8383,1902
23925,1902
23993,1594
1595,1594
16232,1594
25306,1594
10445,1594
17545,1594
10969,1594
26078,1594
4134,927
6362,1594
10969,1902
27030,927
27811,1902
28495,1902
22309,927
11961,1902
11011,1594
29386,1902
5829,5056
29735,1902
5829,30741
20216,1594
28351,1594
5335,927
31832,27678
32698,1902
4029,1594
26561,1594
10431,573
6362,927
9520,1594
22309,1594
34821,927
29735,32438
32370,1594
7688,1902
16232,24540
5566,573
10431,1594
32943,927
25231,1902
29442,12356
573,32438
18482,10732
37527,1902
24017,10652
10652,1902
25502,1594
37897,1594
10653,573
573,38141
5334,1594
5334,927
17466,1594
39667,1902
39771,1594
12488,573
17545,573
40291,1594
13417,1594
5829,33739
10652,4029
40856,1594
21841,1594
12356,41664
7680,1902
37405,1902
10114,1594
42713,1594
1903,1902
13944,12356
43506,1902
26495,1902
573,1594
44204,1594
30107,1902
7230,927
5829,8633
27444,1902
41861,1902
5829,28586
46344,1902
5828,927
573,21518
8633,573
11396,1902
18303,1594
31539,1902
5829,927
13990,1594
32589,1902
5056,927
28805,1594
40173,927
10969,927
34753,1902
927,1902
39035,1594
37719,1594
50031,1902
4142,12356
50698,1594
50722,927
37028,1594
27030,12356
23330,927
51152,1594
51246,1594
1902,1594
6362,5335
573,10431
8633,1902
52004,1902
10652,10653
52267,1902
28773,1902
51612,927
5829,4029
4282,1902
24540,1902
12664,1594
44647,1594
10801,1594
31491,1902
5829,1594
23410,1594
10652,6362
20216,573
54469,1594
11228,927
54668,1594
54813,927
52631,1902
11011,1902
38097,927
13680,1594
28773,1594
53555,12356
16253,927
34753,1594
18228,927
10801,1902
1903,1594
9496,1902
573,1902
4282,1594
17141,1902
13680,17092
41664,927
18880,1902
49364,1594
17545,1902
1902,29735
13680,927
10114,927
12211,1902
4125,12356
24601,1594
10431,1902
4029,573
38636,1594
31600,1594
23330,32438
5829,11841
56659,1902
28805,22803
60519,927
1594,573
1902,927
8633,1594
2484,1902
61151,10732
49037,12356
40053,1902
58104,927
5829,573
24005,1902
10653,1902
31667,1902
1594,32589
50290,1594
28923,1594
31600,1902
62095,1594
18228,1594
22925,927
32937,1594
10732,1594
33867,1902
5829,1902
6742,927
23284,12356
37621,1594
2524,1902
1594,1902
63671,927
62962,25502
63833,1902
12488,1594
44804,1594
927,573
32589,1594
61373,12356
13417,927
41302,1594
65041,1902
52267,1594
53783,1594
10370,1594
37028,1902
39802,1594
34753,573
9615,1594
24540,927
26289,927
7139,1594
10431,927
31539,1594
5828,1902
5829,66357
10445,927
13223,1902
28586,5335
28351,927
19324,1902
5056,1594
6524,1902
24540,10653
60687,1594
5829,14683
1902,32438
32373,1594
23070,12804
20216,1902
67354,9201
15865,1594
67411,12356
27678,1594
6524,12356
12804,927
40025,1594
11011,573
14449,5335
927,1594
24005,1594
4029,1902
32370,1902
2529,1902
12801,1902
36755,1594
16253,1594
68026,1594
14683,1902
32698,5335
17092,927
12356,927
16253,573
5071,1594
10652,1594
19833,1902
31893,1594
10653,1594
12801,1594
5828,10652
38636,10652
2891,10652
16253,22925
1902,10652
1594,927
49370,1902
1594,10652
58104,1594
28805,573
5829,69768
13595,1594
34528,1594
69841,1594
573,927
28805,26143
55490,1594
5829,6362
13223,1594
70286,1902
32982,5829
10068,1902
31829,5335
11655,1902
16904,1594
26561,1902
5829,10445
5829,5828
5335,1594
12356,1902
26078,1902
8372,1594
4282,927
13595,927
27631,1902
4125,10652
19050,1594
12211,573
10969,573
543,927
32589,32438
42823,927
12801,573
14683,8633
31893,927
12804,1594
4282,573
28495,573
20216,927
10653,927
12211,1594
52344,12356
574,1594
573,10822
23078,1902
38461,12356
9187,927
5334,1902
32982,1594
19582,927
55433,1594
11841,1594
45233,1902
23078,17092
32331,1902
72653,927
24540,1594
29735,1594
32943,1902
32982,1902
19565,927
40173,12356
5828,5829
12801,927
27678,12356
5334,14683
28923,10652
573,10652
32370,573
10370,10732
73158,1594
31893,12356
12356,1594
32698,1594
13223,927
573,27253
51197,1594
5843,927
23078,1594
66357,1594
4029,927
73903,12356
18535,34753
4125,1594
23410,1902
31832,12356
10682,1902
5829,10652
21518,1902
11011,927
43506,1594
1902,573
41972,1902
7230,1902
543,12356
52267,69807
42313,1594
2891,1594
1902,32589
8383,927
17545,927
6524,927
31832,927
4134,1594
17466,1902
5335,1902
5566,927
32589,573
59305,1594
25503,20216
35532,1902
15367,1594
32438,1594
2524,1594
73507,1902
35709,927
26495,1594
5829,14449
10320,1902
5829,5335
8633,927
5829,17466
68026,1902
61057,1594
12488,1902
4134,1902
9201,1594
6362,5829
5828,17092
4134,50687
74809,1902
10370,1902
5334,13223
8383,1594
25503,25502
5334,25435
38141,1594
40856,1902
15367,1902
16878,1594
23070,74862
52747,1594
39802,10652
31832,1594
5566,1594
23410,24540
23330,5829
47424,1594
22309,1902
7688,1594
927,10652
51464,927
53383,1594
28805,927
14449,1594
23284,1594
38097,12356
31829,1902
9140,1902
13595,573
38636,927
543,1594
1902,4029
41302,573
31829,1594
25647,1902
