agentactsinlocation_1,agentactsinlocation_2
287,288
587,588
1,1359
1477,1478
599,1922
1943,1944
791,2020
2037,466
599,2117
2222,250
587,2223
791,2234
599,2494
2713,1627
2795,2796
599,2903
599,598
981,331
287,3922
3944,1421
2124,4083
599,4376
599,4797
791,5315
1,5466
6189,81
6311,5997
599,7142
791,7518
599,5640
6189,8093
6189,7249
8948,8949
587,9301
599,9811
599,10219
599,10335
599,4099
599,10773
587,10892
599,10974
1674,11104
587,11143
11236,2494
599,11266
610,4592
1,11768
599,11805
287,11823
587,9813
599,12278
599,712
12499,466
599,914
599,13011
791,13018
587,13168
791,13215
599,13535
791,13600
599,13670
599,13889
599,7557
1,14195
599,2592
633,14319
587,14517
599,14843
599,15162
15163,225
587,15342
14133,8949
587,7924
13885,16153
599,3489
599,16789
16940,192
14930,16328
1373,17072
599,979
2302,7758
599,17405
572,7921
599,17751
599,18033
791,2203
18471,2145
587,5983
599,898
18936,2796
599,19086
599,19439
791,19458
791,19526
19529,6375
19983,19984
20045,8495
599,859
1,6386
587,18447
599,20588
587,2707
1,7776
791,20830
599,20859
599,14195
599,21271
13152,6
633,48
1674,349
1,21476
599,21627
7144,192
3105,10982
599,21929
599,21937
599,12952
12,12500
633,22206
599,0
114,192
791,22373
599,22651
1768,466
615,8297
599,22698
17991,192
587,22797
22875,6
2124,15634
599,48
599,7924
599,8154
791,23699
599,588
791,23801
1,14441
599,23881
791,24062
981,5997
587,24437
1,23270
633,914
2688,3034
791,25330
24344,250
25430,1098
138,14289
1,15492
7544,6
587,7759
1,11475
1674,25772
1,9811
599,19317
6589,6588
13425,192
633,25425
599,2599
26170,4575
26266,3279
599,10976
599,26641
599,6698
1,14011
14923,27130
572,2855
572,27377
599,4499
633,114
27427,48
633,6
26997,36
14342,3594
599,7303
587,6
599,20728
599,29018
29196,10367
3175,15527
599,29391
599,29443
633,4592
1,5602
599,26043
29816,29817
12215,2158
587,9758
599,10865
2302,13002
599,24076
572,30361
599,18325
287,30827
599,8310
30859,10043
587,6546
26378,1079
599,14704
1,351
599,27195
6189,21052
1,9738
599,27994
31282,2740
599,29518
587,31478
14360,565
599,30273
1,31631
599,31753
22248,21485
587,24850
633,4546
633,21422
599,7695
1,17051
599,32510
587,32764
572,32954
1,12182
599,460
599,4767
6189,36
599,33552
287,22255
587,33959
599,33448
599,155
34119,5997
599,20169
587,17131
26170,27938
599,34654
1,4729
26170,1901
599,28968
599,6421
599,565
599,12658
9098,1374
138,977
599,25764
138,114
599,9422
572,12251
1901,192
791,36223
599,36701
36759,1953
18162,5997
599,37000
791,37031
15963,17970
791,37056
599,37108
633,4242
791,37127
599,17696
599,80
599,37313
1,37353
599,18704
37707,2307
599,31422
2124,611
587,48
1,3004
587,5997
599,30778
599,38462
599,36
17145,6
2124,30991
257,38772
26170,1516
599,4871
287,6698
599,24723
1,13294
599,4888
587,27555
572,39218
572,22206
587,798
599,34320
9832,250
39975,7557
35554,2145
599,18820
633,192
2124,40304
587,35154
599,26396
456,38073
599,8174
599,33531
599,40754
599,36224
2124,12134
8948,10043
599,10176
587,38411
599,23075
2627,977
8438,819
599,19203
599,4038
2688,1098
572,6
1,40813
21663,2349
599,8091
33302,494
5359,192
2124,1134
18471,14319
599,25083
599,21137
42591,6335
18356,42599
1,6254
1,42856
587,12576
791,43016
599,17001
287,43094
21947,192
791,42506
599,28678
599,1673
287,2145
1,1958
599,4527
599,3782
1,494
1,3034
13231,299
599,43632
599,10529
1,12167
599,43754
599,16570
587,12103
599,43938
633,44036
17939,192
610,192
599,2195
6189,11955
36446,36445
44578,192
599,15050
599,23270
599,2223
44771,192
4004,1098
36446,4061
257,44927
791,8695
27427,4099
44999,1247
27150,11663
12,779
8354,10235
599,7452
572,1057
6189,331
599,45373
572,45463
287,15962
599,21000
39304,5637
599,15545
791,26037
3168,14195
6536,192
116,192
9023,250
12119,31509
15963,15962
599,43943
587,46418
7292,466
791,42193
791,1984
599,20192
32001,2307
587,46695
10785,5997
587,2810
599,46770
587,14500
599,46848
791,47052
26713,5997
31094,2494
23100,3273
599,21215
9266,1478
599,3455
6374,13294
617,192
587,24723
599,25868
1,36013
17145,192
599,28094
8061,351
2124,5228
599,5747
18471,15962
48361,10043
599,6405
791,15777
25430,90
599,6373
675,48517
599,26773
599,48692
587,24931
1,7220
1,5981
599,30205
48944,1894
599,34438
599,3675
599,250
12,3034
599,25063
599,38760
11712,49515
599,49537
572,1247
587,30546
599,3757
791,3436
6189,49827
599,849
791,49873
599,36892
599,42965
1,598
599,30764
599,18318
13338,192
12406,192
587,49078
599,27904
8122,779
50383,2063
599,37412
599,14011
1,46152
599,7057
1,8952
599,33794
599,26750
572,192
981,466
587,17001
287,18014
2124,18184
599,15022
599,23184
617,1247
599,4170
14133,225
599,3689
599,21112
599,21756
615,3983
599,13091
599,28657
10785,3034
28928,494
587,10188
599,33677
52180,18362
25057,52203
791,52209
587,4203
1,52388
599,12167
572,20539
2152,712
3168,52628
599,10802
9435,192
599,24942
1,299
19775,42599
2403,10043
599,8756
599,25018
599,38881
599,3279
599,10882
599,11781
12,14441
599,27413
15152,192
2124,4919
6536,6
599,22622
2152,74
19775,133
1,3334
599,27058
20172,9492
45465,12201
39975,31710
10466,5997
2083,2708
1,44477
615,466
599,53976
287,16724
599,12201
22370,192
6536,48
599,11769
1,1098
587,22913
18471,10971
599,54478
27427,351
599,11345
599,39352
587,7642
599,19587
3970,9021
587,41501
2124,54735
8204,23212
599,2425
791,47978
1,54269
599,2492
587,4301
599,13627
1,4242
587,37193
587,6045
29731,133
1,602
599,17834
12215,18962
599,11768
599,4482
599,5830
791,55973
599,19250
599,32240
599,5675
24024,192
2124,3880
599,4074
19024,5997
587,35079
599,8910
599,3423
10785,11769
599,18087
633,8516
2152,10270
791,10027
599,13461
3451,21422
6536,21422
599,44146
6468,10641
23100,1254
12406,779
599,9084
599,2780
572,39626
1,5200
599,25262
1768,2796
599,24916
599,32415
587,23726
791,33732
3669,4546
456,57368
587,29359
3152,48
599,54166
599,27825
46597,4729
599,7543
599,4094
2152,815
599,649
599,19487
6189,7006
18471,779
587,25593
572,31615
599,50876
599,19284
599,8745
599,5981
791,47966
599,26961
1,58308
587,15026
599,36285
1674,11663
791,20942
587,28628
287,17970
1,2285
633,17051
599,29810
599,19309
1674,36968
287,40931
7115,23212
791,21208
981,8297
18162,52405
599,38789
59148,1247
587,14963
572,38660
791,7637
599,4388
15950,192
287,39708
18162,26669
587,19041
599,18911
604,683
287,615
599,59719
599,1079
8193,779
36446,58337
20140,192
1,8910
17989,26563
791,7611
15963,14319
1,4099
633,1668
13057,13350
1674,21137
48409,48403
599,38009
791,29493
791,12575
633,779
10785,4203
11267,40692
1,2643
587,60494
23061,192
1,16794
599,41748
599,22056
59243,1674
599,17301
599,25509
599,37542
287,38702
791,30754
1674,10523
599,26845
25678,1802
599,1916
587,16570
599,13280
5585,6431
61379,80
2124,33422
5585,8459
599,10188
1,41748
1373,12575
599,40345
2124,61641
599,6882
1,33312
791,4497
287,24811
599,876
15963,2145
1768,5997
791,50902
26170,62237
62273,29474
56592,23261
13490,192
7292,49827
3669,6
15963,192
599,2707
6221,8949
599,299
791,8604
599,6596
599,11110
587,62818
599,38062
23100,5228
1,8495
599,21909
10553,11475
599,47026
2124,12612
26185,192
599,26563
572,10117
19024,466
599,4202
