agentinvolvedwithitem_inv_1,agentinvolvedwithitem_inv_2
2339,1512
2867,2868
2940,2941
2940,3033
3363,1369
3441,1136
3499,3500
3756,1978
3968,3969
3363,4653
2940,6172
2940,6435
6516,6517
6541,6542
7097,7098
2670,4936
7714,1136
3363,7859
2748,4158
8146,1978
2940,8219
2748,8264
8596,4936
8772,1445
8826,7098
8922,8923
9369,4936
3363,9490
10298,1136
10307,10308
10363,10364
2940,10526
10774,4936
2684,1978
3363,11239
11285,11286
11630,2868
12364,1136
4839,4838
2940,13320
2940,13526
2940,14121
3363,14575
2940,7328
11957,6517
2227,10364
2748,13526
2940,15867
3363,2277
2940,16900
17530,1978
3363,4394
17687,3739
18066,18067
2940,18156
18165,6302
2748,2643
2940,14878
3363,3346
2940,19169
19237,1445
19460,1978
19482,4936
19537,3739
19590,19591
19922,7098
2940,20046
20185,7098
20394,1445
19608,4838
3363,20880
18551,1978
21373,1445
2940,6826
2940,21732
21737,1136
2227,21747
21832,1136
2339,20168
2748,3346
22953,1978
3363,8477
23446,1445
6727,10842
23626,1136
21142,1136
17687,4838
10774,6174
3363,24645
24868,1978
2940,83
3363,4285
2339,572
25637,18067
2940,2319
151,25898
10774,1364
2940,26197
24283,26358
2940,26972
2940,7364
2748,6302
2940,27462
15819,1445
2940,27595
2815,7635
24283,1364
2940,27439
2940,18830
2940,23256
14331,14330
2940,17916
3363,1621
28273,3739
2940,28499
3363,4639
2940,26877
2940,2737
2940,1108
2940,7143
23132,1136
24080,29077
15272,1136
2940,29430
29341,18067
29477,8923
29517,2616
2940,27617
2940,4006
7474,6517
2940,29510
30390,1978
30435,30436
2227,30447
30567,1978
30630,4936
30632,6517
2940,13681
17192,1978
30994,3739
3363,5677
2670,6174
2339,26978
19773,6174
2940,21850
2940,4686
31815,6174
2617,1364
2940,32182
2940,32188
16316,16857
19773,4936
32351,31881
10843,32382
2940,32505
2940,29150
32711,3739
2320,2319
29412,7900
3363,6726
3968,2205
2940,33229
24817,525
2940,27127
33457,1136
2748,20643
2940,33955
7474,1136
32144,34061
2940,15756
2748,25245
3363,34276
30526,554
3363,17473
2940,34551
3363,34872
2940,35233
28755,2616
3363,35377
2748,3969
35966,1136
36171,1136
2815,4330
10843,1978
2748,6248
4484,1364
24817,31023
36663,1136
36818,3739
37039,37040
3968,37134
2748,4330
3363,30823
20394,18067
37642,18067
22384,11286
35937,20702
2940,38043
2940,38204
6727,18421
2940,16801
2748,38285
38361,1136
2748,28499
14021,1136
2748,7143
2940,30
38806,16857
38945,1136
3363,38960
2940,29361
2748,1136
17200,985
2617,2616
2748,39114
2940,3631
2940,14674
39176,1136
2940,39294
16468,1136
2748,39454
32671,1136
39606,1978
37373,14051
39712,7098
36396,1445
2940,23108
3363,2205
40259,1136
6727,40392
29517,6174
25050,6517
2940,9295
2748,525
2748,18294
2940,35040
23462,1136
40962,3338
41482,3346
29572,7098
41721,1136
9557,2616
4937,1364
35956,1136
41779,1978
42100,42101
8596,1364
2940,2747
18004,1978
42439,1136
2940,32732
2940,35851
42514,4838
2940,42531
3363,39320
15126,1369
2940,42826
3363,42898
42958,1136
42982,7098
2940,16226
11962,43321
40236,3095
3363,43762
2940,3969
2940,43815
28023,1978
43852,1978
44066,7098
2940,17554
2339,1621
2940,37256
37572,6517
29023,3739
44485,1445
2748,1774
2940,4343
26506,3006
14903,6635
2940,44695
2940,44711
2748,21850
44729,1978
2940,44825
10537,20892
2940,5677
45332,3739
42062,1978
45444,7900
2940,33729
2940,45641
6175,2616
2940,14785
2940,45848
2940,45983
3363,1271
2940,46314
2940,30852
2940,46352
2940,4285
44485,6517
2940,11199
45741,11286
14331,4280
4484,6174
2940,47277
2940,11738
47292,1136
2940,5947
47686,47687
42892,1136
3363,31023
2815,10778
2940,41480
35937,35233
2940,47869
30630,1364
34169,2868
2940,47998
2940,41792
2940,740
2748,48426
22729,1138
2940,798
39366,3346
2940,35138
2940,48614
2940,48638
2940,48640
3968,15890
48877,7098
49026,23289
2940,40976
2940,2868
6727,7635
151,49232
49460,1445
3566,11286
33608,1978
49609,7098
49617,1136
2940,29580
2748,8812
37987,1136
2940,1434
2940,49829
49943,18067
2748,4394
50112,1136
6727,6726
3363,3621
43849,3739
39427,4838
47686,28499
3363,25245
2940,8150
2940,34750
2788,1136
2940,33590
14903,2205
2748,7328
3363,45117
9411,752
