agriculturalproductcontainchem1_1,agriculturalproductcontainchem1_2
969,970
4406,4407
4796,4407
5088,5089
109,5467
969,6290
7926,7927
8844,7634
10709,4407
11008,3620
969,7927
1522,6354
11008,244
12208,17187
969,17598
20151,4407
261,260
1522,260
969,3620
9033,244
16963,9219
1522,8205
25258,3303
9033,26911
27441,7927
27623,3620
29875,7927
12208,12622
31728,1146
6832,6337
33151,4407
9033,24644
1522,24644
721,5502
6832,4407
31728,3349
6240,36654
12208,37114
4412,11383
12208,2885
9033,14502
6832,1353
969,12847
1522,2374
3541,4128
721,244
39948,3433
40129,4407
9033,3620
16001,1956
22354,3620
4412,11635
1522,7727
969,41811
17795,4407
1522,3620
16001,14987
16963,7126
12208,7602
1522,15795
9033,45127
6832,41353
6832,5467
17795,7927
6240,6239
33504,4407
1522,4407
1522,1664
39948,28684
22354,7634
21780,3620
45668,3620
721,3620
3541,3620
4406,3620
20151,1956
109,9211
12208,3620
35977,41439
25258,7727
12208,7634
4412,1664
969,56900
721,4407
31728,4407
58192,4407
969,37114
46884,15795
110,3620
16001,3620
22220,4407
21780,4407
9033,7927
6832,16077
9033,17187
6832,15795
12208,12847
16963,3339
109,2374
969,57203
969,7601
9033,3564
969,28534
12208,39389
12208,4407
12208,63872
6832,33064
35977,4407
35977,14987
8844,7121
3541,12622
31708,7927
3541,7121
9033,6078
20151,7927
1332,14987
9033,7634
40676,3339
110,1956
4035,4407
7926,445
12208,14987
109,15795
109,13546
969,17187
1522,5467
16001,4407
110,4407
12208,7121
50342,4407
1522,3243
1522,7927
16849,3620
9033,14987
50342,5467
12208,24644
27321,7927
969,56783
1522,1956
4796,9783
261,5467
969,12682
969,3433
1522,244
969,4128
3541,4407
6832,8205
3541,7634
261,4407
12208,4128
969,70875
39948,2375
4412,7927
6832,5089
109,4407
969,7634
9033,7124
1522,33064
9033,14041
62363,3620
31728,13799
12208,51887
68246,7121
6832,14834
14980,5467
969,1664
9033,6337
109,42197
12208,244
6832,47863
109,8205
45811,4407
261,15795
969,244
969,73626
20609,3620
1522,1521
1332,4407
6832,6354
18745,7927
11008,7927
74575,3620
6832,26350
39948,7306
9033,3433
6832,260
1522,65086
18745,4407
62363,7634
1522,3433
50342,8205
22354,4407
1522,7306
4669,3620
9033,4407
39948,7927
69096,4128
109,922
8844,3620
50342,9783
35977,21603
9033,37114
9033,58950
1522,17187
3541,244
43831,4407
