agriculturalproductcutintogeom_1,agriculturalproductcutintogeom_2
1146,5715
1013,6369
1236,6455
2834,6669
1236,7138
7333,7334
7395,3965
7562,6455
2834,6369
10754,10755
12759,3965
13858,13859
4128,6669
15099,5715
3288,3965
16543,5715
13130,3965
9783,5715
8744,5715
1972,6369
17704,3965
2423,20036
508,6369
1353,13859
1236,12161
3979,5715
8314,3965
1013,3965
1236,24170
7333,4570
21603,12561
1012,3965
1823,5715
8444,3965
2834,3965
21603,3965
11383,27440
3292,5715
3150,6369
14813,3965
1236,26659
16273,5715
1413,5715
4128,26659
7126,6369
10754,14033
9515,5715
1972,5715
7346,37545
11660,26659
3150,6669
7126,3965
3349,26659
27066,3965
4128,39908
3349,5715
29126,12561
7333,40248
5437,3965
41573,26659
7562,41993
16543,3965
1236,43811
3291,5715
1236,3965
1972,3965
9515,13859
445,3965
3150,46271
1236,6669
16543,6669
4128,6369
1236,12561
2834,5715
29126,12161
13618,3965
1823,3965
11180,6669
3349,3965
808,3965
10829,6669
508,27440
1982,26659
1013,52513
1236,20036
9515,6369
7126,5715
41573,14033
7333,4225
3339,3965
15099,3965
4128,12161
508,5715
21595,12161
3150,5715
1982,6369
12093,3965
56520,3965
7126,13859
4128,44665
1236,32883
508,18076
3291,46271
4128,12561
10754,26659
3150,51750
29126,15146
3291,14033
13858,6369
28534,5715
2011,3965
13858,3965
18988,3965
1236,13859
29688,6369
8744,3965
1236,14033
7562,12161
508,12161
7562,12561
7687,3965
1236,7345
3979,20036
508,3965
3292,3965
15896,3965
65027,3965
1413,6369
15099,26659
2765,5715
29126,18884
8487,3965
3150,39255
1982,6669
7333,67722
7562,44665
1236,67914
1146,3965
3278,3965
8961,5715
9783,3965
3291,6369
16259,46271
29919,5715
1236,33563
7126,6669
9783,20036
34516,6369
10618,5715
7562,47722
3291,6669
1236,13649
4260,5715
8314,5715
29126,51750
1236,1235
2057,6369
27066,5715
1013,5715
9515,71302
7562,6669
1013,15146
10754,32883
41278,3965
2057,3965
9515,3965
6347,2266
4128,14033
16273,3965
50561,3965
29688,12161
7333,19605
18577,5715
1956,3965
3291,3965
1236,46864
11660,3965
1146,6369
29126,6369
7562,3965
263,20036
7333,14033
1013,20036
3979,3965
4128,33278
39541,3965
2765,2266
7333,26659
3278,5715
263,3965
13198,3965
1236,44176
1236,10755
4128,71738
7562,6369
29632,3965
1972,13859
7562,2611
263,6669
13198,6669
4260,3965
13198,14033
25986,2266
3150,26659
1236,6369
29126,20036
1236,27440
2374,3965
9515,9590
7333,56057
7346,7345
4128,7138
445,6669
508,12561
7562,27440
445,13859
508,6669
11161,5715
5502,3965
19217,3965
3150,3965
2765,3965
1972,6669
4128,27440
11660,5715
16077,5715
6354,2266
10618,3965
7562,14033
6239,3965
3150,20036
42399,3965
41573,44176
7333,21325
