agriculturalproductgrowninland_1,agriculturalproductgrowninland_2
1139,1140
3303,3304
3303,1245
5502,5503
244,6056
3303,6246
1023,6664
3620,9664
3303,9694
2423,9664
244,7089
9617,1245
9617,9616
3303,20124
3303,20822
3303,3327
1139,22324
1139,20124
3303,22815
12363,1140
1139,30097
3269,6056
3150,1140
33291,33292
1139,34317
3269,35265
3303,12169
5502,16439
3303,36323
5502,37792
3303,38137
4407,6664
1139,33292
244,3327
3243,7089
9617,43182
3303,39517
9617,47164
9617,11508
9617,23009
1139,1245
9617,49476
11165,6056
1139,900
3303,7089
9617,46619
7978,6664
9617,59030
1013,7089
3269,59417
9617,20124
9617,46734
9617,16439
1139,60726
1139,16439
3303,900
9617,6056
9617,56962
3303,16478
3303,9616
7978,54450
4260,6664
1139,62827
9617,20891
3303,46619
3303,6056
3303,6664
1023,54450
3303,60726
1139,61909
3303,47164
1139,39517
3303,1334
3620,33292
9617,66362
3303,66579
9617,1140
1139,9694
19675,16439
11165,16439
1139,1334
3303,33292
5502,1334
48165,6056
1139,68485
33291,9664
1139,69675
1139,33814
3269,69854
3303,23009
1139,36733
9617,31899
3303,54450
1139,37792
5502,7089
28534,6664
5502,3327
1139,5503
1139,64587
3303,22283
3303,69699
1139,47937
1139,72879
1139,16425
3303,1140
3303,23546
1139,73121
3150,6664
7978,1334
61586,6664
1139,66158
3303,11104
9617,1334
3303,62827
48165,16439
1139,50465
9617,3304
3303,16425
1139,74518
3269,3327
3303,64131
1139,32506
9617,6246
3303,75048
11165,23009
3303,16439
3303,58824
1139,7089
9617,900
3269,47164
5502,46619
1139,73826
3243,16439
3303,67397
1012,7089
28534,5503
3303,75461
3269,73116
3303,74340
3620,7089
