agriculturalproductincludingag_1,agriculturalproductincludingag_2
810,809
2947,2948
2958,810
3564,508
2947,3847
3269,4390
5152,5153
2375,6287
2375,6337
6353,6354
6079,7124
3269,3268
2375,5152
2375,6079
7601,7602
2375,8205
3303,3349
3269,1012
2375,10406
2947,2423
2947,11043
3269,7124
2375,11675
810,12984
2375,14246
14813,1353
14833,14834
15795,9211
15990,6354
2375,3433
7601,9086
2947,7124
6019,1301
2375,17296
2375,17382
2375,17768
3269,1413
5502,7987
2375,19221
19675,2423
810,20386
7126,6019
3269,244
3269,3076
3269,21455
2375,22570
2375,260
2375,24269
2375,7124
2375,24036
9617,7126
2375,25392
5152,25817
9086,14834
2375,26350
3269,26989
3269,1146
2375,21174
21174,1353
1358,1353
3269,13815
9086,28476
6079,14041
2375,11043
2375,15605
26989,4390
2375,3076
12326,3076
27936,14041
9086,14526
32783,32784
2900,6810
2375,31884
7601,4390
3303,11043
3269,2885
6079,33961
34275,1353
6079,2423
3269,14041
2947,35059
29109,810
2375,2848
3269,33561
32783,3268
2375,28244
810,36539
2947,4872
2375,36999
16600,810
2375,37340
3269,31884
3269,38175
2900,16874
10406,6354
38905,14041
39102,2490
5467,5553
2375,39575
3269,11383
2375,5089
7927,6337
2947,40516
3269,2947
3269,23709
2375,14041
2375,5467
2947,41234
2900,41428
3269,41439
2375,4407
3269,17884
2947,17884
3269,809
3269,9783
38905,7124
3269,2423
2375,6078
32783,43910
14526,810
12326,26350
20771,2423
38905,3076
27936,2423
9086,4390
2375,24644
2375,38175
27334,4733
7601,14526
1664,1353
16600,4390
3303,6354
2375,1353
28244,2490
16600,33561
2375,2885
2375,48999
3269,36539
34275,810
27334,1353
3269,11043
9086,25376
10406,49686
2900,12441
2375,244
3269,43910
5152,3847
2375,26560
9086,20386
2958,9086
3303,7124
2375,13618
2375,5437
810,14834
2375,44682
810,25376
38905,1353
2375,25817
7601,508
10406,4872
3269,14834
7601,37878
810,21455
6019,1353
2375,33622
3269,54410
3269,54568
2375,16543
810,54629
2375,14834
14833,33622
3269,54904
2375,25376
2375,16600
2375,55319
2375,11383
7601,810
9086,43759
2375,41047
2375,7126
3269,56032
27334,7126
2375,2097
2375,41439
2375,19217
3269,3150
32783,1013
3269,37340
3269,15896
2375,57476
57659,2423
2375,12363
26989,33561
2375,58200
1217,6810
3269,58348
12326,3339
3269,5152
58904,7124
3269,55923
3269,59651
55396,16972
2900,7126
3303,14041
2375,2423
2900,789
2375,28534
6079,13494
3269,60792
2375,9515
6019,14813
32783,244
2375,7927
3269,9211
2375,15795
3269,50736
2375,45023
2375,62077
27936,16972
1664,6337
810,43759
36468,6078
2375,13858
36083,3076
3269,63259
6079,41234
2375,2947
3269,24036
810,17075
2375,63645
3269,33961
2375,34516
9086,7602
20771,24036
2947,6354
64445,810
5152,7124
32783,3620
28684,263
12326,508
5152,14041
3303,1013
3269,24644
2375,63259
2375,1146
3269,49686
5152,2490
2375,2374
810,7781
32783,66730
3269,16273
6337,1353
2375,508
16600,7602
36468,13494
2375,4128
32783,2885
3269,25376
16600,14834
2375,9211
32783,2423
3269,55170
7601,16600
4128,12847
2375,1664
20771,14041
2375,37878
3269,26981
2375,13198
3269,25817
2375,27862
5152,24036
2947,14041
5152,11043
2947,24036
3269,55410
28244,7124
3269,13494
3269,26560
2375,1413
3269,11660
2375,6207
16600,64532
5152,2423
3303,33561
2375,69711
7601,38136
2375,55270
3269,39653
32783,31884
2375,52502
3269,17296
2375,65132
3269,18121
32783,16972
9086,810
3269,70516
3303,3268
9086,33561
2375,7562
9086,17204
2375,34704
6079,24036
34275,263
55270,6078
2375,41428
6079,2948
2375,1301
2900,12363
2900,871
3269,15605
2375,11635
2375,7601
28534,14834
28244,1013
9086,64532
2375,8126
5152,13494
3269,2834
2375,12441
2375,4733
2375,16972
810,47863
810,9576
3303,24036
810,38666
28684,7124
2375,3339
2375,1013
2947,6078
810,33561
2375,56484
7927,1353
6079,17884
2375,6019
2375,23280
2375,1982
3269,68094
12326,1353
6353,7124
2375,13286
9086,38666
28684,1353
3269,3620
2947,34480
2375,47863
2375,3349
16600,2423
2375,263
2947,13494
7601,64532
2375,47395
31076,810
6079,6078
28534,6354
2947,25817
34275,14041
10406,15605
2947,5153
5152,33961
39575,810
2375,9086
3303,43910
49112,508
1358,5089
2375,2490
2375,26981
2375,922
32783,73491
2375,38509
2375,1972
7601,38666
2375,3564
2375,14813
2375,57544
9086,74756
20771,13494
3269,47863
3269,6354
25003,1353
10406,16972
2375,9279
810,59713
28244,13494
2375,3620
810,2423
810,17204
2375,2693
55270,7124
1217,7126
2375,3268
2375,74134
8609,7124
2900,1358
2375,5153
2375,42197
2375,13494
2375,6354
2375,16874
810,4390
2375,3847
38905,13815
3269,65086
28684,27862
32783,14041
9086,508
2375,43910
7601,61157
3269,16972
2375,7602
2375,34275
39102,14041
2848,7987
2375,12093
41428,1972
2375,14987
32783,13815
16600,38666
8205,9211
2375,26263
3269,3847
2947,2490
2947,33961
1023,9086
2375,63208
28534,24036
3269,70687
3269,35394
2375,28476
