agriculturalproductincludingag1_1,agriculturalproductincludingag1_2
809,810
2374,2375
2693,2375
3268,3269
3433,2375
1301,6019
6078,6079
6207,2375
7781,810
8126,2375
7124,8609
9086,2958
9211,3269
9576,810
2490,5152
1353,12326
12363,2375
11660,3269
12847,4128
6354,10406
6354,2947
14834,16600
14813,2375
244,2375
16972,3269
17884,3269
12093,2375
922,2375
508,9086
10406,2375
13494,20771
508,2375
7124,6079
2885,3269
7126,2900
23280,2375
7602,9086
14834,14833
24036,20771
1413,2375
2947,3269
4407,2375
2097,2375
26560,3269
14987,2375
26981,3269
3847,2375
17204,9086
14041,27936
2490,28244
27862,2375
24036,28534
13198,2375
508,12326
2848,2375
9211,8205
13494,3269
25817,2947
26981,2375
7126,9617
33561,3303
14526,9086
24644,3269
20386,9086
13618,2375
35394,3269
2423,2375
3076,36083
13494,36468
2885,2375
1013,28244
37878,2375
33561,3269
3349,3303
38509,2375
39653,3269
13286,2375
17884,6079
24036,5152
14041,3269
1353,21174
11383,2375
9211,15795
2423,2947
13494,2375
3150,3269
7124,3303
12441,2900
6078,2947
25376,2375
33961,5152
26263,2375
42197,2375
26989,3269
14246,2375
14834,9086
4390,16600
34704,2375
9783,3269
43759,9086
44682,2375
45023,2375
3847,3269
6354,3269
43910,32783
17296,2375
41234,6079
6079,2375
27862,28684
37878,7601
7126,2375
21455,3269
19221,2375
33961,2947
1353,6019
3620,3269
15605,3269
47863,810
19217,2375
9279,2375
1013,32783
6810,1217
6354,15990
7126,1217
17382,2375
4872,10406
244,3269
6354,2375
7602,2375
22570,2375
17296,3269
38666,16600
6354,28534
24036,3269
12363,2900
2423,3269
34480,2947
50736,3269
6078,2375
16972,27936
17884,2947
33622,14833
3339,2375
1353,6337
28476,9086
52502,2375
14041,5152
2885,32783
38666,7601
7124,38905
24036,6079
4733,2375
11043,3303
2490,2947
810,31076
7124,28684
55270,2375
55410,3269
26560,2375
55923,3269
6078,55270
1353,14813
24036,2947
1353,27334
43759,810
24644,2375
13494,2947
6337,1664
13494,5152
25392,2375
3847,2947
57544,2375
7602,16600
2423,6079
18121,3269
37340,2375
2490,39102
5089,1358
14834,810
3620,2375
38175,2375
6810,2900
6337,2375
11043,3269
58200,2375
59713,810
11675,2375
1982,2375
16972,2375
7124,2947
2834,3269
13815,32783
2423,27936
39575,2375
3339,12326
16972,55396
810,16600
13815,3269
1353,38905
56032,3269
61157,7601
9086,2375
1301,2375
810,29109
1013,2375
17768,2375
260,2375
7124,3269
38666,810
3349,2375
59651,3269
14041,20771
17204,810
6019,7126
14041,32783
810,2958
14041,3303
11043,2375
1358,2900
31884,32783
34275,2375
25817,3269
63208,2375
1146,2375
24036,2375
21174,2375
263,2375
13858,2375
4390,3269
64532,7601
7124,28244
54904,3269
41234,2947
65086,3269
49686,10406
65132,2375
13494,28244
14041,38905
1353,1358
5153,5152
810,64445
810,34275
28534,2375
34516,2375
7562,2375
11383,3269
3847,5152
11635,2375
41428,2900
7987,2848
2947,2375
5153,2947
1013,3303
5152,3269
11043,2947
3268,3303
25376,3269
36539,3269
64532,9086
36539,810
7124,55270
2423,20771
68094,3269
9086,7601
1353,34275
40516,2947
5152,2375
6354,6353
6078,36468
33961,6079
1353,28684
33561,26989
63259,2375
25817,2375
6354,3303
33622,2375
810,7601
3564,2375
28244,2375
3076,3269
14041,2947
41047,2375
47395,2375
2423,5152
1972,41428
41439,3269
4390,7601
32784,32783
3268,2375
70687,3269
48999,2375
17075,810
26350,12326
14813,6019
31884,2375
38136,7601
28476,2375
4872,2947
809,3269
9515,2375
43910,3269
54568,3269
7126,27334
7124,5152
21455,810
25817,5152
508,3564
7124,6353
810,39575
1664,2375
3076,38905
16543,2375
4390,810
63259,3269
7124,58904
14834,28534
16600,2375
2490,2375
25376,810
263,34275
1353,25003
57476,2375
15795,2375
2948,2947
263,28684
16874,2900
58348,3269
69711,2375
43910,2375
14041,34275
33961,3269
1972,2375
15605,2375
4733,27334
73491,32783
5437,2375
55170,3269
35059,2947
2423,57659
810,9086
12984,810
60792,3269
1353,2375
14041,2375
41439,2375
12441,2375
64532,16600
41428,2375
2423,19675
74134,2375
14834,3269
14041,6079
5467,2375
7927,2375
55319,2375
508,7601
13494,6079
4390,9086
14834,2375
6337,7927
38666,9086
7602,7601
66730,32783
24269,2375
508,49112
2423,810
16972,32783
9086,1023
1012,3269
244,32783
74756,9086
23709,3269
33561,9086
7124,2375
16972,10406
70516,3269
11043,5152
5553,5467
20386,810
54629,810
15896,3269
49686,3269
1353,1664
3268,32783
47863,3269
5153,2375
63645,2375
810,14526
2423,32783
38175,3269
47863,2375
4390,26989
24036,3303
14041,39102
1353,7927
9211,2375
15605,10406
8205,2375
2948,6079
13815,38905
25376,9086
33561,810
37340,3269
7987,5502
3076,12326
16874,2375
789,2900
14526,7601
33561,16600
26350,2375
5089,2375
36999,2375
6287,2375
3620,32783
62077,2375
6019,2375
3076,2375
2423,16600
43910,3303
54410,3269
16600,7601
16273,3269
7601,2375
1146,3269
4128,2375
56484,2375
871,2900
1413,3269
31884,3269
