agriculturalproducttoattractin1_1,agriculturalproducttoattractin1_2
1300,1301
4803,1139
2922,7727
27,10862
3696,11165
17745,3303
5318,3303
996,1013
12501,3303
21846,8858
22490,1139
27,5502
16755,3303
6864,3303
1793,1139
27,31076
386,13815
5290,13799
7669,3303
6864,33968
16019,38154
6864,7987
6498,3303
27,8858
41696,1139
2462,3269
5290,1023
27,1146
11025,6239
4829,8858
27,4188
6127,3076
19993,8858
994,1139
29492,3303
2774,39230
3696,1139
996,3303
47648,1139
22845,2423
996,1139
6127,8858
1300,7727
31687,1146
31687,1139
886,3076
27,7727
51050,1139
35095,8858
18505,1139
2916,1139
51999,1139
52056,1139
6127,1139
8298,39230
23598,39230
27,33968
2998,7727
1300,2423
886,3303
386,28534
27,1139
42636,1301
6127,3303
5486,49686
60397,8858
7885,1139
32119,1139
5663,1139
27,3269
1029,3303
2766,1139
21418,1146
2462,7727
23390,1139
6127,39230
15870,33968
3696,3303
35620,3150
64108,1139
32119,3303
35620,6239
9229,3303
9041,4188
2916,33968
5486,32783
6864,7727
6864,2423
8612,39230
6127,6239
1788,6239
1300,3303
7669,3269
66753,1139
1159,3303
5290,7978
386,33968
1029,1139
5290,7727
7153,8858
7669,1139
5256,3303
995,39230
2916,5502
1300,1139
17940,1139
5290,1139
886,7727
2461,3303
70230,1139
27,9086
7923,8858
386,11165
27,2423
54978,1139
27,3303
6864,1139
5486,3269
2462,11165
6127,7221
4979,4188
17940,8858
1159,7727
6127,11165
386,8858
1159,6239
17745,6239
27,11165
14798,39230
886,1353
27,7221
17837,8858
6750,1139
53692,1139
8612,6239
5290,5502
5290,3303
6127,33968
386,7124
2766,3303
29492,1139
386,2423
2462,3303
386,39230
5486,1139
6127,7727
27,55007
996,7221
5486,3303
2774,6239
27,1023
2922,3303
886,1139
3696,8858
9041,8858
996,6239
27,13815
996,7727
886,7221
72979,8858
3696,7727
16060,3303
386,3303
996,3076
6615,6239
27,6239
17423,1139
5290,33968
6750,13205
886,8126
2916,3303
