animaleatvegetable_inv_1,animaleatvegetable_inv_2
260,1152
260,808
5426,5427
7727,7728
8126,200
1012,222
5553,9977
10050,200
2423,10873
201,3277
12330,200
12410,200
13494,825
13748,200
14124,200
2423,871
14693,200
2423,2365
15021,200
4632,2365
15480,200
17160,200
5553,200
12863,200
1012,200
9232,200
260,6809
12093,1040
260,9859
20710,200
22282,200
4872,3277
14041,2900
7124,25199
5553,25842
26079,200
2423,2900
12330,1040
7727,5427
28697,200
27862,200
29530,200
30523,200
12093,1610
5553,2328
1013,1040
32114,200
33500,33501
260,27093
15200,200
34480,200
29997,200
12330,5427
5553,2362
260,25842
36190,200
3150,5427
2423,6810
15485,3277
23846,200
18893,3277
20060,200
45533,200
6983,200
45724,200
43652,200
47868,200
9783,3730
38774,38773
7124,2415
29376,200
51084,200
21624,200
7124,44452
3291,200
26079,5427
5553,1040
7124,54940
55007,1358
55093,200
7124,55126
55323,200
1498,200
1012,5427
7124,200
9211,56137
56151,200
15605,200
9783,6746
26079,1152
23824,200
260,57132
57347,200
7124,2168
35712,200
5553,56137
5553,7009
260,52499
34776,200
2423,12363
9783,6810
5553,33501
3150,20564
47307,200
60790,200
2423,9922
27091,200
61386,200
47290,200
260,3277
260,62508
62672,200
16273,200
5553,6809
56238,200
201,200
260,2362
2423,2442
36417,200
1013,200
32075,200
64793,200
8126,3277
1012,33501
260,5427
3291,1040
260,33731
7124,5777
4573,5427
260,66015
15605,4694
5553,5427
40398,200
1012,2328
34516,200
15485,5427
60290,200
12093,200
5553,63000
17292,5427
47290,5427
1013,3277
7124,30339
2423,12271
33370,200
29688,3277
15896,200
8139,107
5426,200
62955,200
5553,808
7987,200
1413,55946
5553,7728
9211,200
54519,200
70800,200
38972,200
71133,200
5553,52140
7124,52923
71232,1040
2012,200
28716,200
9211,5427
10999,200
2423,38773
7124,71836
9958,1336
55170,1927
52713,200
7124,3277
13494,6810
3150,1040
43759,824
49120,200
56911,200
7124,61751
2423,1217
9783,2328
73038,5427
60663,200
7124,1040
15485,200
27597,200
27484,200
52951,200
2423,200
14328,200
5553,52499
30563,200
9783,9977
31406,200
15550,3277
260,200
43955,200
73275,200
6354,7962
2423,824
3278,3277
38774,200
2423,12441
68343,200
5818,5427
39474,200
5553,1152
9211,3277
50225,50224
11660,200
1823,200
75056,200
71244,200
2423,1927
5818,200
33358,200
7124,11645
2423,2415
260,33501
7494,200
57570,200
7124,10110
23301,3277
260,17519
18893,200
55007,2677
16259,200
2423,107
9783,29472
52618,5427
260,2168
