animalsuchasfish_inv_1,animalsuchasfish_inv_2
1406,2735
3183,2735
3486,3487
1406,4535
6219,6220
3486,4306
6519,6958
7811,6220
1406,9223
577,6220
6519,2167
8941,14101
1406,7064
3486,108
808,16578
1406,17179
18012,18013
1406,18402
18012,19679
19703,4441
808,20281
577,20928
1152,4794
577,22980
1406,19006
8941,23662
4794,2882
577,24333
22059,22058
808,4794
808,10374
577,23148
10992,16578
577,28252
28757,4794
8941,27287
30176,108
1406,5570
3486,10991
29701,108
20127,31120
8941,31388
1152,26154
577,31929
577,15638
3486,32550
808,26154
34297,10374
577,34626
10992,26154
577,36676
1406,17224
9135,2882
37744,30263
38131,7064
3486,30263
19703,3158
40615,6220
6519,108
40615,1007
2011,2882
41353,26154
26327,12179
22162,108
3486,24160
30263,2882
32853,8841
1406,39694
43858,24333
3486,34229
3486,8501
17207,8501
6519,10265
1152,8917
1406,45282
1406,1007
1406,45925
577,45974
1406,46637
577,38555
577,46945
11377,10991
715,3158
1406,47972
577,30252
20127,24160
36652,48608
1406,38555
36964,784
49915,24862
1152,8501
42283,108
1152,784
577,17224
8905,2882
1406,51262
30814,10374
35008,22162
8905,51725
35008,16578
20127,30263
577,52944
35008,26154
1406,16578
20127,19700
16964,6220
10992,4535
1406,2882
577,54536
28119,2415
1406,7009
3486,21240
44925,8501
16964,10374
20127,2882
43251,6220
1406,55668
1406,30770
808,24160
19703,715
3486,10265
577,12179
715,2882
20127,53259
1406,57026
37780,2882
808,576
715,9149
3486,1759
41353,16578
715,982
1152,1007
1152,10374
10991,11377
8941,2415
53091,2882
3486,35506
16964,30252
18012,19386
8941,2735
577,2882
577,60782
40615,9223
18012,24196
1406,60852
38131,14101
1406,6220
35008,4535
17207,21452
808,21452
54445,37088
1406,108
1406,33263
1406,10374
3486,62547
1152,62602
577,2735
8941,12179
1152,24160
34297,4794
3486,7988
63524,8501
1406,34944
10992,30263
577,42727
38131,12179
64089,6220
17207,7988
3183,2882
3183,6220
1406,64613
808,6220
1152,20281
8842,8841
1406,50074
1406,886
10991,3491
10992,10991
577,22598
66533,2882
17207,30263
1152,576
43858,2735
16964,2882
808,30252
577,30263
8941,57623
52720,2882
6219,1007
34297,31388
34297,30252
8941,62696
577,12877
3486,4794
577,53630
577,7064
577,10374
1152,6227
577,37088
577,50493
34297,5570
20127,54714
1152,54714
29701,8501
8905,2735
577,31570
1406,23148
808,4535
1406,22058
69190,10374
8905,9223
18012,65844
50430,8501
34297,3491
17207,784
3486,21452
1152,108
3486,9149
715,108
20127,4794
50792,2882
3486,2882
38131,54782
54445,2735
19703,982
19703,9149
1406,42727
715,714
71018,8501
577,7839
18012,3486
36652,2735
6519,8501
1406,63399
1406,54536
577,69601
18012,4794
1406,6227
43251,1007
1406,29202
577,71737
1152,2882
577,22058
1152,16578
38131,2415
59670,2882
20127,36346
11180,22162
1406,29201
8941,54782
1406,59232
47001,12877
1152,4535
1406,24160
1406,26154
577,71035
1406,50493
808,19700
3492,3491
577,24160
1406,62016
3486,67608
808,21240
8941,63093
577,6227
8842,982
11377,2882
14468,30263
1406,52334
1406,66904
1406,31120
22059,2882
38131,2735
73852,12179
51102,8501
2011,26154
1406,7839
1406,68717
1406,2415
6519,9149
577,1007
715,37330
22162,9149
17207,108
39547,8501
577,886
19703,8841
39624,4794
808,2882
41353,4535
577,48832
715,8841
38131,57623
715,8917
577,26
1406,20928
3486,24862
20127,19386
577,40706
22529,27911
577,9223
54445,10374
18012,42053
577,576
577,72018
38131,27287
808,53259
8941,7064
20127,31388
1406,63614
1406,30252
42283,8501
50792,10991
1406,20046
44925,9149
577,5570
8905,8904
1406,37541
11377,784
38131,23662
3491,10991
26119,8501
10992,576
3486,31388
50792,21240
18012,31120
3486,30677
6219,22058
18012,2882
34297,10991
18012,33263
1152,6220
577,9041
74793,108
18012,24160
53344,2735
1406,72906
1406,44393
38131,63093
