animalsuchasinsect_inv_1,animalsuchasinsect_inv_2
994,27
2461,2462
2998,2999
5318,27
27,5565
27,6463
6750,386
7739,386
5290,108
2916,1976
2774,5525
6864,386
10013,959
959,7195
1160,2774
7153,386
959,2922
885,386
27,1976
1159,386
959,6970
2774,108
14385,386
386,2916
996,9229
5612,5613
27,2766
27,12361
14251,11815
27,18644
2462,27
19577,2882
386,10949
5486,27
3120,108
5565,27
27,11025
10013,2088
995,27
27,23598
1159,7052
6498,996
27,5290
27,20704
8612,15483
959,12024
2922,27
2774,1160
29492,27
2461,27
886,9229
996,108
10949,959
26256,2916
27,18505
386,13077
1160,958
5612,27
27,15430
1160,27
1159,1160
3696,2999
8298,1160
5318,386
1788,27
27,6498
6391,386
959,27
16060,386
6127,886
27,6273
386,6864
20899,2916
994,2916
996,784
5290,27
12501,27
996,1159
20899,27
9229,996
837,386
886,8298
386,6273
27,33263
4829,386
996,386
9229,886
386,6498
3696,2916
18653,27
837,784
996,2774
2462,996
9967,27
36923,386
386,885
32176,27
5738,14532
886,885
27,6750
386,1300
9041,27
6127,6128
3696,26
386,2328
8298,386
386,6759
27,20723
386,7739
5256,27
996,8298
9229,27
1159,27
996,2461
837,996
386,23598
11325,386
2462,2461
27,1159
10949,26
386,12501
27,12501
4829,108
386,2399
995,386
996,6273
996,886
10207,27
885,10134
7153,27
9229,108
1029,6750
11325,27
886,837
52911,386
27,9350
8612,386
27,3696
6127,2882
386,6750
5525,2774
386,995
1159,2999
27,6127
386,6127
27,1793
19616,2399
5738,38356
20624,27
1029,5290
22165,27
27,23004
386,3696
1159,959
2774,15483
27,7153
23004,386
6127,784
386,387
23598,386
9229,386
996,12877
6750,1029
30562,2882
386,9229
8298,886
5970,1111
386,16019
387,27
5738,1067
885,886
27,1029
15430,27
5290,1029
6750,996
9229,1160
386,996
5970,784
27,8737
959,2998
959,10425
886,27
886,2999
14798,27
6498,386
5290,959
995,108
27,886
14385,27
20624,2916
995,959
15870,784
996,2462
8298,15483
6273,386
27,19577
386,10425
3696,108
23004,27
20624,996
1160,8298
6391,27
27,14798
996,995
19345,10425
27,994
27386,12877
27,387
4829,1977
17940,27
30562,27
386,7153
1159,2461
27,1300
386,1111
2462,3696
6864,27
27,14385
27,6391
886,6128
8298,27
27,885
386,958
996,12501
6127,386
386,5318
32490,386
2916,2766
14798,386
1159,15483
886,959
886,996
386,12877
23598,27
2774,996
386,16060
2462,386
837,27
6128,6127
1300,1029
2916,996
2922,386
6273,996
27,10425
27,9229
27,30660
959,7923
3696,2882
1029,1300
1160,9229
51638,386
386,2774
27,29492
27,2088
10058,27
886,784
27,837
1160,784
2916,6750
837,886
48812,386
27,12877
386,886
386,5663
386,2999
12501,386
5290,2999
2461,996
959,2882
9041,386
6127,27
1300,27
1300,108
386,14385
2766,2882
386,6391
27,1111
3696,16755
10949,386
19577,27
27,5176
4829,27
5291,6970
6127,1977
32490,27
16019,386
27,22044
6750,2882
1793,386
3696,31549
996,2882
2998,784
27,21291
5613,5612
7052,1159
4829,2999
27,2999
1029,1976
6498,27
386,38356
27,25711
386,837
27,4178
27,2882
386,21852
386,11325
959,12877
1029,2399
3120,27
27,16755
5613,27
996,1976
1159,996
959,784
2916,386
2766,27
51638,27
959,50224
27,8612
386,2462
73135,27
386,3290
6750,108
3120,386
386,2922
386,23004
11025,27
2774,27
27,8298
7669,27
22044,27
996,6498
386,8298
8612,27
12501,996
27,5256
6127,959
3696,27
9101,27
386,16070
2998,23693
2774,386
5663,386
2461,1159
3290,27
386,1067
27,20899
5290,31527
1159,108
959,5291
27,7669
27,20624
10134,27
27,4829
21291,27
27,11325
9229,784
386,39549
386,9041
1160,1159
386,1159
27,386
3696,784
10134,885
1793,27
27,32176
27,784
1029,27
386,1793
6750,1977
5613,2999
386,1976
8737,27
8298,996
27,959
387,386
1300,6128
27,9101
5738,2328
6864,108
5290,2916
27,982
4829,784
27,5486
386,32490
6127,2999
885,27
16070,386
6273,27
3696,959
996,837
6750,27
6127,108
886,386
2766,2916
959,958
2998,108
27,2462
16755,3696
27,2774
27,10949
27,108
6750,2916
1933,386
386,4829
1159,2882
2998,959
20704,27
886,2882
1029,6216
1300,386
10949,27
27,2998
10949,996
996,27
26256,27
959,23673
20723,27
5291,12263
27,30562
886,108
27,10134
25711,27
386,27
6273,886
386,51638
4829,959
959,3681
27,996
30660,27
2998,27
6750,959
27,26
